Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,0,0,33,2016,0,27
Points Scored,0,1,21,2016,0,4
Points Allowed,0,0,10,2016,0,27
Points Allowed,0,1,22,2016,0,4
Passing Yards,0,0,161,2016,0,27
Passing Yards,0,1,107,2016,0,4
Passing Yards Allowed,0,0,144,2016,0,4
Passing Yards Allowed,0,1,171,2016,0,27
Rushing Yards,0,0,180,2016,0,27
Rushing Yards,0,1,157,2016,0,4
Rushing Yards Allowed,0,0,52,2016,0,4
Rushing Yards Allowed,0,1,112,2016,0,27
Total Yards,0,0,335,2016,0,27
Total Yards,0,1,239,2016,0,4
Total Yards Allowed,0,0,196,2016,0,4
Total Yards Allowed,0,1,280,2016,0,27
Pass Attempts,0,0,31,2016,0,4
Pass Attempts,0,1,27,2016,0,27
Rush Attempts,0,0,41,2016,0,27
Rush Attempts,0,1,39,2016,0,4
Points Scored,2,0,34,2016,2,23
Points Scored,2,1,20,2015,2,20
Points Scored,2,2,16,2016,2,20
Points Allowed,2,0,21,2015,2,20
Points Allowed,2,1,24,2016,2,23
Points Allowed,2,2,37,2016,2,20
Passing Yards,2,0,243,2016,2,20
Passing Yards,2,1,233,2016,2,23
Passing Yards,2,2,224,2015,2,20
Passing Yards Allowed,2,0,177,2015,2,20
Passing Yards Allowed,2,1,182,2016,2,20
Passing Yards Allowed,2,2,210,2016,2,23
Rushing Yards,2,0,172,2016,2,23
Rushing Yards,2,1,161,2015,2,20
Rushing Yards,2,2,88,2016,2,20
Rushing Yards Allowed,2,0,95,2015,2,20
Rushing Yards Allowed,2,1,135,2016,2,23
Rushing Yards Allowed,2,2,211,2016,2,20
Total Yards,2,0,392,2016,2,23
Total Yards,2,1,354,2015,2,20
Total Yards,2,2,319,2016,2,20
Total Yards Allowed,2,0,260,2015,2,20
Total Yards Allowed,2,1,318,2016,2,23
Total Yards Allowed,2,2,382,2016,2,20
Pass Attempts,2,0,43,2015,2,20
Pass Attempts,2,1,39,2016,2,20
Pass Attempts,2,2,26,2016,2,23
Rush Attempts,2,0,35,2016,2,23
Rush Attempts,2,1,25,2015,2,20
Rush Attempts,2,2,24,2016,2,20
Points Scored,4,0,37,2016,4,10
Points Scored,4,1,22,2016,4,0
Points Scored,4,2,13,2016,4,19
Points Scored,4,3,12,2014,4,15
Points Allowed,4,0,21,2016,4,0
Points Allowed,4,1,23,2016,4,10
Points Allowed,4,2,30,2016,4,19
Points Allowed,4,3,37,2014,4,15
Passing Yards,4,0,283,2014,4,15
Passing Yards,4,1,218,2016,4,10
Passing Yards,4,2,197,2016,4,19
Passing Yards,4,3,144,2016,4,0
Passing Yards Allowed,4,0,107,2016,4,0
Passing Yards Allowed,4,1,129,2014,4,15
Passing Yards Allowed,4,2,269,2016,4,19
Passing Yards Allowed,4,3,309,2016,4,10
Rushing Yards,4,0,109,2016,4,10
Rushing Yards,4,1,95,2014,4,15
Rushing Yards,4,2,52,2016,4,0
Rushing Yards,4,3,44,2016,4,19
Rushing Yards Allowed,4,0,78,2016,4,10
Rushing Yards Allowed,4,1,118,2016,4,19
Rushing Yards Allowed,4,2,142,2014,4,15
Rushing Yards Allowed,4,3,157,2016,4,0
Total Yards,4,0,348,2014,4,15
Total Yards,4,1,308,2016,4,10
Total Yards,4,2,228,2016,4,19
Total Yards,4,3,196,2016,4,0
Total Yards Allowed,4,0,239,2016,4,0
Total Yards Allowed,4,1,271,2014,4,15
Total Yards Allowed,4,2,347,2016,4,19
Total Yards Allowed,4,3,380,2016,4,10
Pass Attempts,4,0,44,2014,4,15
Pass Attempts,4,1,41,2016,4,19
Pass Attempts,4,2,31,2016,4,10
Pass Attempts,4,3,26,2016,4,0
Rush Attempts,4,0,28,2016,4,10
Rush Attempts,4,1,26,2016,4,0
Rush Attempts,4,2,23,2014,4,15
Rush Attempts,4,3,19,2016,4,19
Points Scored,6,0,24,2014,6,19
Points Scored,6,1,21,2015,6,28
Points Scored,6,2,16,2014,6,22
Points Allowed,6,0,12,2014,6,22
Points Allowed,6,1,26,2015,6,28
Points Allowed,6,2,34,2014,6,19
Passing Yards,6,0,374,2014,6,19
Passing Yards,6,1,256,2014,6,22
Passing Yards,6,2,251,2015,6,28
Passing Yards Allowed,6,0,182,2015,6,28
Passing Yards Allowed,6,1,185,2014,6,22
Passing Yards Allowed,6,2,304,2014,6,19
Rushing Yards,6,0,150,2014,6,22
Rushing Yards,6,1,119,2014,6,19
Rushing Yards,6,2,113,2015,6,28
Rushing Yards Allowed,6,0,78,2014,6,22
Rushing Yards Allowed,6,1,87,2014,6,19
Rushing Yards Allowed,6,2,106,2015,6,28
Total Yards,6,0,461,2014,6,19
Total Yards,6,1,406,2014,6,22
Total Yards,6,2,356,2015,6,28
Total Yards Allowed,6,0,263,2014,6,22
Total Yards Allowed,6,1,277,2015,6,28
Total Yards Allowed,6,2,386,2014,6,19
Pass Attempts,6,0,45,2014,6,19
Pass Attempts,6,1,39,2015,6,28
Pass Attempts,6,2,27,2014,6,22
Rush Attempts,6,0,32,2014,6,22
Rush Attempts,6,1,27,2015,6,28
Rush Attempts,6,2,20,2014,6,19
