Category,Team/All_Teams,Place,Player,Record,Last_Year
Quarterback Rating,0,0,98,866,2015
Pass Attempts,0,0,98,894,2015
Pass Attempts,0,1,1536,567,2016
Pass Attempts,0,2,911,66,2014
Pass Attempts,0,3,3209,3,2016
Pass Completions,0,0,98,583,2015
Pass Completions,0,1,1536,331,2016
Pass Completions,0,2,911,37,2014
Pass Completions,0,3,3209,1,2016
Completion Percentage,0,0,98,652,2015
Passing Yards,0,0,98,5992,2015
Passing Yards,0,1,1536,3267,2016
Passing Yards,0,2,911,386,2014
Passing Yards,0,3,3209,2,2016
Yards per Pass Attempt,0,0,98,670,2015
Passing Touchdowns,0,0,98,26,2015
Passing Touchdowns,0,1,1536,20,2016
Passing Touchdowns,0,2,911,2,2014
Times Sacked,0,0,98,76,2015
Times Sacked,0,1,1536,29,2016
Times Sacked,0,2,911,8,2014
300 Yards Passing,0,0,98,3,2015
Rushing Attempts,0,0,1864,947,2016
Rushing Attempts,0,1,3272,98,2015
Rushing Attempts,0,2,831,92,2015
Rushing Attempts,0,3,1836,84,2016
Rushing Attempts,0,4,1536,72,2016
Rushing Attempts,0,5,1951,61,2016
Rushing Attempts,0,6,98,57,2015
Rushing Attempts,0,7,4071,14,2016
Rushing Attempts,0,8,433,7,2014
Rushing Attempts,0,9,911,6,2014
Rushing Attempts,0,10,842,3,2016
Rushing Attempts,0,11,1771,2,2014
Rushing Attempts,0,12,2424,1,2016
Rushing Attempts,0,13,3370,1,2016
Rushing Yards,0,0,1864,4577,2016
Rushing Yards,0,1,1536,433,2016
Rushing Yards,0,2,3272,348,2015
Rushing Yards,0,3,1836,289,2016
Rushing Yards,0,4,831,254,2015
Rushing Yards,0,5,98,230,2015
Rushing Yards,0,6,1951,205,2016
Rushing Yards,0,7,4071,54,2016
Rushing Yards,0,8,911,40,2014
Rushing Yards,0,9,842,22,2016
Rushing Yards,0,10,433,20,2014
Rushing Yards,0,11,1771,3,2014
Rushing Yards,0,12,2424,1,2016
Yards per Carry,0,0,1864,483,2016
Rushing Touchdowns,0,0,1864,33,2016
Rushing Touchdowns,0,1,98,4,2015
Rushing Touchdowns,0,2,1836,3,2016
Rushing Touchdowns,0,3,831,2,2015
Rushing Touchdowns,0,4,3272,2,2015
Rushing Touchdowns,0,5,1536,1,2016
100 Yards Rushing,0,0,1864,20,2016
100 Yards Rushing,0,1,831,1,2015
Receptions,0,0,1864,181,2016
Receptions,0,1,842,150,2016
Receptions,0,2,1546,130,2015
Receptions,0,3,1836,110,2016
Receptions,0,4,883,52,2015
Receptions,0,5,1288,51,2016
