Category,Team/All_Teams,Place,Record,Year,Team
Points Scored,0,0,208,2016,0
Points Scored,0,1,207,2015,0
Points Scored,0,2,202,2014,0
Points Allowed,0,0,209,2016,0
Points Allowed,0,1,216,2015,0
Points Allowed,0,2,223,2014,0
Passing Yards,0,0,2364,2014,0
Passing Yards,0,1,1928,2015,0
Passing Yards,0,2,1736,2016,0
Passing Yards Allowed,0,0,2105,2016,0
Passing Yards Allowed,0,1,2279,2015,0
Passing Yards Allowed,0,2,2333,2014,0
Rushing Yards,0,0,1506,2016,0
Rushing Yards,0,1,1442,2015,0
Rushing Yards,0,2,1098,2014,0
Rushing Yards Allowed,0,0,1221,2014,0
Rushing Yards Allowed,0,1,1265,2016,0
Rushing Yards Allowed,0,2,1336,2015,0
Total Yards,0,0,3463,2014,0
Total Yards,0,1,3371,2015,0
Total Yards,0,2,3242,2016,0
Total Yards Allowed,0,0,3371,2016,0
Total Yards Allowed,0,1,3554,2014,0
Total Yards Allowed,0,2,3616,2015,0
Pass Attempts,0,0,356,2014,0
Pass Attempts,0,1,305,2016,0
Pass Attempts,0,2,293,2015,0
Rush Attempts,0,0,315,2016,0
Rush Attempts,0,1,305,2015,0
Rush Attempts,0,2,282,2014,0
Points Scored,1,0,186,2015,1
Points Scored,1,1,168,2016,1
Points Scored,1,2,150,2014,1
Points Allowed,1,0,217,2015,1
Points Allowed,1,1,229,2016,1
Points Allowed,1,2,253,2014,1
Passing Yards,1,0,2501,2015,1
Passing Yards,1,1,2365,2014,1
Passing Yards,1,2,2197,2016,1
Passing Yards Allowed,1,0,2271,2016,1
Passing Yards Allowed,1,1,2272,2015,1
Passing Yards Allowed,1,2,2420,2014,1
Rushing Yards,1,0,930,2016,1
Rushing Yards,1,1,701,2015,1
Rushing Yards,1,2,613,2014,1
Rushing Yards Allowed,1,0,1080,2015,1
Rushing Yards Allowed,1,1,1416,2016,1
Rushing Yards Allowed,1,2,1556,2014,1
Total Yards,1,0,3203,2015,1
Total Yards,1,1,3128,2016,1
Total Yards,1,2,2978,2014,1
Total Yards Allowed,1,0,3353,2015,1
Total Yards Allowed,1,1,3687,2016,1
