Stage,Year,Player_ID/Staff_ID/Round,Transaction,Team,Position_Group/Year,Money,Years/Original_Position/Destination_City,Original_Team/Destination_Position/Misc.
Pre-Staff Draft,2016,11,retired,18,K,0,0,0
Pre-Staff Draft,2016,13,retired,6,CB,0,0,0
Pre-Staff Draft,2016,17,retired,27,C,0,0,0
Pre-Staff Draft,2016,25,retired,24,QB,0,0,0
Pre-Staff Draft,2016,32,retired,7,C,0,0,0
Pre-Staff Draft,2016,35,retired,20,CB,0,0,0
Pre-Staff Draft,2016,43,retired,11,C,0,0,0
Pre-Staff Draft,2016,46,retired,6,WR,0,0,0
Pre-Staff Draft,2016,49,retired,10,OLB,0,0,0
Pre-Staff Draft,2016,63,retired,4,S,0,0,0
Pre-Staff Draft,2016,66,retired,26,OLB,0,0,0
Pre-Staff Draft,2016,84,retired,16,T,0,0,0
Pre-Staff Draft,2016,88,retired,27,G,0,0,0
Pre-Staff Draft,2016,89,retired,1,WR,0,0,0
Pre-Staff Draft,2016,90,retired,29,ILB,0,0,0
Pre-Staff Draft,2016,101,retired,3,G,0,0,0
Pre-Staff Draft,2016,131,retired,8,OLB,0,0,0
Pre-Staff Draft,2016,133,retired,5,OLB,0,0,0
Pre-Staff Draft,2016,139,retired,0,DE,0,0,0
Pre-Staff Draft,2016,150,retired,4,WR,0,0,0
Pre-Staff Draft,2016,152,retired,29,OLB,0,0,0
Pre-Staff Draft,2016,170,retired,2,RB,0,0,0
Pre-Staff Draft,2016,184,retired,12,DE,0,0,0
Pre-Staff Draft,2016,204,retired,1,CB,0,0,0
Pre-Staff Draft,2016,235,retired,31,DT,0,0,0
Pre-Staff Draft,2016,237,retired,24,DE,0,0,0
Pre-Staff Draft,2016,244,retired,13,G,0,0,0
Pre-Staff Draft,2016,261,retired,26,DE,0,0,0
Pre-Staff Draft,2016,334,retired,22,G,0,0,0
Pre-Staff Draft,2016,342,retired,13,RB,0,0,0
Pre-Staff Draft,2016,581,retired,22,RB,0,0,0
Pre-Staff Draft,2016,50,re-signed as head coach,10,0,0,0,0
Pre-Staff Draft,2016,54,re-signed as strength coordinator,10,0,0,0,0
Pre-Staff Draft,2016,58,re-signed as assistant coach,11,0,0,0,0
Pre-Staff Draft,2016,72,re-signed as defensive coordinator,14,0,0,0,0
Pre-Staff Draft,2016,74,re-signed as strength coordinator,14,0,0,0,0
Pre-Staff Draft,2016,88,re-signed as assistant coach,17,0,0,0,0
Pre-Staff Draft,2016,91,re-signed as offensive coordinator,18,0,0,0,0
Pre-Staff Draft,2016,93,re-signed as assistant coach,18,0,0,0,0
Pre-Staff Draft,2016,97,re-signed as defensive coordinator,19,0,0,0,0
Pre-Staff Draft,2016,101,re-signed as offensive coordinator,20,0,0,0,0
Pre-Staff Draft,2016,106,re-signed as offensive coordinator,21,0,0,0,0
Pre-Staff Draft,2016,107,re-signed as defensive coordinator,21,0,0,0,0
Pre-Staff Draft,2016,110,re-signed as head coach,22,0,0,0,0
Pre-Staff Draft,2016,139,re-signed as strength coordinator,27,0,0,0,0
Pre-Staff Draft,2016,142,re-signed as defensive coordinator,28,0,0,0,0
