Staff_ID,Year,Role,Wins,Losses,Ties,Playoffs,Team
0,2014,Assistant Coach,17,17,0,Division,6
0,2015,Head Coach,7,9,0,None,0
0,2016,Offensive Coordinator,5,11,0,None,22
1,2014,Offensive Coordinator,6,10,0,None,0
1,2015,Offensive Coordinator,7,9,0,None,0
1,2016,Offensive Coordinator,8,10,0,Division,0
2,2014,Defensive Coordinator,6,10,0,None,0
2,2015,Defensive Coordinator,7,9,0,None,0
2,2016,Defensive Coordinator,8,10,0,Division,0
3,2014,Assistant Coach,6,10,0,None,0
3,2015,Assistant Coach,7,9,0,None,0
3,2016,Assistant Coach,8,10,0,Division,0
4,2014,Strength Coordinator,6,10,0,None,0
4,2015,Strength Coordinator,7,9,0,None,0
4,2016,Strength Coordinator,8,10,0,Division,0
5,2014,Head Coach,4,12,0,None,1
5,2015,Assistant Coach,11,6,0,Wild Card,6
5,2016,Assistant Coach,7,9,0,None,6
6,2014,Offensive Coordinator,4,12,0,None,1
6,2015,Offensive Coordinator,4,12,0,None,1
6,2016,Offensive Coordinator,5,11,0,None,1
7,2014,Defensive Coordinator,4,12,0,None,1
7,2015,Defensive Coordinator,4,12,0,None,1
8,2014,Assistant Coach,4,12,0,None,1
8,2015,Assistant Coach,4,12,0,None,1
8,2016,Assistant Coach,5,11,0,None,1
9,2014,Strength Coordinator,4,12,0,None,1
10,2014,Head Coach,5,11,0,None,2
11,2014,Offensive Coordinator,5,11,0,None,2
11,2015,Offensive Coordinator,12,5,0,Division,2
11,2016,Offensive Coordinator,11,7,0,Division,2
12,2014,Defensive Coordinator,5,11,0,None,2
12,2015,Head Coach,12,5,0,Division,2
12,2016,Head Coach,11,7,0,Division,2
13,2014,Assistant Coach,5,11,0,None,2
13,2015,Assistant Coach,12,5,0,Division,2
13,2016,Assistant Coach,11,7,0,Division,2
14,2014,Strength Coordinator,5,11,0,None,2
14,2015,Strength Coordinator,12,5,0,Division,2
14,2016,Strength Coordinator,11,7,0,Division,2
15,2014,Head Coach,8,8,0,None,3
16,2014,Offensive Coordinator,8,8,0,None,3
16,2015,Offensive Coordinator,8,8,0,None,3
16,2016,Offensive Coordinator,8,7,1,None,3
17,2014,Defensive Coordinator,8,8,0,None,3
17,2015,Defensive Coordinator,8,8,0,None,3
17,2016,Defensive Coordinator,8,7,1,None,3
18,2014,Assistant Coach,8,8,0,None,3
18,2015,Assistant Coach,8,8,0,None,3
18,2016,Assistant Coach,8,7,1,None,3
19,2014,Strength Coordinator,8,8,0,None,3
20,2014,Head Coach,10,7,0,Wild Card,4
20,2015,Head Coach,9,7,0,None,4
21,2014,Offensive Coordinator,10,7,0,Wild Card,4
21,2015,Offensive Coordinator,9,7,0,None,4
22,2014,Defensive Coordinator,10,7,0,Wild Card,4
22,2015,Defensive Coordinator,9,7,0,None,4
22,2016,Defensive Coordinator,17,2,0,Won Conference,4
23,2014,Assistant Coach,10,7,0,Wild Card,4
23,2015,Assistant Coach,9,7,0,None,4
23,2016,Assistant Coach,17,2,0,Won Conference,4
24,2014,Strength Coordinator,10,7,0,Wild Card,4
25,2014,Head Coach,5,11,0,None,5
26,2014,Offensive Coordinator,5,11,0,None,5
26,2015,Offensive Coordinator,6,10,0,None,5
26,2016,Offensive Coordinator,5,11,0,None,5
27,2014,Defensive Coordinator,5,11,0,None,5
27,2015,Defensive Coordinator,4,12,0,None,9
27,2016,Head Coach,10,7,0,Wild Card,9
28,2014,Assistant Coach,5,11,0,None,5
28,2015,Assistant Coach,6,10,0,None,5
28,2016,Assistant Coach,5,11,0,None,5
29,2014,Strength Coordinator,5,11,0,None,5
29,2015,Strength Coordinator,6,10,0,None,5
29,2016,Strength Coordinator,5,11,0,None,5
30,2014,Head Coach,11,7,0,Division,6
30,2015,Head Coach,11,6,0,Wild Card,6
30,2016,Head Coach,7,9,0,None,6
31,2014,Offensive Coordinator,11,7,0,Division,6
31,2015,Offensive Coordinator,11,6,0,Wild Card,6
31,2016,Offensive Coordinator,7,9,0,None,6
32,2016,Offensive Coordinator,8,8,0,None,28
33,2014,Defensive Coordinator,11,7,0,Division,6
33,2015,Defensive Coordinator,11,6,0,Wild Card,6
33,2016,Defensive Coordinator,7,9,0,None,6
34,2014,Strength Coordinator,11,7,0,Division,6
35,2014,Head Coach,10,7,0,Wild Card,7
35,2015,Head Coach,4,12,0,None,7
35,2016,Offensive Coordinator,17,2,0,Won Conference,4
36,2014,Offensive Coordinator,10,7,0,Wild Card,7
36,2015,Offensive Coordinator,4,12,0,None,7
36,2016,Offensive Coordinator,7,9,0,None,7
37,2014,Defensive Coordinator,10,7,0,Wild Card,7
37,2015,Head Coach,8,8,0,None,3
37,2016,Head Coach,8,7,1,None,3
38,2014,Assistant Coach,10,7,0,Wild Card,7
38,2015,Offensive Coordinator,4,12,0,None,15
38,2016,Offensive Coordinator,7,9,0,None,15
39,2014,Strength Coordinator,10,7,0,Wild Card,7
39,2015,Strength Coordinator,4,12,0,None,7
39,2016,Strength Coordinator,1,15,0,None,17
40,2014,Head Coach,5,11,0,None,8
40,2015,Defensive Coordinator,6,10,0,None,5
40,2016,Defensive Coordinator,5,11,0,None,5
41,2014,Offensive Coordinator,5,11,0,None,8
41,2015,Offensive Coordinator,10,6,0,None,8
41,2016,Head Coach,7,9,0,None,30
42,2014,Defensive Coordinator,5,11,0,None,8
42,2015,Defensive Coordinator,10,6,0,None,8
42,2016,Defensive Coordinator,6,10,0,None,8
