Year,Game_ID,Week,Visitor_Score,Visitor_Team,Home_Score,Home_Team,Attendance,Weather,Temperature,Wind,Visitor_Quarterback,Home_Quarterback,Visitor_Running_Back,Home_Running_Back,Visitor_Receiver,Home_Receiver,Visitor_QB_Pass_Attempts,Visitor_QB_Completions,Visitor_QB_Passing_Yardage,Home_QB_Pass_Attempts,Home_QB_Completions,Home_QB_Passing_Yardage,Visiting_Leader_Rushes,Visiting_Leader_Rushing_Yardage,Home_Leader_Rushes,Home_Leader_Rushing_Yardage,Visiting_Leader_Receptions,Visiting_Leader_Receiving_Yardage,Home_Leader_Receptions,Home_Leader_Receiving_Yardage
2016,0,Ex. Season Week 1,13,0,16,31,56100,Sunny,73,5,3209,320,1951,3308,1288,2567,29,12,142,29,17,264,26,120,10,38,4,51,4,115
2016,1,Ex. Season Week 1,12,18,27,23,55300,Rain,60,11,1458,142,1762,3289,811,714,32,16,127,16,11,173,5,27,14,48,3,54,5,89
2016,2,Ex. Season Week 2,6,1,9,14,59000,Stormy,95,19,1654,1221,947,2448,1481,1135,11,8,121,25,17,199,8,30,14,54,6,58,4,85
2016,3,Ex. Season Week 2,14,4,9,3,62100,Rain,56,8,3218,2396,754,4100,281,173,18,14,91,26,15,111,6,26,16,90,4,40,5,39
2016,4,Ex. Season Week 2,3,5,19,30,51500,Sunny,64,2,4021,2407,1598,422,1276,880,24,13,113,16,9,93,15,78,20,77,5,43,6,65
2016,5,Ex. Season Week 2,13,7,17,8,60400,Stormy,78,14,4020,1480,395,1397,284,533,15,11,85,17,14,174,5,62,22,40,5,69,6,88
2016,6,Ex. Season Week 2,30,9,14,6,58900,Rain,89,4,4030,1751,1134,1751,499,1673,21,16,184,35,16,137,6,47,7,55,6,74,4,40
2016,7,Ex. Season Week 2,9,10,34,22,57200,Sunny,79,2,2368,3245,2368,4108,4275,954,28,18,167,28,20,223,5,27,17,40,8,94,7,98
2016,8,Ex. Season Week 2,16,15,13,2,57500,Sunny,53,8,1653,4038,632,960,3409,742,35,23,216,20,11,105,19,90,22,56,5,58,2,41
2016,9,Ex. Season Week 2,16,17,44,19,64800,Sunny,69,6,738,4017,3267,1740,1830,1716,25,11,104,15,12,106,10,88,7,99,3,46,4,85
2016,10,Ex. Season Week 2,10,21,13,20,68900,Sunny,50,7,4055,1345,1567,1674,1317,1062,18,8,147,23,17,101,18,81,14,59,4,108,4,49
2016,11,Ex. Season Week 2,3,25,27,11,52200,Sunny,53,6,2394,3199,165,2412,4231,1757,24,13,141,7,3,44,9,41,33,119,4,55,4,38
2016,12,Ex. Season Week 2,19,24,27,28,62200,Sunny,59,3,73,3211,1235,2446,1295,547,14,10,124,21,14,132,18,59,12,85,5,73,3,53
2016,13,Ex. Season Week 2,14,26,20,12,56300,Sunny,69,5,1898,1886,2420,1945,3459,2554,18,11,126,27,14,163,6,15,14,57,8,86,6,86
2016,14,Ex. Season Week 2,35,27,10,16,59100,Sunny,80,5,1323,860,2459,2427,4248,1586,18,11,151,20,12,130,20,69,12,25,3,63,5,75
2016,15,Ex. Season Week 2,7,29,23,13,56500,Sunny,61,4,164,3221,734,1797,945,1151,30,19,158,23,16,215,5,35,21,59,4,55,9,114
2016,16,Ex. Season Week 3,17,2,14,24,59200,Sunny,52,6,3216,73,960,1235,4196,994,41,21,206,14,11,116,31,95,25,89,2,42,4,35
2016,17,Ex. Season Week 3,51,3,23,29,67700,Sunny,58,5,4040,104,1829,1721,645,1721,17,13,151,16,8,128,27,123,14,115,2,41,3,91
2016,18,Ex. Season Week 3,34,6,41,0,54000,Sunny,88,0,1751,3209,1808,1951,3431,842,23,7,104,24,17,149,11,113,20,39,6,78,3,85
2016,19,Ex. Season Week 3,23,30,17,26,51000,Sunny,58,5,2407,1898,3282,2420,3415,1605,28,18,211,28,16,167,7,42,8,93,8,112,5,48
2016,20,Ex. Season Week 3,33,8,27,1,54200,Sunny,93,6,370,185,1397,947,533,493,30,19,229,35,20,199,14,67,11,65,5,76,3,59
2016,21,Ex. Season Week 3,20,31,17,9,55500,Sunny,60,10,320,4030,1612,1134,3447,499,25,14,174,15,9,126,7,25,9,65,4,53,4,80
2016,22,Ex. Season Week 3,7,11,37,10,59000,Sunny,69,4,98,1006,2412,1069,405,2629,26,20,150,14,11,206,18,74,21,53,3,48,3,87
