Week,Visitor_Team,Home_Team
Ex. Season Week 1,0,31
Ex. Season Week 1,18,23
Ex. Season Week 2,1,14
Ex. Season Week 2,4,3
Ex. Season Week 2,5,30
Ex. Season Week 2,7,8
Ex. Season Week 2,9,6
Ex. Season Week 2,10,22
Ex. Season Week 2,15,2
Ex. Season Week 2,17,19
Ex. Season Week 2,21,20
Ex. Season Week 2,24,28
Ex. Season Week 2,25,11
Ex. Season Week 2,26,12
Ex. Season Week 2,27,16
Ex. Season Week 2,29,13
Ex. Season Week 3,2,24
Ex. Season Week 3,3,29
Ex. Season Week 3,6,0
Ex. Season Week 3,8,1
Ex. Season Week 3,11,10
Ex. Season Week 3,12,5
Ex. Season Week 3,13,4
Ex. Season Week 3,14,7
Ex. Season Week 3,16,18
Ex. Season Week 3,19,21
Ex. Season Week 3,20,17
Ex. Season Week 3,22,25
Ex. Season Week 3,23,27
Ex. Season Week 3,28,15
Ex. Season Week 3,30,26
Ex. Season Week 3,31,9
Ex. Season Week 4,0,12
Ex. Season Week 4,1,3
Ex. Season Week 4,4,14
Ex. Season Week 4,5,6
Ex. Season Week 4,7,13
Ex. Season Week 4,9,30
Ex. Season Week 4,10,2
Ex. Season Week 4,15,22
Ex. Season Week 4,17,16
Ex. Season Week 4,18,20
Ex. Season Week 4,21,23
Ex. Season Week 4,24,11
Ex. Season Week 4,25,28
Ex. Season Week 4,26,31
Ex. Season Week 4,27,19
Ex. Season Week 4,29,8
Ex. Season Week 5,2,25
Ex. Season Week 5,3,7
Ex. Season Week 5,6,26
Ex. Season Week 5,8,4
Ex. Season Week 5,11,15
Ex. Season Week 5,12,9
Ex. Season Week 5,13,1
Ex. Season Week 5,14,29
Ex. Season Week 5,16,21
Ex. Season Week 5,19,18
Ex. Season Week 5,20,27
Ex. Season Week 5,22,24
Ex. Season Week 5,23,17
Ex. Season Week 5,28,10
Ex. Season Week 5,30,0
Ex. Season Week 5,31,5
Reg. Season Week 1,0,26
Reg. Season Week 1,1,27
Reg. Season Week 1,2,30
Reg. Season Week 1,3,19
Reg. Season Week 1,4,17
Reg. Season Week 1,5,15
Reg. Season Week 1,8,23
Reg. Season Week 1,10,9
Reg. Season Week 1,11,31
Reg. Season Week 1,13,20
Reg. Season Week 1,14,16
Reg. Season Week 1,21,18
Reg. Season Week 1,22,6
Reg. Season Week 1,24,25
Reg. Season Week 1,28,12
Reg. Season Week 1,29,7
Reg. Season Week 2,1,23
Reg. Season Week 2,3,0
Reg. Season Week 2,5,31
Reg. Season Week 2,6,21
Reg. Season Week 2,7,2
Reg. Season Week 2,8,4
Reg. Season Week 2,12,9
Reg. Season Week 2,15,11
Reg. Season Week 2,19,26
Reg. Season Week 2,20,17
Reg. Season Week 2,22,18
Reg. Season Week 2,24,16
Reg. Season Week 2,25,14
Reg. Season Week 2,27,13
Reg. Season Week 2,28,10
Reg. Season Week 2,29,30
Reg. Season Week 3,0,7
Reg. Season Week 3,1,9
Reg. Season Week 3,2,20
Reg. Season Week 3,4,5
Reg. Season Week 3,8,14
Reg. Season Week 3,10,25
Reg. Season Week 3,12,30
Reg. Season Week 3,13,3
Reg. Season Week 3,15,24
Reg. Season Week 3,16,11
Reg. Season Week 3,18,27
Reg. Season Week 3,19,28
Reg. Season Week 3,21,17
Reg. Season Week 3,22,23
Reg. Season Week 3,26,29
Reg. Season Week 3,31,6
Reg. Season Week 4,0,27
Reg. Season Week 4,2,19
Reg. Season Week 4,9,7
Reg. Season Week 4,10,29
Reg. Season Week 4,11,8
Reg. Season Week 4,14,6
Reg. Season Week 4,15,21
Reg. Season Week 4,16,22
Reg. Season Week 4,20,12
Reg. Season Week 4,23,31
Reg. Season Week 4,24,1
Reg. Season Week 4,25,4
Reg. Season Week 4,26,17
Reg. Season Week 4,30,3
Reg. Season Week 5,0,24
Reg. Season Week 5,3,14
Reg. Season Week 5,4,26
Reg. Season Week 5,5,29
Reg. Season Week 5,7,18
Reg. Season Week 5,9,21
Reg. Season Week 5,10,15
Reg. Season Week 5,13,28
Reg. Season Week 5,16,2
Reg. Season Week 5,19,6
Reg. Season Week 5,22,30
Reg. Season Week 5,23,11
Reg. Season Week 5,25,27
Reg. Season Week 5,31,20
Reg. Season Week 6,1,0
Reg. Season Week 6,3,22
Reg. Season Week 6,4,24
Reg. Season Week 6,7,5
Reg. Season Week 6,11,12
Reg. Season Week 6,14,30
Reg. Season Week 6,16,19
Reg. Season Week 6,17,25
Reg. Season Week 6,18,9
Reg. Season Week 6,20,23
Reg. Season Week 6,21,10
Reg. Season Week 6,27,26
Reg. Season Week 6,28,8
Reg. Season Week 6,31,13
Reg. Season Week 7,3,2
Reg. Season Week 7,4,1
Reg. Season Week 7,5,9
Reg. Season Week 7,6,16
Reg. Season Week 7,8,31
Reg. Season Week 7,10,18
Reg. Season Week 7,12,28
Reg. Season Week 7,13,11
Reg. Season Week 7,15,7
Reg. Season Week 7,19,30
Reg. Season Week 7,21,29
Reg. Season Week 7,22,14
Reg. Season Week 7,24,17
Reg. Season Week 7,25,26
Reg. Season Week 8,1,25
Reg. Season Week 8,2,6
Reg. Season Week 8,5,18
Reg. Season Week 8,9,10
Reg. Season Week 8,11,20
Reg. Season Week 8,12,13
Reg. Season Week 8,17,4
Reg. Season Week 8,19,3
Reg. Season Week 8,23,8
Reg. Season Week 8,26,0
Reg. Season Week 8,27,24
Reg. Season Week 8,28,31
Reg. Season Week 8,29,15
Reg. Season Week 8,30,16
Reg. Season Week 9,0,4
Reg. Season Week 9,6,3
Reg. Season Week 9,7,29
Reg. Season Week 9,8,12
Reg. Season Week 9,16,14
Reg. Season Week 9,17,27
Reg. Season Week 9,18,15
Reg. Season Week 9,20,13
Reg. Season Week 9,21,5
Reg. Season Week 9,22,19
Reg. Season Week 9,25,24
Reg. Season Week 9,26,1
Reg. Season Week 9,28,23
Reg. Season Week 9,30,2
Reg. Season Week 10,2,14
Reg. Season Week 10,3,16
Reg. Season Week 10,6,22
Reg. Season Week 10,7,10
Reg. Season Week 10,8,13
Reg. Season Week 10,12,23
Reg. Season Week 10,15,5
Reg. Season Week 10,17,0
Reg. Season Week 10,18,21
Reg. Season Week 10,20,28
Reg. Season Week 10,24,26
Reg. Season Week 10,27,1
Reg. Season Week 10,29,9
Reg. Season Week 10,31,11
Reg. Season Week 11,0,25
Reg. Season Week 11,1,17
Reg. Season Week 11,2,22
Reg. Season Week 11,4,27
Reg. Season Week 11,7,21
Reg. Season Week 11,9,15
Reg. Season Week 11,10,5
Reg. Season Week 11,11,28
Reg. Season Week 11,12,31
Reg. Season Week 11,13,23
Reg. Season Week 11,14,19
Reg. Season Week 11,20,8
Reg. Season Week 11,29,18
Reg. Season Week 11,30,6
Reg. Season Week 12,1,20
Reg. Season Week 12,5,28
Reg. Season Week 12,6,29
Reg. Season Week 12,11,9
Reg. Season Week 12,13,4
Reg. Season Week 12,14,0
Reg. Season Week 12,15,12
Reg. Season Week 12,16,25
Reg. Season Week 12,17,8
Reg. Season Week 12,18,2
Reg. Season Week 12,21,30
Reg. Season Week 12,22,7
Reg. Season Week 12,23,27
Reg. Season Week 12,24,19
Reg. Season Week 12,26,3
Reg. Season Week 12,31,10
Reg. Season Week 13,3,12
Reg. Season Week 13,5,26
Reg. Season Week 13,6,8
Reg. Season Week 13,7,1
Reg. Season Week 13,9,0
Reg. Season Week 13,11,22
Reg. Season Week 13,14,31
Reg. Season Week 13,17,15
Reg. Season Week 13,20,19
Reg. Season Week 13,23,16
Reg. Season Week 13,24,21
Reg. Season Week 13,25,18
Reg. Season Week 13,27,10
Reg. Season Week 13,28,2
Reg. Season Week 13,29,4
Reg. Season Week 13,30,13
Reg. Season Week 14,0,16
Reg. Season Week 14,2,21
Reg. Season Week 14,3,24
Reg. Season Week 14,4,20
Reg. Season Week 14,7,6
Reg. Season Week 14,9,31
Reg. Season Week 14,10,11
Reg. Season Week 14,12,5
Reg. Season Week 14,13,1
Reg. Season Week 14,19,25
Reg. Season Week 14,23,17
Reg. Season Week 14,26,14
Reg. Season Week 14,27,8
Reg. Season Week 14,28,15
Reg. Season Week 14,29,22
Reg. Season Week 14,30,18
Reg. Season Week 15,5,10
Reg. Season Week 15,6,30
Reg. Season Week 15,8,20
Reg. Season Week 15,15,9
Reg. Season Week 15,16,3
Reg. Season Week 15,17,1
Reg. Season Week 15,18,29
Reg. Season Week 15,19,14
Reg. Season Week 15,21,7
Reg. Season Week 15,22,2
Reg. Season Week 15,23,13
Reg. Season Week 15,25,0
Reg. Season Week 15,26,24
Reg. Season Week 15,27,4
Reg. Season Week 15,28,11
Reg. Season Week 15,31,12
Reg. Season Week 16,0,19
Reg. Season Week 16,2,29
Reg. Season Week 16,4,23
Reg. Season Week 16,8,1
Reg. Season Week 16,9,28
Reg. Season Week 16,10,12
Reg. Season Week 16,11,5
Reg. Season Week 16,14,24
Reg. Season Week 16,16,26
Reg. Season Week 16,17,13
Reg. Season Week 16,18,6
Reg. Season Week 16,20,27
Reg. Season Week 16,21,22
Reg. Season Week 16,25,3
Reg. Season Week 16,30,7
Reg. Season Week 16,31,15
Reg. Season Week 17,1,4
Reg. Season Week 17,6,2
Reg. Season Week 17,9,5
Reg. Season Week 17,12,11
Reg. Season Week 17,13,8
Reg. Season Week 17,14,3
