Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,0,0,33,2016,0,27
Points Scored,0,1,27,2017,0,10
Points Scored,0,2,27,2017,0,19
Points Scored,0,3,24,2017,0,21
Points Scored,0,4,21,2016,0,4
Points Scored,0,5,14,2018,0,15
Points Allowed,0,0,10,2016,0,27
Points Allowed,0,1,16,2017,0,21
Points Allowed,0,2,21,2017,0,10
Points Allowed,0,3,22,2016,0,4
Points Allowed,0,4,28,2018,0,15
Points Allowed,0,5,31,2017,0,19
Passing Yards,0,0,252,2017,0,19
Passing Yards,0,1,241,2017,0,10
Passing Yards,0,2,228,2018,0,15
Passing Yards,0,3,163,2017,0,21
Passing Yards,0,4,161,2016,0,27
Passing Yards,0,5,107,2016,0,4
Passing Yards Allowed,0,0,144,2016,0,4
Passing Yards Allowed,0,1,171,2016,0,27
Passing Yards Allowed,0,2,272,2018,0,15
Passing Yards Allowed,0,3,283,2017,0,10
Passing Yards Allowed,0,4,286,2017,0,19
Passing Yards Allowed,0,5,326,2017,0,21
Rushing Yards,0,0,242,2017,0,19
Rushing Yards,0,1,206,2017,0,21
Rushing Yards,0,2,187,2017,0,10
Rushing Yards,0,3,180,2016,0,27
Rushing Yards,0,4,157,2016,0,4
Rushing Yards,0,5,79,2018,0,15
Rushing Yards Allowed,0,0,52,2016,0,4
Rushing Yards Allowed,0,1,53,2017,0,21
Rushing Yards Allowed,0,2,103,2017,0,10
Rushing Yards Allowed,0,3,105,2018,0,15
Rushing Yards Allowed,0,4,112,2016,0,27
Rushing Yards Allowed,0,5,125,2017,0,19
Total Yards,0,0,489,2017,0,19
Total Yards,0,1,428,2017,0,10
Total Yards,0,2,369,2017,0,21
Total Yards,0,3,335,2016,0,27
Total Yards,0,4,288,2018,0,15
Total Yards,0,5,239,2016,0,4
Total Yards Allowed,0,0,196,2016,0,4
Total Yards Allowed,0,1,280,2016,0,27
Total Yards Allowed,0,2,354,2018,0,15
Total Yards Allowed,0,3,370,2017,0,21
Total Yards Allowed,0,4,375,2017,0,10
Total Yards Allowed,0,5,407,2017,0,19
Pass Attempts,0,0,40,2018,0,15
Pass Attempts,0,1,36,2017,0,19
Pass Attempts,0,2,31,2016,0,4
Pass Attempts,0,3,27,2016,0,27
Pass Attempts,0,4,23,2017,0,21
Pass Attempts,0,5,15,2017,0,10
Rush Attempts,0,0,42,2017,0,21
Rush Attempts,0,1,42,2017,0,10
Rush Attempts,0,2,41,2016,0,27
Rush Attempts,0,3,40,2017,0,19
Rush Attempts,0,4,39,2016,0,4
Rush Attempts,0,5,22,2018,0,15
Points Scored,1,0,17,2017,1,9
Points Scored,1,1,13,2017,1,10
Points Scored,1,2,6,2020,1,29
Points Allowed,1,0,10,2017,1,9
Points Allowed,1,1,14,2020,1,29
Points Allowed,1,2,40,2017,1,10
Passing Yards,1,0,276,2020,1,29
Passing Yards,1,1,268,2017,1,9
Passing Yards,1,2,232,2017,1,10
Passing Yards Allowed,1,0,138,2020,1,29
Passing Yards Allowed,1,1,268,2017,1,9
Passing Yards Allowed,1,2,272,2017,1,10
Rushing Yards,1,0,81,2017,1,9
Rushing Yards,1,1,57,2020,1,29
Rushing Yards,1,2,46,2017,1,10
Rushing Yards Allowed,1,0,38,2017,1,9
Rushing Yards Allowed,1,1,110,2020,1,29
Rushing Yards Allowed,1,2,141,2017,1,10
Total Yards,1,0,331,2017,1,9
Total Yards,1,1,300,2020,1,29
Total Yards,1,2,244,2017,1,10
Total Yards Allowed,1,0,237,2020,1,29
Total Yards Allowed,1,1,283,2017,1,9
Total Yards Allowed,1,2,413,2017,1,10
Pass Attempts,1,0,50,2020,1,29
Pass Attempts,1,1,39,2017,1,10
Pass Attempts,1,2,36,2017,1,9
Rush Attempts,1,0,24,2017,1,9
Rush Attempts,1,1,18,2017,1,10
Rush Attempts,1,2,16,2020,1,29
Points Scored,2,0,34,2016,2,23
Points Scored,2,1,24,2021,2,30
Points Scored,2,2,20,2015,2,20
Points Scored,2,3,16,2016,2,20
Points Scored,2,4,16,2021,2,14
Points Scored,2,5,10,2017,2,3
Points Allowed,2,0,9,2021,2,30
Points Allowed,2,1,21,2015,2,20
Points Allowed,2,2,22,2021,2,14
Points Allowed,2,3,24,2016,2,23
Points Allowed,2,4,27,2017,2,3
Points Allowed,2,5,37,2016,2,20
Passing Yards,2,0,294,2021,2,14
Passing Yards,2,1,260,2017,2,3
Passing Yards,2,2,243,2016,2,20
Passing Yards,2,3,233,2016,2,23
Passing Yards,2,4,224,2015,2,20
Passing Yards,2,5,210,2021,2,30
Passing Yards Allowed,2,0,137,2017,2,3
Passing Yards Allowed,2,1,177,2015,2,20
Passing Yards Allowed,2,2,182,2016,2,20
Passing Yards Allowed,2,3,210,2016,2,23
Passing Yards Allowed,2,4,287,2021,2,14
Passing Yards Allowed,2,5,315,2021,2,30
Rushing Yards,2,0,179,2021,2,30
Rushing Yards,2,1,172,2016,2,23
Rushing Yards,2,2,161,2015,2,20
Rushing Yards,2,3,88,2016,2,20
Rushing Yards,2,4,87,2017,2,3
Rushing Yards,2,5,63,2021,2,14
Rushing Yards Allowed,2,0,67,2021,2,30
Rushing Yards Allowed,2,1,95,2015,2,20
Rushing Yards Allowed,2,2,135,2016,2,23
Rushing Yards Allowed,2,3,135,2021,2,14
Rushing Yards Allowed,2,4,196,2017,2,3
Rushing Yards Allowed,2,5,211,2016,2,20
Total Yards,2,0,392,2016,2,23
Total Yards,2,1,385,2021,2,30
Total Yards,2,2,354,2015,2,20
Total Yards,2,3,350,2021,2,14
Total Yards,2,4,324,2017,2,3
Total Yards,2,5,319,2016,2,20
Total Yards Allowed,2,0,260,2015,2,20
Total Yards Allowed,2,1,318,2016,2,23
Total Yards Allowed,2,2,333,2017,2,3
Total Yards Allowed,2,3,382,2016,2,20
Total Yards Allowed,2,4,382,2021,2,30
Total Yards Allowed,2,5,422,2021,2,14
Pass Attempts,2,0,46,2017,2,3
Pass Attempts,2,1,43,2015,2,20
Pass Attempts,2,2,39,2016,2,20
Pass Attempts,2,3,39,2021,2,14
Pass Attempts,2,4,30,2021,2,30
Pass Attempts,2,5,26,2016,2,23
Rush Attempts,2,0,39,2021,2,30
Rush Attempts,2,1,35,2016,2,23
Rush Attempts,2,2,25,2015,2,20
Rush Attempts,2,3,24,2016,2,20
Rush Attempts,2,4,19,2017,2,3
Rush Attempts,2,5,14,2021,2,14
Points Scored,3,0,38,2018,3,12
Points Scored,3,1,33,2020,3,19
Points Scored,3,2,27,2017,3,2
Points Scored,3,3,27,2017,3,31
Points Scored,3,4,20,2019,3,6
Points Scored,3,5,17,2019,3,31
Points Scored,3,6,17,2019,3,10
Points Scored,3,7,13,2018,3,13
Points Allowed,3,0,6,2018,3,12
Points Allowed,3,1,6,2019,3,6
Points Allowed,3,2,10,2017,3,2
Points Allowed,3,3,13,2019,3,31
Points Allowed,3,4,20,2019,3,10
Points Allowed,3,5,21,2018,3,13
Points Allowed,3,6,34,2017,3,31
Points Allowed,3,7,36,2020,3,19
Passing Yards,3,0,421,2017,3,31
Passing Yards,3,1,296,2020,3,19
Passing Yards,3,2,236,2019,3,10
Passing Yards,3,3,217,2018,3,12
Passing Yards,3,4,206,2019,3,31
Passing Yards,3,5,201,2018,3,13
Passing Yards,3,6,180,2019,3,6
Passing Yards,3,7,137,2017,3,2
Passing Yards Allowed,3,0,179,2018,3,12
Passing Yards Allowed,3,1,197,2019,3,6
Passing Yards Allowed,3,2,255,2019,3,10
Passing Yards Allowed,3,3,260,2017,3,2
Passing Yards Allowed,3,4,261,2019,3,31
Passing Yards Allowed,3,5,279,2018,3,13
Passing Yards Allowed,3,6,307,2017,3,31
Passing Yards Allowed,3,7,320,2020,3,19
Rushing Yards,3,0,255,2018,3,12
Rushing Yards,3,1,209,2019,3,6
Rushing Yards,3,2,196,2017,3,2
Rushing Yards,3,3,171,2020,3,19
Rushing Yards,3,4,152,2017,3,31
Rushing Yards,3,5,125,2019,3,31
Rushing Yards,3,6,112,2018,3,13
Rushing Yards,3,7,88,2019,3,10
Rushing Yards Allowed,3,0,42,2018,3,12
Rushing Yards Allowed,3,1,60,2019,3,6
Rushing Yards Allowed,3,2,87,2017,3,2
Rushing Yards Allowed,3,3,95,2020,3,19
Rushing Yards Allowed,3,4,120,2017,3,31
Rushing Yards Allowed,3,5,122,2019,3,31
Rushing Yards Allowed,3,6,133,2018,3,13
Rushing Yards Allowed,3,7,134,2019,3,10
Total Yards,3,0,547,2017,3,31
Total Yards,3,1,468,2018,3,12
Total Yards,3,2,435,2020,3,19
Total Yards,3,3,389,2019,3,6
Total Yards,3,4,333,2017,3,2
Total Yards,3,5,314,2019,3,31
Total Yards,3,6,287,2018,3,13
Total Yards,3,7,284,2019,3,10
Total Yards Allowed,3,0,215,2018,3,12
Total Yards Allowed,3,1,239,2019,3,6
Total Yards Allowed,3,2,324,2017,3,2
Total Yards Allowed,3,3,362,2019,3,10
Total Yards Allowed,3,4,371,2019,3,31
Total Yards Allowed,3,5,389,2020,3,19
Total Yards Allowed,3,6,412,2018,3,13
Total Yards Allowed,3,7,427,2017,3,31
Pass Attempts,3,0,48,2017,3,31
Pass Attempts,3,1,36,2020,3,19
Pass Attempts,3,2,32,2019,3,10
Pass Attempts,3,3,30,2019,3,31
Pass Attempts,3,4,24,2018,3,12
Pass Attempts,3,5,22,2018,3,13
Pass Attempts,3,6,20,2017,3,2
Pass Attempts,3,7,19,2019,3,6
Rush Attempts,3,0,47,2018,3,12
Rush Attempts,3,1,44,2017,3,2
Rush Attempts,3,2,39,2019,3,6
Rush Attempts,3,3,31,2019,3,31
Rush Attempts,3,4,30,2020,3,19
Rush Attempts,3,5,26,2018,3,13
Rush Attempts,3,6,25,2019,3,10
Rush Attempts,3,7,24,2017,3,31
Points Scored,4,0,37,2016,4,10
Points Scored,4,1,34,2021,4,25
Points Scored,4,2,27,2018,4,27
Points Scored,4,3,27,2018,4,15
Points Scored,4,4,27,2019,4,9
Points Scored,4,5,22,2016,4,0
Points Scored,4,6,20,2019,4,25
Points Scored,4,7,13,2016,4,19
Points Scored,4,8,12,2014,4,15
Points Scored,4,9,10,2019,4,10
Points Scored,4,10,9,2021,4,10
Points Allowed,4,0,7,2019,4,25
Points Allowed,4,1,9,2018,4,27
Points Allowed,4,2,14,2019,4,9
Points Allowed,4,3,15,2021,4,25
Points Allowed,4,4,21,2016,4,0
Points Allowed,4,5,23,2016,4,10
Points Allowed,4,6,27,2019,4,10
Points Allowed,4,7,30,2016,4,19
Points Allowed,4,8,30,2018,4,15
Points Allowed,4,9,31,2021,4,10
Points Allowed,4,10,37,2014,4,15
Passing Yards,4,0,283,2014,4,15
Passing Yards,4,1,274,2018,4,15
Passing Yards,4,2,241,2021,4,25
Passing Yards,4,3,233,2019,4,10
Passing Yards,4,4,229,2019,4,9
Passing Yards,4,5,220,2019,4,25
Passing Yards,4,6,218,2016,4,10
Passing Yards,4,7,197,2016,4,19
Passing Yards,4,8,144,2016,4,0
Passing Yards,4,9,123,2018,4,27
Passing Yards,4,10,90,2021,4,10
Passing Yards Allowed,4,0,107,2016,4,0
Passing Yards Allowed,4,1,129,2014,4,15
Passing Yards Allowed,4,2,203,2021,4,25
Passing Yards Allowed,4,3,247,2019,4,25
Passing Yards Allowed,4,4,269,2016,4,19
Passing Yards Allowed,4,5,277,2019,4,10
Passing Yards Allowed,4,6,284,2019,4,9
Passing Yards Allowed,4,7,292,2021,4,10
Passing Yards Allowed,4,8,309,2016,4,10
Passing Yards Allowed,4,9,356,2018,4,15
Passing Yards Allowed,4,10,366,2018,4,27
Rushing Yards,4,0,204,2021,4,25
Rushing Yards,4,1,137,2019,4,9
Rushing Yards,4,2,136,2019,4,25
Rushing Yards,4,3,119,2018,4,15
Rushing Yards,4,4,109,2016,4,10
Rushing Yards,4,5,95,2014,4,15
Rushing Yards,4,6,95,2018,4,27
Rushing Yards,4,7,82,2019,4,10
Rushing Yards,4,8,82,2021,4,10
Rushing Yards,4,9,52,2016,4,0
Rushing Yards,4,10,44,2016,4,19
Rushing Yards Allowed,4,0,27,2019,4,9
Rushing Yards Allowed,4,1,56,2018,4,27
Rushing Yards Allowed,4,2,78,2016,4,10
Rushing Yards Allowed,4,3,81,2019,4,10
Rushing Yards Allowed,4,4,111,2021,4,10
Rushing Yards Allowed,4,5,113,2019,4,25
Rushing Yards Allowed,4,6,118,2016,4,19
Rushing Yards Allowed,4,7,128,2021,4,25
Rushing Yards Allowed,4,8,142,2014,4,15
Rushing Yards Allowed,4,9,142,2018,4,15
Rushing Yards Allowed,4,10,157,2016,4,0
Total Yards,4,0,438,2021,4,25
Total Yards,4,1,383,2018,4,15
Total Yards,4,2,366,2019,4,9
Total Yards,4,3,356,2019,4,25
Total Yards,4,4,348,2014,4,15
Total Yards,4,5,308,2016,4,10
Total Yards,4,6,296,2019,4,10
Total Yards,4,7,228,2016,4,19
Total Yards,4,8,205,2018,4,27
Total Yards,4,9,196,2016,4,0
Total Yards,4,10,156,2021,4,10
Total Yards Allowed,4,0,239,2016,4,0
Total Yards Allowed,4,1,271,2014,4,15
Total Yards Allowed,4,2,293,2019,4,9
Total Yards Allowed,4,3,327,2021,4,25
Total Yards Allowed,4,4,337,2019,4,25
Total Yards Allowed,4,5,347,2016,4,19
Total Yards Allowed,4,6,353,2019,4,10
Total Yards Allowed,4,7,380,2016,4,10
Total Yards Allowed,4,8,395,2018,4,27
Total Yards Allowed,4,9,397,2021,4,10
Total Yards Allowed,4,10,492,2018,4,15
Pass Attempts,4,0,46,2019,4,10
Pass Attempts,4,1,44,2014,4,15
Pass Attempts,4,2,41,2016,4,19
Pass Attempts,4,3,37,2018,4,15
Pass Attempts,4,4,35,2019,4,9
Pass Attempts,4,5,31,2016,4,10
Pass Attempts,4,6,27,2021,4,10
Pass Attempts,4,7,26,2016,4,0
Pass Attempts,4,8,26,2018,4,27
Pass Attempts,4,9,24,2021,4,25
Pass Attempts,4,10,19,2019,4,25
Rush Attempts,4,0,39,2019,4,25
Rush Attempts,4,1,38,2019,4,9
Rush Attempts,4,2,34,2021,4,25
Rush Attempts,4,3,32,2018,4,15
Rush Attempts,4,4,28,2016,4,10
Rush Attempts,4,5,28,2018,4,27
Rush Attempts,4,6,26,2016,4,0
Rush Attempts,4,7,23,2014,4,15
Rush Attempts,4,8,22,2021,4,10
Rush Attempts,4,9,19,2016,4,19
Rush Attempts,4,10,18,2019,4,10
Points Scored,6,0,27,2017,6,8
Points Scored,6,1,24,2014,6,19
Points Scored,6,2,24,2019,6,16
Points Scored,6,3,21,2015,6,28
Points Scored,6,4,16,2014,6,22
