Team,Wins,Losses,Ties,Playoff_Appearances,Bowl_Appearances,Bowl_Wins,Playoff_Wins,Playoff_Losses,Turf_Type,Year_Stadium_Opened,Stadium_Capacity,Luxury_Boxes,Club_Seats,Home_City,Upper_Deck_Tickets,End_Zone_Tickets,Mezzanine_Tickets,Sideline_Tickets,Club_Seat_Tickets,Luxury_Box_Tickets,Lost_Salary_Cap_This_Season,Lost_Salary_Cap_Next_Season
0,63,64,1,3,1,0,3,3,Outdoor/Natural Grass,2020,65000,185,19700,Arizona,92,72,126,187,563,275000,1283,628
1,48,80,0,2,0,0,1,2,Outdoor/Natural Grass,1999,70000,134,7400,Atlanta,43,51,82,79,188,73000,1188,295
2,70,58,0,4,0,0,2,4,Outdoor/Natural Grass,2020,59900,177,15200,Baltimore,52,53,99,92,258,125000,1157,564
3,77,50,1,4,1,0,4,4,Outdoor/Natural Grass,1999,70000,134,7400,Buffalo,38,67,75,70,193,75000,841,273
4,80,48,0,5,1,0,6,5,Dome/Artificial Turf,2020,71800,138,8000,Carolina,67,95,101,143,417,204000,1410,977
5,31,97,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Chicago,46,49,84,95,211,82000,26,0
6,70,58,0,4,0,0,3,4,Outdoor/Natural Grass,1999,76500,284,7400,Cincinnati,45,71,110,97,271,105000,1593,339
7,48,80,0,2,0,0,0,2,Outdoor/Natural Grass,1999,77900,260,7400,Dallas,69,89,96,146,350,136000,2102,604
8,65,63,0,2,0,0,0,2,Outdoor/Natural Grass,2020,67000,137,17900,Denver,74,87,115,174,496,242000,2011,728
9,68,60,0,4,0,0,1,4,Outdoor/Natural Grass,1999,89500,203,7400,Detroit,48,82,94,84,227,88000,733,163
10,97,31,0,6,4,3,13,3,Outdoor/Natural Grass,1999,78900,258,7400,Green Bay,57,81,141,174,504,196000,1114,454
11,45,82,1,0,0,0,0,0,Outdoor/Natural Grass,1999,75800,263,7400,Indianapolis,43,52,99,100,230,89000,948,535
12,61,67,0,1,0,0,1,1,Outdoor/Natural Grass,1999,77500,250,7400,Jacksonville,52,72,113,132,331,128000,1840,924
13,68,60,0,4,2,0,5,4,Outdoor/Natural Grass,1999,80400,278,7400,Kansas City,59,81,117,120,361,140000,833,306
14,69,58,1,2,1,0,2,2,Outdoor/Natural Grass,1999,82300,200,7400,Miami,57,94,141,188,541,210000,1294,284
15,60,68,0,3,1,1,5,2,Outdoor/Natural Grass,1999,81100,197,7400,Minnesota,44,88,103,107,289,112000,719,401
16,53,73,2,2,0,0,1,2,Outdoor/Natural Grass,1999,88400,227,7400,New England,61,74,122,156,403,156000,656,178
17,48,80,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,New Orleans,42,63,80,92,213,82000,990,133
18,69,59,0,3,0,0,2,3,Outdoor/Natural Grass,1999,81500,269,7400,New York,72,72,105,143,401,156000,757,408
19,87,39,2,6,3,3,12,3,Outdoor/Natural Grass,1999,79100,200,7400,New Jersey,79,84,126,161,475,185000,759,89
20,77,51,0,4,1,1,7,3,Outdoor/Natural Grass,1999,77800,252,7400,Oakland,80,110,117,172,516,201000,2006,802
21,65,62,1,3,0,0,3,3,Outdoor/Natural Grass,1999,78200,185,7400,Philadelphia,54,90,110,134,368,143000,1370,418
22,57,71,0,2,0,0,0,2,Outdoor/Natural Grass,1999,78300,207,7400,Pittsburgh,56,74,122,165,406,158000,1850,516
23,63,64,1,2,0,0,1,2,Outdoor/Natural Grass,1999,78300,210,7400,San Diego,77,84,108,172,414,161000,1234,517
24,57,71,0,1,0,0,0,1,Outdoor/Natural Grass,2020,60200,182,17300,Seattle,39,70,96,89,249,121000,1175,387
25,69,59,0,5,0,0,3,5,Outdoor/Natural Grass,1999,89300,219,7400,San Francisco,83,74,119,176,444,172000,1817,286
26,50,78,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,St. Louis,47,47,71,72,156,60000,1179,512
27,75,52,1,5,0,0,2,5,Outdoor/Natural Grass,1999,78500,248,7400,Tampa Bay,53,81,96,102,275,107000,993,505
28,74,54,0,5,0,0,2,5,Outdoor/Natural Grass,1999,83800,199,7400,Tennessee,59,82,98,131,358,139000,2515,976
29,66,62,0,4,1,0,3,4,Outdoor/Natural Grass,1999,77800,216,7400,Washington,55,54,101,92,241,93000,1816,657
30,40,88,0,2,0,0,0,2,Outdoor/Natural Grass,1999,85600,191,7400,Cleveland,57,62,96,124,298,116000,1586,305
31,72,55,1,4,0,0,4,4,Outdoor/Natural Grass,1999,70000,134,7400,Houston,64,65,96,139,361,140000,2445,642
