Week,Visitor_Team,Home_Team
Ex. Season Week 1,4,30
Ex. Season Week 1,10,13
Ex. Season Week 2,2,27
Ex. Season Week 2,3,15
Ex. Season Week 2,6,4
Ex. Season Week 2,8,26
Ex. Season Week 2,11,7
Ex. Season Week 2,12,29
Ex. Season Week 2,13,25
Ex. Season Week 2,14,9
Ex. Season Week 2,16,5
Ex. Season Week 2,19,10
Ex. Season Week 2,20,0
Ex. Season Week 2,22,17
Ex. Season Week 2,23,24
Ex. Season Week 2,28,21
Ex. Season Week 2,30,1
Ex. Season Week 2,31,18
Ex. Season Week 3,0,3
Ex. Season Week 3,1,28
Ex. Season Week 3,4,31
Ex. Season Week 3,5,23
Ex. Season Week 3,7,2
Ex. Season Week 3,9,8
Ex. Season Week 3,15,20
Ex. Season Week 3,17,12
Ex. Season Week 3,18,6
Ex. Season Week 3,21,30
Ex. Season Week 3,24,16
Ex. Season Week 3,25,19
Ex. Season Week 3,26,14
Ex. Season Week 3,27,11
Ex. Season Week 3,29,22
Ex. Season Week 4,0,23
Ex. Season Week 4,1,6
Ex. Season Week 4,5,3
Ex. Season Week 4,7,12
Ex. Season Week 4,9,19
Ex. Season Week 4,10,14
Ex. Season Week 4,15,16
Ex. Season Week 4,17,2
Ex. Season Week 4,18,28
Ex. Season Week 4,21,31
Ex. Season Week 4,24,20
Ex. Season Week 4,25,8
Ex. Season Week 4,26,13
Ex. Season Week 4,27,22
Ex. Season Week 4,29,11
Ex. Season Week 5,2,29
Ex. Season Week 5,3,24
Ex. Season Week 5,6,21
Ex. Season Week 5,8,10
Ex. Season Week 5,11,17
Ex. Season Week 5,12,27
Ex. Season Week 5,13,9
Ex. Season Week 5,14,25
Ex. Season Week 5,16,0
Ex. Season Week 5,19,26
Ex. Season Week 5,20,5
Ex. Season Week 5,22,7
Ex. Season Week 5,23,15
Ex. Season Week 5,28,4
Ex. Season Week 5,30,18
Ex. Season Week 5,31,1
Reg. Season Week 1,0,24
Reg. Season Week 1,1,4
Reg. Season Week 1,2,6
Reg. Season Week 1,3,14
Reg. Season Week 1,5,9
Reg. Season Week 1,7,18
Reg. Season Week 1,8,13
Reg. Season Week 1,10,15
Reg. Season Week 1,11,12
Reg. Season Week 1,16,19
Reg. Season Week 1,17,27
Reg. Season Week 1,20,23
Reg. Season Week 1,21,29
Reg. Season Week 1,25,26
Reg. Season Week 1,28,31
Reg. Season Week 1,30,22
Reg. Season Week 2,1,19
Reg. Season Week 2,4,3
Reg. Season Week 2,5,2
Reg. Season Week 2,6,10
Reg. Season Week 2,7,23
Reg. Season Week 2,11,0
Reg. Season Week 2,13,18
Reg. Season Week 2,15,30
Reg. Season Week 2,16,17
Reg. Season Week 2,20,29
Reg. Season Week 2,21,8
Reg. Season Week 2,22,9
Reg. Season Week 2,24,31
Reg. Season Week 2,26,12
Reg. Season Week 2,27,14
Reg. Season Week 2,28,25
Reg. Season Week 3,3,22
Reg. Season Week 3,6,31
Reg. Season Week 3,7,5
Reg. Season Week 3,8,14
Reg. Season Week 3,9,4
Reg. Season Week 3,10,1
Reg. Season Week 3,11,23
Reg. Season Week 3,12,20
Reg. Season Week 3,13,19
Reg. Season Week 3,16,2
Reg. Season Week 3,17,0
Reg. Season Week 3,25,21
Reg. Season Week 3,26,18
Reg. Season Week 3,27,24
Reg. Season Week 3,29,15
Reg. Season Week 3,30,28
Reg. Season Week 4,0,10
