Staff_ID,Last_Name,First_Name,Current_Team,Role,Primary_Group,Salary,Player_Development,Young_Player_Development,Motivation,Discipline,Play_Calling,Strength_Training,Conditioning,Intelligence,Scouting_Ability,Interviewing,Age,Retired,Years_on_Contract,Suitable_Head_Coach,Suitable_Offensive_Coordinator,Suitable_Defensive_Coordinator,Suitable_Assistant_Coach,Suitable_Strength_Coordinator
0,Arians,Bruce,99,None,Quarterbacks,0,58,62,33,28,56,0,0,85,68,44,74,1,0,42,58,0,55,0
1,Goodwin,Harold,25,Offensive Coordinator,Offensive Linemen,538,53,66,61,28,67,0,0,68,81,63,53,0,4,53,64,0,60,0
2,Bowles,Todd,0,Defensive Coordinator,Secondary,470,77,75,17,27,67,0,0,28,22,22,63,0,3,35,0,54,54,0
3,Jones,Amos,99,None,Linebackers,0,56,0,30,22,42,0,0,14,5,0,67,0,0,24,0,22,12,0
4,Morris,Buddy,99,None,Strength,0,0,0,0,0,0,33,21,71,0,0,69,0,0,0,0,0,0,28
5,Smith,Mike,6,Assistant Coach,Defensive Linemen,205,30,27,35,36,32,0,0,83,74,69,67,0,3,37,0,40,38,0
6,Koetter,Dirk,99,None,Quarterbacks,0,44,14,24,29,71,0,0,35,5,4,67,1,0,22,30,0,17,0
7,Nolan,Mike,99,None,Secondary,0,58,31,71,84,24,0,0,52,25,36,67,1,0,57,0,32,38,0
8,Armstrong,Keith,99,None,Secondary,0,39,83,40,38,16,0,0,17,43,25,63,1,0,38,0,41,54,0
9,Neibel,A.J.,99,None,Strength,0,0,0,0,0,0,24,49,57,0,0,54,0,0,0,0,0,0,37
10,Harbaugh,John,99,None,Secondary,0,37,12,51,9,0,0,0,56,28,18,64,0,0,31,0,18,21,0
11,Kubiak,Gary,99,None,Quarterbacks,0,46,70,9,21,0,0,0,81,11,64,65,0,0,32,34,0,52,0
12,Pees,Dean,99,None,Linebackers,0,82,56,80,72,70,0,0,52,61,26,77,1,0,66,0,62,58,0
13,Rosburg,Jerry,99,None,Linebackers,0,57,41,42,62,39,0,0,43,44,26,71,1,0,43,0,42,41,0
14,Rogucki,Bob,99,None,Strength,0,0,0,0,0,0,52,53,90,0,0,73,1,0,0,0,0,0,53
15,Marrone,Doug,99,None,Offensive Linemen,0,30,0,31,11,5,0,0,36,43,53,62,1,0,25,19,0,18,0
16,Hackett,Nathaniel,99,None,Tight Ends,0,29,55,43,40,64,0,0,39,9,28,47,0,0,35,36,0,37,0
17,Schwartz,Jim,3,Head Coach,Linebackers,715,50,47,60,44,32,0,0,58,61,67,60,0,2,53,0,46,50,0
18,Crossman,Danny,3,Defensive Coordinator,Secondary,250,23,47,61,64,73,0,0,60,51,43,59,0,3,47,0,46,40,0
19,Ciano,Eric,99,None,Strength,0,0,0,0,0,0,41,28,47,0,0,50,0,0,0,0,0,0,34
20,Rivera,Ron,99,None,Linebackers,0,25,45,37,19,56,0,0,70,42,76,64,1,0,35,0,42,42,0
21,Shula,Mike,99,None,Quarterbacks,0,13,5,44,22,35,0,0,29,52,45,61,0,0,27,23,0,16,0
22,McDermott,Sean,23,Head Coach,Secondary,450,70,80,80,42,37,0,0,12,52,62,52,0,4,64,0,58,65,0
23,Rodgers,Richard,99,None,Secondary,0,66,4,44,31,1,0,0,89,19,32,64,0,0,37,0,23,25,0
24,Kenn,Joe,99,None,Strength,0,0,0,0,0,0,40,0,70,0,0,60,0,0,0,0,0,0,21
25,Trestman,Marc,99,None,Quarterbacks,0,21,60,44,87,10,0,0,34,84,63,70,1,0,48,43,0,50,0
26,Kromer,Aaron,99,None,Offensive Linemen,0,38,50,55,14,50,0,0,11,39,69,59,0,0,41,42,0,42,0
27,Tucker,Mel,31,Head Coach,Secondary,1308,95,84,69,70,68,0,0,41,92,83,54,0,3,74,0,81,80,0
28,DeCamillis,Joe,2,Head Coach,Wide Receivers,586,48,69,52,98,39,0,0,71,66,72,61,0,2,59,55,0,61,0
29,Clark,Mike,99,None,Strength,0,0,0,0,0,0,60,16,81,0,0,72,1,0,0,0,0,0,38
30,Lewis,Marvin,99,None,Linebackers,0,1,0,58,39,77,0,0,60,0,12,68,0,0,27,0,17,6,0
31,Jackson,Hue,99,None,Running Backs,0,33,29,16,51,20,0,0,51,67,69,61,0,0,33,36,0,37,0
32,Alexander,Paul,28,Offensive Coordinator,Offensive Linemen,644,69,45,17,37,71,0,0,75,76,3,66,0,3,33,59,0,46,0
33,Guenther,Paul,15,Head Coach,Linebackers,481,79,79,75,22,70,0,0,19,59,77,55,0,2,62,0,67,68,0
34,Morton,Chip,99,None,Strength,0,0,0,0,0,0,37,17,13,0,0,64,1,0,0,0,0,0,24
35,Garrett,Jason,4,Head Coach,Quarterbacks,981,79,85,20,75,41,0,0,63,69,61,60,0,2,52,67,0,72,0
36,Callahan,Bill,99,None,Offensive Linemen,0,26,16,31,52,50,0,0,59,16,60,70,1,0,32,27,0,24,0
37,Kiffin,Monte,99,None,Linebackers,0,80,78,85,65,66,0,0,94,42,61,86,1,0,72,0,65,70,0
38,Bisaccia,Rich,15,Offensive Coordinator,Running Backs,266,29,65,41,46,50,0,0,76,35,70,66,0,3,43,45,0,51,0
39,Woicik,Mike,99,None,Strength,0,0,0,0,0,0,56,61,75,0,0,70,1,0,0,0,0,0,58
40,Fox,John,99,None,Secondary,0,9,66,58,28,39,0,0,56,90,21,71,1,0,38,0,47,45,0
41,Gase,Adam,19,Head Coach,Wide Receivers,1098,79,76,97,54,43,0,0,22,74,81,48,0,4,74,66,0,70,0
42,Del Rio,Jack,99,None,Linebackers,0,46,31,64,38,24,0,0,34,16,28,63,1,0,42,0,27,31,0
43,Rodgers,Jeff,8,Assistant Coach,Linebackers,263,22,36,75,87,31,0,0,61,59,85,48,0,4,59,0,37,41,0
44,Richesson,Luke,6,Strength Coordinator,Strength,308,0,0,0,0,0,79,80,44,0,0,50,0,2,0,0,0,0,76
45,Caldwell,Jim,99,None,Wide Receivers,0,56,46,16,13,69,0,0,84,29,76,71,1,0,35,49,0,48,0
46,Lombardi,Joe,99,None,Quarterbacks,0,65,63,30,44,53,0,0,7,28,24,55,0,0,38,47,0,46,0
47,Austin,Teryl,99,None,Secondary,0,64,9,36,14,9,0,0,5,0,68,61,0,0,34,0,20,26,0
48,Bonamego,John,9,Offensive Coordinator,Quarterbacks,364,49,79,0,44,55,0,0,13,65,16,63,0,3,26,56,0,52,0
49,Arapoff,Jason,99,None,Strength,0,0,0,0,0,0,27,16,58,0,0,61,1,0,0,0,0,0,22
50,McCarthy,Mike,4,Assistant Coach,Quarterbacks,170,42,83,52,37,43,0,0,42,35,25,63,0,4,44,47,0,55,0
51,Clements,Tom,99,None,Quarterbacks,0,47,58,30,28,24,0,0,49,65,34,73,1,0,36,45,0,47,0
52,Capers,Dom,99,None,Secondary,0,83,19,45,45,31,0,0,37,85,24,76,1,0,45,0,49,40,0
53,Moss,Winston,25,Defensive Coordinator,Linebackers,650,33,91,59,49,56,0,0,70,76,5,61,0,3,48,0,59,60,0
54,Lovat,Mark,99,None,Strength,0,0,0,0,0,0,62,62,67,0,0,57,0,0,0,0,0,0,61
55,Pagano,Chuck,99,None,Secondary,0,52,45,48,21,66,0,0,75,37,40,66,1,0,41,0,48,42,0
56,Hamilton,Pep,31,Assistant Coach,Quarterbacks,430,70,90,13,47,24,0,0,59,26,43,52,0,3,42,51,0,65,0
57,Manusky,Greg,20,Assistant Coach,Linebackers,399,75,95,31,32,28,0,0,36,41,23,60,0,2,43,0,57,65,0
58,McMahon,Tom,18,Defensive Coordinator,Linebackers,576,40,92,64,85,63,0,0,78,91,17,57,0,4,59,0,67,66,0
59,Marandino,Roger,10,Strength Coordinator,Strength,211,0,0,0,0,0,82,94,17,0,0,55,0,4,0,0,0,0,83
60,Bradley,Gus,99,None,Linebackers,0,23,28,37,17,51,0,0,31,23,47,60,0,0,27,0,30,26,0
61,Fisch,Jedd,12,Offensive Coordinator,Quarterbacks,233,99,96,15,41,18,0,0,54,45,64,50,0,2,50,62,0,78,0
62,Babich,Bob,99,None,Linebackers,0,11,31,11,30,40,0,0,9,47,24,65,1,0,15,0,28,21,0
63,Mallory,Mike,99,None,Secondary,0,44,21,57,57,34,0,0,39,2,58,64,0,0,44,0,25,28,0
64,Myslinski,Tom,99,None,Strength,0,0,0,0,0,0,17,5,47,0,0,58,0,0,0,0,0,0,12
65,Reid,Andy,99,None,Quarterbacks,0,28,58,60,18,24,0,0,34,34,56,68,1,0,41,35,0,43,0
66,Pederson,Doug,99,None,Quarterbacks,0,7,11,25,52,52,0,0,70,36,66,58,0,0,27,26,0,20,0
