Team,Wins,Losses,Ties,Playoff_Appearances,Bowl_Appearances,Bowl_Wins,Playoff_Wins,Playoff_Losses,Turf_Type,Year_Stadium_Opened,Stadium_Capacity,Luxury_Boxes,Club_Seats,Home_City,Upper_Deck_Tickets,End_Zone_Tickets,Mezzanine_Tickets,Sideline_Tickets,Club_Seat_Tickets,Luxury_Box_Tickets,Lost_Salary_Cap_This_Season,Lost_Salary_Cap_Next_Season
0,106,100,2,5,1,0,6,5,Outdoor/Natural Grass,2020,65000,185,19700,Arizona,92,85,126,186,531,249000,1512,926
1,83,125,0,3,1,0,3,3,Outdoor/Natural Grass,1999,85900,208,7400,Atlanta,59,56,103,108,241,86000,797,86
2,114,94,0,7,0,0,2,7,Outdoor/Natural Grass,2020,59900,177,15200,Baltimore,64,73,140,161,484,227000,3735,548
3,128,78,2,8,3,2,13,6,Dome/Artificial Turf,2022,62600,146,13500,Buffalo,49,90,103,92,276,132000,2491,406
4,133,75,0,8,1,0,9,8,Dome/Artificial Turf,2020,71800,138,8000,Carolina,70,93,108,153,449,210000,2150,663
5,53,154,1,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Chicago,45,52,82,104,216,77000,161,8
6,102,106,0,4,0,0,3,4,Outdoor/Natural Grass,1999,76500,284,7400,Cincinnati,49,62,117,103,265,95000,2634,627
7,86,122,0,3,1,1,3,2,Outdoor/Natural Grass,1999,77900,260,7400,Dallas,79,102,108,171,403,145000,1502,1352
8,110,98,0,4,0,0,1,4,Outdoor/Natural Grass,2020,67000,137,17900,Denver,72,104,110,164,443,207000,1306,87
9,116,92,0,8,1,0,5,8,Outdoor/Natural Grass,1999,89500,203,7400,Detroit,61,87,115,102,293,104000,2100,917
10,141,67,0,9,4,3,14,6,Outdoor/Natural Grass,1999,78900,258,7400,Green Bay,58,98,145,169,490,175000,1140,311
11,83,124,1,0,0,0,0,0,Outdoor/Natural Grass,1999,75800,263,7400,Indianapolis,42,55,105,122,275,99000,1682,1294
12,94,114,0,3,0,0,1,3,Outdoor/Natural Grass,1999,77500,250,7400,Jacksonville,50,81,113,124,300,107000,1099,362
13,94,114,0,5,2,0,6,5,Outdoor/Natural Grass,1999,80400,278,7400,Kansas City,58,100,124,148,400,144000,1442,38
14,120,86,2,6,1,0,5,6,Outdoor/Natural Grass,1999,82300,200,7400,Miami,47,79,117,140,374,134000,1012,117
15,93,114,1,3,1,1,5,2,Outdoor/Natural Grass,1999,81100,197,7400,Minnesota,59,77,129,152,384,138000,1830,215
16,86,120,2,3,0,0,1,3,Outdoor/Natural Grass,1999,88400,227,7400,New England,57,86,122,151,371,133000,3606,390
17,78,130,0,1,0,0,1,1,Outdoor/Natural Grass,1999,82700,239,7400,New Orleans,54,63,94,93,207,74000,905,101
18,123,85,0,6,1,0,5,6,Outdoor/Natural Grass,1999,81500,269,7400,New York,84,77,140,198,570,204000,1416,455
19,124,82,2,6,3,3,12,3,Outdoor/Natural Grass,1999,79100,200,7400,New Jersey,93,82,147,204,568,204000,1347,98
20,118,90,0,6,2,2,12,4,Outdoor/Natural Grass,1999,92900,354,7400,Oakland,94,131,138,208,625,225000,1066,123
21,104,103,1,5,0,0,3,5,Outdoor/Natural Grass,1999,78200,185,7400,Philadelphia,77,108,131,181,494,177000,837,429
22,96,112,0,4,0,0,2,4,Outdoor/Natural Grass,1999,78300,207,7400,Pittsburgh,53,77,124,169,372,134000,1949,315
23,104,103,1,4,0,0,2,4,Outdoor/Natural Grass,1999,78300,210,7400,San Diego,70,90,98,157,373,134000,4893,414
24,97,111,0,3,1,0,4,3,Outdoor/Natural Grass,2020,60200,182,17300,Seattle,48,83,108,100,290,136000,604,196
25,107,101,0,6,0,0,3,6,Outdoor/Natural Grass,1999,89300,219,7400,San Francisco,90,84,126,190,470,169000,1982,148
26,85,123,0,2,0,0,1,2,Outdoor/Natural Grass,1999,83800,243,7400,St. Louis,56,55,92,85,188,67000,1792,267
27,125,82,1,9,0,0,4,9,Outdoor/Natural Grass,1999,78500,248,7400,Tampa Bay,63,78,119,116,325,116000,2302,1187
28,120,88,0,8,1,1,7,7,Outdoor/Natural Grass,1999,83800,199,7400,Tennessee,73,91,117,148,430,154000,2225,1304
29,110,97,1,7,1,0,4,7,Outdoor/Natural Grass,1999,77800,216,7400,Washington,54,57,110,102,246,88000,1535,416
30,79,129,0,5,0,0,0,5,Outdoor/Natural Grass,1999,85600,191,7400,Cleveland,59,61,105,138,315,113000,3024,611
31,107,100,1,5,1,0,6,5,Outdoor/Natural Grass,1999,79300,231,7400,Houston,90,96,138,201,543,195000,1946,285
