Information,Value/Round/Position,Value/Team/Position,Value/Team
Game Stage,End of Season
Salary Cap (in tens of thousands),18520
Minimum Salary (in thousands),61
Draft Order,1,1,31
Draft Order,1,2,29
Draft Order,1,3,22
Draft Order,1,4,13
Draft Order,1,5,6
Draft Order,1,6,17
Draft Order,1,7,23
Draft Order,1,8,16
Draft Order,1,9,19
Draft Order,1,10,14
Draft Order,1,11,26
Draft Order,1,12,25
Draft Order,1,13,0
Draft Order,1,14,11
Draft Order,1,15,8
Draft Order,1,16,4
Draft Order,1,17,7
Draft Order,1,18,5
Draft Order,1,19,15
Draft Order,1,20,1
Draft Order,1,21,12
Draft Order,1,22,10
Draft Order,1,23,30
Draft Order,1,24,21
Draft Order,1,25,27
Draft Order,1,26,3
Draft Order,1,27,9
Draft Order,1,28,2
Draft Order,1,29,20
Draft Order,1,30,24
Draft Order,1,31,18
Draft Order,1,32,28
Draft Order,2,1,31
Draft Order,2,2,29
Draft Order,2,3,22
Draft Order,2,4,6
Draft Order,2,5,17
Draft Order,2,6,13
Draft Order,2,7,16
Draft Order,2,8,23
Draft Order,2,9,14
Draft Order,2,10,26
Draft Order,2,11,25
Draft Order,2,12,19
Draft Order,2,13,0
Draft Order,2,14,8
Draft Order,2,15,4
Draft Order,2,16,7
Draft Order,2,17,5
Draft Order,2,18,15
Draft Order,2,19,11
Draft Order,2,20,1
Draft Order,2,21,10
Draft Order,2,22,12
Draft Order,2,23,21
Draft Order,2,24,30
Draft Order,2,25,3
Draft Order,2,26,9
Draft Order,2,27,27
Draft Order,2,28,2
Draft Order,2,29,20
Draft Order,2,30,24
Draft Order,2,31,18
Draft Order,2,32,28
Draft Order,3,1,31
Draft Order,3,2,29
Draft Order,3,3,22
Draft Order,3,4,17
Draft Order,3,5,13
Draft Order,3,6,6
Draft Order,3,7,23
Draft Order,3,8,16
Draft Order,3,9,26
Draft Order,3,10,25
Draft Order,3,11,19
Draft Order,3,12,14
Draft Order,3,13,0
Draft Order,3,14,4
Draft Order,3,15,7
Draft Order,3,16,5
Draft Order,3,17,15
Draft Order,3,18,11
Draft Order,3,19,8
Draft Order,3,20,1
Draft Order,3,21,12
Draft Order,3,22,10
Draft Order,3,23,30
Draft Order,3,24,21
Draft Order,3,25,9
Draft Order,3,26,27
Draft Order,3,27,3
Draft Order,3,28,2
Draft Order,3,29,20
Draft Order,3,30,24
Draft Order,3,31,18
Draft Order,3,32,28
Draft Order,4,1,31
Draft Order,4,2,29
Draft Order,4,3,22
Draft Order,4,4,13
Draft Order,4,5,6
Draft Order,4,6,17
Draft Order,4,7,16
Draft Order,4,8,23
Draft Order,4,9,25
Draft Order,4,10,19
Draft Order,4,11,14
Draft Order,4,12,26
Draft Order,4,13,0
Draft Order,4,14,7
Draft Order,4,15,5
Draft Order,4,16,15
Draft Order,4,17,11
Draft Order,4,18,8
Draft Order,4,19,4
Draft Order,4,20,1
Draft Order,4,21,10
Draft Order,4,22,12
Draft Order,4,23,21
Draft Order,4,24,30
Draft Order,4,25,27
Draft Order,4,26,3
Draft Order,4,27,9
Draft Order,4,28,2
Draft Order,4,29,20
Draft Order,4,30,24
Draft Order,4,31,18
Draft Order,4,32,28
Draft Order,5,1,31
Draft Order,5,2,29
Draft Order,5,3,22
Draft Order,5,4,6
Draft Order,5,5,17
Draft Order,5,6,13
Draft Order,5,7,23
Draft Order,5,8,16
Draft Order,5,9,19
Draft Order,5,10,14
Draft Order,5,11,26
Draft Order,5,12,25
Draft Order,5,13,0
Draft Order,5,14,5
Draft Order,5,15,15
Draft Order,5,16,11
Draft Order,5,17,8
Draft Order,5,18,4
Draft Order,5,19,7
