Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,0,0,34,2026,0,1
Points Scored,0,1,33,2016,0,27
Points Scored,0,2,31,2022,0,29
Points Scored,0,3,30,2022,0,4
Points Scored,0,4,27,2017,0,10
Points Scored,0,5,27,2017,0,19
Points Scored,0,6,26,2026,0,27
Points Scored,0,7,24,2017,0,21
Points Scored,0,8,21,2016,0,4
Points Scored,0,9,21,2022,0,24
Points Scored,0,10,14,2018,0,15
Points Allowed,0,0,0,2026,0,27
Points Allowed,0,1,7,2022,0,4
Points Allowed,0,2,10,2016,0,27
Points Allowed,0,3,16,2017,0,21
Points Allowed,0,4,21,2017,0,10
Points Allowed,0,5,22,2016,0,4
Points Allowed,0,6,23,2022,0,24
Points Allowed,0,7,24,2022,0,29
Points Allowed,0,8,28,2018,0,15
Points Allowed,0,9,31,2017,0,19
Points Allowed,0,10,38,2026,0,1
Passing Yards,0,0,311,2026,0,27
Passing Yards,0,1,296,2026,0,1
Passing Yards,0,2,252,2017,0,19
Passing Yards,0,3,241,2017,0,10
Passing Yards,0,4,228,2018,0,15
Passing Yards,0,5,210,2022,0,24
Passing Yards,0,6,181,2022,0,29
Passing Yards,0,7,163,2017,0,21
Passing Yards,0,8,161,2016,0,27
Passing Yards,0,9,134,2022,0,4
Passing Yards,0,10,107,2016,0,4
Passing Yards Allowed,0,0,103,2022,0,24
Passing Yards Allowed,0,1,144,2016,0,4
Passing Yards Allowed,0,2,171,2016,0,27
Passing Yards Allowed,0,3,206,2026,0,27
Passing Yards Allowed,0,4,226,2022,0,4
Passing Yards Allowed,0,5,272,2018,0,15
Passing Yards Allowed,0,6,283,2017,0,10
Passing Yards Allowed,0,7,286,2017,0,19
Passing Yards Allowed,0,8,294,2022,0,29
Passing Yards Allowed,0,9,326,2017,0,21
Passing Yards Allowed,0,10,475,2026,0,1
Rushing Yards,0,0,249,2022,0,29
Rushing Yards,0,1,242,2017,0,19
Rushing Yards,0,2,206,2017,0,21
Rushing Yards,0,3,194,2022,0,24
Rushing Yards,0,4,187,2017,0,10
Rushing Yards,0,5,180,2016,0,27
Rushing Yards,0,6,161,2022,0,4
Rushing Yards,0,7,157,2016,0,4
Rushing Yards,0,8,107,2026,0,27
Rushing Yards,0,9,79,2018,0,15
Rushing Yards,0,10,47,2026,0,1
Rushing Yards Allowed,0,0,52,2016,0,4
Rushing Yards Allowed,0,1,53,2017,0,21
Rushing Yards Allowed,0,2,68,2026,0,1
Rushing Yards Allowed,0,3,102,2026,0,27
Rushing Yards Allowed,0,4,103,2017,0,10
Rushing Yards Allowed,0,5,105,2018,0,15
Rushing Yards Allowed,0,6,111,2022,0,4
Rushing Yards Allowed,0,7,112,2016,0,27
Rushing Yards Allowed,0,8,112,2022,0,29
Rushing Yards Allowed,0,9,125,2017,0,19
Rushing Yards Allowed,0,10,133,2022,0,24
Total Yards,0,0,489,2017,0,19
Total Yards,0,1,430,2022,0,29
Total Yards,0,2,428,2017,0,10
