Week,Visitor_Team,Home_Team
Ex. Season Week 1,15,20
Ex. Season Week 1,31,21
Ex. Season Week 2,2,4
Ex. Season Week 2,3,15
Ex. Season Week 2,6,27
Ex. Season Week 2,8,26
Ex. Season Week 2,11,18
Ex. Season Week 2,12,29
Ex. Season Week 2,13,0
Ex. Season Week 2,14,9
Ex. Season Week 2,16,10
Ex. Season Week 2,19,5
Ex. Season Week 2,20,25
Ex. Season Week 2,22,1
Ex. Season Week 2,23,24
Ex. Season Week 2,28,7
Ex. Season Week 2,30,17
Ex. Season Week 3,0,16
Ex. Season Week 3,1,31
Ex. Season Week 3,4,28
Ex. Season Week 3,5,8
Ex. Season Week 3,7,2
Ex. Season Week 3,9,23
Ex. Season Week 3,10,13
Ex. Season Week 3,17,12
Ex. Season Week 3,18,6
Ex. Season Week 3,21,22
Ex. Season Week 3,24,14
Ex. Season Week 3,25,3
Ex. Season Week 3,26,19
Ex. Season Week 3,27,11
Ex. Season Week 3,29,30
Ex. Season Week 4,2,27
Ex. Season Week 4,3,9
Ex. Season Week 4,6,4
Ex. Season Week 4,8,0
Ex. Season Week 4,11,7
Ex. Season Week 4,12,21
Ex. Season Week 4,13,26
Ex. Season Week 4,14,15
Ex. Season Week 4,16,5
Ex. Season Week 4,19,10
Ex. Season Week 4,20,24
Ex. Season Week 4,22,17
Ex. Season Week 4,23,25
Ex. Season Week 4,28,18
Ex. Season Week 4,30,1
Ex. Season Week 4,31,29
Ex. Season Week 5,0,19
Ex. Season Week 5,1,12
Ex. Season Week 5,4,11
Ex. Season Week 5,5,13
Ex. Season Week 5,7,6
Ex. Season Week 5,9,20
Ex. Season Week 5,10,8
Ex. Season Week 5,15,23
Ex. Season Week 5,17,31
Ex. Season Week 5,18,2
Ex. Season Week 5,21,30
Ex. Season Week 5,24,3
Ex. Season Week 5,25,14
Ex. Season Week 5,26,16
Ex. Season Week 5,27,28
Ex. Season Week 5,29,22
Reg. Season Week 1,4,27
Reg. Season Week 1,7,21
Reg. Season Week 1,8,20
Reg. Season Week 1,9,15
Reg. Season Week 1,10,5
Reg. Season Week 1,12,31
Reg. Season Week 1,13,23
Reg. Season Week 1,14,19
Reg. Season Week 1,16,3
Reg. Season Week 1,17,1
Reg. Season Week 1,18,29
Reg. Season Week 1,22,2
Reg. Season Week 1,24,26
Reg. Season Week 1,25,0
Reg. Season Week 1,28,11
Reg. Season Week 1,30,6
Reg. Season Week 2,1,30
Reg. Season Week 2,3,10
Reg. Season Week 2,5,14
Reg. Season Week 2,6,4
Reg. Season Week 2,8,0
Reg. Season Week 2,11,7
Reg. Season Week 2,15,19
Reg. Season Week 2,16,9
Reg. Season Week 2,18,28
Reg. Season Week 2,20,25
Reg. Season Week 2,21,12
Reg. Season Week 2,22,17
Reg. Season Week 2,23,24
Reg. Season Week 2,26,13
Reg. Season Week 2,27,2
Reg. Season Week 2,31,29
Reg. Season Week 3,1,0
Reg. Season Week 3,3,28
Reg. Season Week 3,5,29
Reg. Season Week 3,7,4
Reg. Season Week 3,10,21
Reg. Season Week 3,12,8
Reg. Season Week 3,14,11
Reg. Season Week 3,17,26
Reg. Season Week 3,18,27
Reg. Season Week 3,20,2
Reg. Season Week 3,22,16
Reg. Season Week 3,23,6
Reg. Season Week 3,24,9
Reg. Season Week 3,25,15
Reg. Season Week 3,30,19
Reg. Season Week 3,31,13
Reg. Season Week 4,1,27
Reg. Season Week 4,2,11
Reg. Season Week 4,5,4
Reg. Season Week 4,6,12
Reg. Season Week 4,9,17
Reg. Season Week 4,14,3
Reg. Season Week 4,15,10
Reg. Season Week 4,18,0
Reg. Season Week 4,19,13
Reg. Season Week 4,20,16
Reg. Season Week 4,24,29
Reg. Season Week 4,25,26
Reg. Season Week 4,28,30
Reg. Season Week 4,31,22
Reg. Season Week 5,0,7
Reg. Season Week 5,3,8
Reg. Season Week 5,4,1
Reg. Season Week 5,6,2
Reg. Season Week 5,17,10
Reg. Season Week 5,19,16
Reg. Season Week 5,20,13
Reg. Season Week 5,21,24
Reg. Season Week 5,22,11
Reg. Season Week 5,23,14
Reg. Season Week 5,26,18
