Year,Division,Place,Team,Wins,Losses,Ties,Note,Points_Scored,Points_Allowed,Conference_Wins,Conference_Losses,Conference_Ties,Division_Wins,Division_Losses,Division_Ties
2026,AC North,1,22,13,3,0,Won Division,428,391,10,2,0,5,1,0
2026,AC North,2,2,8,8,0,None,366,383,6,6,0,3,3,0
2026,AC North,3,6,7,9,0,None,334,372,6,6,0,4,2,0
2026,AC North,4,30,4,12,0,None,310,394,2,10,0,0,6,0
2026,AC South,1,12,8,8,0,Won Division,345,349,6,6,0,2,4,0
2026,AC South,2,28,7,9,0,None,311,351,7,5,0,4,2,0
2026,AC South,3,31,6,10,0,None,332,380,5,7,0,3,3,0
2026,AC South,4,11,5,11,0,None,301,340,4,8,0,3,3,0
2026,AC East,1,14,14,2,0,Won Division,443,266,10,2,0,4,2,0
2026,AC East,2,3,10,6,0,Wild Card,378,284,7,5,0,3,3,0
2026,AC East,3,19,8,8,0,None,348,356,6,6,0,4,2,0
2026,AC East,4,16,4,12,0,None,240,454,2,10,0,1,5,0
2026,AC West,1,13,9,7,0,Won Division,391,299,7,5,0,4,2,0
2026,AC West,2,23,9,7,0,Wild Card,344,370,6,6,0,2,4,0
2026,AC West,3,8,8,8,0,None,396,416,6,6,0,3,3,0
2026,AC West,4,20,7,9,0,None,391,332,6,6,0,3,3,0
2026,NC North,1,9,9,7,0,Won Division,393,392,7,5,0,4,2,0
2026,NC North,2,10,7,9,0,None,414,440,5,7,0,3,3,0
2026,NC North,3,15,4,11,1,None,282,394,4,7,1,3,2,1
2026,NC North,4,5,3,12,1,None,344,450,2,9,1,1,4,1
2026,NC South,1,1,11,5,0,Won Division,430,323,10,2,0,5,1,0
2026,NC South,2,27,10,6,0,Wild Card,484,390,7,5,0,4,2,0
2026,NC South,3,4,9,7,0,None,398,344,7,5,0,3,3,0
2026,NC South,4,17,5,11,0,None,344,428,3,9,0,0,6,0
2026,NC East,1,18,12,4,0,Won Division,508,255,8,4,0,3,3,0
2026,NC East,2,29,10,6,0,Wild Card,304,286,7,5,0,4,2,0
2026,NC East,3,21,9,7,0,None,313,341,6,6,0,3,3,0
2026,NC East,4,7,7,9,0,None,307,383,5,7,0,2,4,0
2026,NC West,1,0,11,5,0,Won Division,384,287,9,3,0,4,2,0
