Category,Team/All_Teams,Place,Record,Year,Team
Points Scored,0,0,253,2017,0
Points Scored,0,1,251,2021,0
Points Scored,0,2,245,2022,0
Points Scored,0,3,240,2026,0
Points Scored,0,4,238,2023,0
Points Scored,0,5,215,2024,0
Points Scored,0,6,212,2025,0
Points Scored,0,7,208,2016,0
Points Scored,0,8,207,2015,0
Points Scored,0,9,202,2014,0
Points Scored,0,10,200,2018,0
Points Scored,0,11,193,2020,0
Points Scored,0,12,163,2019,0
Points Allowed,0,0,157,2018,0
Points Allowed,0,1,179,2026,0
Points Allowed,0,2,192,2017,0
Points Allowed,0,3,199,2025,0
Points Allowed,0,4,200,2020,0
Points Allowed,0,5,201,2022,0
Points Allowed,0,6,209,2016,0
Points Allowed,0,7,216,2015,0
Points Allowed,0,8,221,2019,0
Points Allowed,0,9,223,2014,0
Points Allowed,0,10,231,2021,0
Points Allowed,0,11,246,2024,0
Points Allowed,0,12,253,2023,0
Passing Yards,0,0,2734,2026,0
Passing Yards,0,1,2641,2025,0
Passing Yards,0,2,2553,2024,0
Passing Yards,0,3,2540,2023,0
Passing Yards,0,4,2503,2022,0
Passing Yards,0,5,2436,2021,0
Passing Yards,0,6,2364,2014,0
Passing Yards,0,7,2305,2017,0
Passing Yards,0,8,2144,2020,0
Passing Yards,0,9,2055,2019,0
Passing Yards,0,10,2038,2018,0
Passing Yards,0,11,1928,2015,0
Passing Yards,0,12,1736,2016,0
Passing Yards Allowed,0,0,2085,2019,0
Passing Yards Allowed,0,1,2105,2016,0
Passing Yards Allowed,0,2,2175,2026,0
Passing Yards Allowed,0,3,2181,2018,0
Passing Yards Allowed,0,4,2256,2017,0
Passing Yards Allowed,0,5,2279,2015,0
Passing Yards Allowed,0,6,2333,2014,0
Passing Yards Allowed,0,7,2340,2025,0
Passing Yards Allowed,0,8,2384,2020,0
Passing Yards Allowed,0,9,2409,2022,0
Passing Yards Allowed,0,10,2588,2021,0
Passing Yards Allowed,0,11,2613,2024,0
Passing Yards Allowed,0,12,2802,2023,0
Rushing Yards,0,0,1641,2017,0
Rushing Yards,0,1,1506,2016,0
Rushing Yards,0,2,1442,2015,0
Rushing Yards,0,3,1404,2018,0
Rushing Yards,0,4,1359,2019,0
Rushing Yards,0,5,1325,2022,0
Rushing Yards,0,6,1323,2021,0
Rushing Yards,0,7,1239,2024,0
Rushing Yards,0,8,1201,2020,0
Rushing Yards,0,9,1181,2025,0
Rushing Yards,0,10,1130,2023,0
Rushing Yards,0,11,1098,2014,0
Rushing Yards,0,12,850,2026,0
Rushing Yards Allowed,0,0,963,2024,0
Rushing Yards Allowed,0,1,1001,2023,0
Rushing Yards Allowed,0,2,1061,2025,0
Rushing Yards Allowed,0,3,1166,2017,0
Rushing Yards Allowed,0,4,1176,2018,0
Rushing Yards Allowed,0,5,1193,2026,0
Rushing Yards Allowed,0,6,1202,2019,0
Rushing Yards Allowed,0,7,1208,2021,0
Rushing Yards Allowed,0,8,1221,2014,0
Rushing Yards Allowed,0,9,1265,2016,0
Rushing Yards Allowed,0,10,1280,2020,0
Rushing Yards Allowed,0,11,1289,2022,0
