Staff_ID,Last_Name,First_Name,Current_Team,Role,Primary_Group,Salary,Player_Development,Young_Player_Development,Motivation,Discipline,Play_Calling,Strength_Training,Conditioning,Intelligence,Scouting_Ability,Interviewing,Age,Retired,Years_on_Contract,Suitable_Head_Coach,Suitable_Offensive_Coordinator,Suitable_Defensive_Coordinator,Suitable_Assistant_Coach,Suitable_Strength_Coordinator
0,Arians,Bruce,99,None,Quarterbacks,0,58,62,33,28,56,0,0,85,68,44,67,1,0,42,58,0,55,0
1,Goodwin,Harold,0,Offensive Coordinator,Offensive Linemen,313,33,52,52,26,69,0,0,68,70,55,46,0,2,41,54,0,47,0
2,Bowles,Todd,0,Defensive Coordinator,Secondary,304,83,76,29,36,67,0,0,28,24,44,56,0,4,44,0,59,60,0
3,Jones,Amos,99,None,Linebackers,0,73,24,46,40,64,0,0,14,24,8,60,0,0,37,0,41,30,0
4,Morris,Buddy,0,Strength Coordinator,Strength,127,0,0,0,0,0,66,50,71,0,0,62,0,3,0,0,0,0,57
5,Smith,Mike,6,Assistant Coach,Defensive Linemen,353,55,49,40,49,41,0,0,83,79,87,60,0,3,52,0,56,56,0
6,Koetter,Dirk,1,Offensive Coordinator,Quarterbacks,164,45,20,39,45,79,0,0,35,22,24,60,0,1,33,38,0,25,0
7,Nolan,Mike,99,None,Secondary,0,58,31,71,84,24,0,0,52,25,36,60,0,0,57,0,32,38,0
8,Armstrong,Keith,1,Assistant Coach,Secondary,162,48,93,42,40,18,0,0,17,46,20,56,0,2,42,0,48,59,0
9,Neibel,A.J.,99,None,Strength,0,0,0,0,0,0,31,53,57,0,0,47,0,0,0,0,0,0,41
10,Harbaugh,John,99,None,Secondary,0,61,35,70,39,4,0,0,56,54,33,57,0,0,50,0,35,42,0
11,Kubiak,Gary,2,Offensive Coordinator,Quarterbacks,345,57,73,27,37,10,0,0,81,22,72,58,0,3,44,42,0,59,0
12,Pees,Dean,2,Head Coach,Linebackers,785,82,59,79,76,69,0,0,52,61,26,70,0,3,66,0,62,59,0
13,Rosburg,Jerry,99,None,Linebackers,0,57,41,42,62,39,0,0,43,44,26,64,1,0,43,0,42,41,0
14,Rogucki,Bob,99,None,Strength,0,0,0,0,0,0,52,53,90,0,0,66,1,0,0,0,0,0,53
15,Marrone,Doug,99,None,Offensive Linemen,0,42,6,28,13,25,0,0,36,60,59,55,0,0,28,31,0,26,0
16,Hackett,Nathaniel,99,None,Tight Ends,0,22,54,45,35,59,0,0,39,14,26,40,0,0,33,35,0,35,0
17,Schwartz,Jim,3,Head Coach,Linebackers,395,57,55,59,50,35,0,0,58,60,69,53,0,3,56,0,50,55,0
18,Crossman,Danny,3,Defensive Coordinator,Secondary,174,28,45,61,70,77,0,0,60,47,54,52,0,3,48,0,46,41,0
19,Ciano,Eric,99,None,Strength,0,0,0,0,0,0,29,24,47,0,0,43,0,0,0,0,0,0,26
20,Rivera,Ron,99,None,Linebackers,0,25,45,37,20,56,0,0,70,43,79,57,0,0,36,0,42,42,0
21,Shula,Mike,99,None,Quarterbacks,0,29,16,56,29,48,0,0,29,66,48,54,0,0,37,36,0,26,0
22,McDermott,Sean,5,Assistant Coach,Secondary,340,66,73,73,38,35,0,0,12,45,55,45,0,3,57,0,51,59,0
23,Rodgers,Richard,4,Assistant Coach,Secondary,182,81,24,58,42,13,0,0,89,24,57,57,0,3,52,0,35,42,0
24,Kenn,Joe,99,None,Strength,0,0,0,0,0,0,44,17,70,0,0,53,0,0,0,0,0,0,31
25,Trestman,Marc,99,None,Quarterbacks,0,21,60,44,87,10,0,0,34,84,63,63,1,0,48,43,0,50,0
26,Kromer,Aaron,99,None,Offensive Linemen,0,46,62,58,20,58,0,0,11,50,62,52,0,0,46,51,0,50,0
27,Tucker,Mel,9,Head Coach,Secondary,488,87,78,53,64,62,0,0,41,79,80,47,0,4,65,0,74,73,0
28,DeCamillis,Joe,1,Head Coach,Wide Receivers,681,58,71,50,94,38,0,0,71,68,76,54,0,3,62,57,0,65,0
29,Clark,Mike,5,Strength Coordinator,Strength,179,0,0,0,0,0,66,22,81,0,0,65,0,1,0,0,0,0,44
30,Lewis,Marvin,6,Head Coach,Linebackers,436,29,29,77,56,87,0,0,60,12,35,61,0,3,48,0,36,29,0
31,Jackson,Hue,6,Offensive Coordinator,Running Backs,192,37,42,28,55,31,0,0,51,72,74,54,0,3,40,43,0,45,0
32,Alexander,Paul,28,Offensive Coordinator,Offensive Linemen,451,74,58,35,43,87,0,0,75,80,29,59,0,4,46,70,0,58,0
33,Guenther,Paul,6,Defensive Coordinator,Linebackers,212,67,69,65,7,63,0,0,19,51,73,48,0,4,53,0,59,59,0
34,Morton,Chip,99,None,Strength,0,0,0,0,0,0,42,17,13,0,0,57,0,0,0,0,0,0,26
35,Garrett,Jason,4,Offensive Coordinator,Quarterbacks,251,81,82,16,75,47,0,0,63,71,69,53,0,4,53,67,0,73,0
36,Callahan,Bill,99,None,Offensive Linemen,0,38,25,51,58,60,0,0,59,25,75,63,0,0,46,36,0,35,0
37,Kiffin,Monte,99,None,Linebackers,0,80,78,85,65,66,0,0,94,42,61,79,1,0,72,0,65,70,0
38,Bisaccia,Rich,15,Offensive Coordinator,Running Backs,407,39,72,52,60,73,0,0,76,40,75,59,0,3,53,55,0,58,0
39,Woicik,Mike,17,Strength Coordinator,Strength,166,0,0,0,0,0,57,70,75,0,0,63,0,4,0,0,0,0,64
40,Fox,John,26,Defensive Coordinator,Secondary,167,11,70,62,32,50,0,0,56,94,32,64,0,4,42,0,52,48,0
41,Gase,Adam,5,Head Coach,Wide Receivers,748,70,68,83,47,39,0,0,22,61,77,41,0,4,67,57,0,63,0
42,Del Rio,Jack,8,Defensive Coordinator,Linebackers,206,50,46,60,42,31,0,0,34,33,44,56,0,3,48,0,38,43,0
43,Rodgers,Jeff,8,Assistant Coach,Linebackers,133,19,38,68,70,23,0,0,61,48,78,41,0,1,52,0,32,40,0
44,Richesson,Luke,6,Strength Coordinator,Strength,219,0,0,0,0,0,77,75,44,0,0,43,0,3,0,0,0,0,72
45,Caldwell,Jim,99,None,Wide Receivers,0,56,46,16,13,69,0,0,84,29,76,64,0,0,35,49,0,48,0
46,Lombardi,Joe,99,None,Quarterbacks,0,69,63,19,49,49,0,0,7,34,22,48,0,0,35,48,0,48,0
47,Austin,Teryl,99,None,Secondary,0,72,30,36,26,14,0,0,5,3,73,54,0,0,40,0,29,37,0
48,Bonamego,John,9,Offensive Coordinator,Quarterbacks,215,61,80,12,52,64,0,0,13,69,33,56,0,4,36,64,0,58,0
49,Arapoff,Jason,99,None,Strength,0,0,0,0,0,0,36,18,58,0,0,54,0,0,0,0,0,0,27
50,McCarthy,Mike,10,Head Coach,Quarterbacks,816,56,96,62,32,51,0,0,42,46,35,56,0,4,52,59,0,65,0
51,Clements,Tom,10,Offensive Coordinator,Quarterbacks,370,50,62,33,31,27,0,0,49,64,41,66,0,3,38,48,0,50,0
52,Capers,Dom,99,None,Secondary,0,83,19,45,45,31,0,0,37,85,24,69,1,0,45,0,49,40,0
53,Moss,Winston,25,Defensive Coordinator,Linebackers,455,27,99,61,61,74,0,0,70,77,14,54,0,4,50,0,64,62,0
54,Lovat,Mark,10,Strength Coordinator,Strength,187,0,0,0,0,0,75,70,67,0,0,50,0,4,0,0,0,0,71
55,Pagano,Chuck,99,None,Secondary,0,53,47,47,19,67,0,0,75,41,44,59,0,0,41,0,50,45,0
56,Hamilton,Pep,11,Offensive Coordinator,Quarterbacks,169,69,75,8,47,16,0,0,59,23,35,45,0,3,36,43,0,58,0
57,Manusky,Greg,11,Defensive Coordinator,Linebackers,332,82,89,37,38,39,0,0,36,38,32,53,0,2,47,0,58,67,0
58,McMahon,Tom,13,Defensive Coordinator,Linebackers,231,23,82,58,84,62,0,0,78,89,13,50,0,2,51,0,59,57,0
59,Marandino,Roger,9,Strength Coordinator,Strength,192,0,0,0,0,0,80,80,17,0,0,48,0,3,0,0,0,0,75
60,Bradley,Gus,99,None,Linebackers,0,35,44,36,18,68,0,0,31,35,48,53,0,0,32,0,42,36,0
61,Fisch,Jedd,12,Offensive Coordinator,Quarterbacks,167,83,77,11,30,20,0,0,54,36,57,43,0,2,40,52,0,63,0
62,Babich,Bob,99,None,Linebackers,0,19,42,10,29,42,0,0,9,53,30,58,0,0,19,0,35,30,0
63,Mallory,Mike,12,Assistant Coach,Secondary,124,53,32,69,67,54,0,0,39,24,63,57,0,2,54,0,40,40,0
64,Myslinski,Tom,99,None,Strength,0,0,0,0,0,0,28,27,47,0,0,51,0,0,0,0,0,0,28
65,Reid,Andy,99,None,Quarterbacks,0,31,62,63,23,28,0,0,34,35,58,61,0,0,44,38,0,45,0
66,Pederson,Doug,99,None,Quarterbacks,0,9,19,34,53,63,0,0,70,47,67,51,0,0,32,34,0,27,0
67,Sutton,Bob,99,None,Linebackers,0,42,51,18,79,27,0,0,19,81,41,68,1,0,37,0,45,46,0
68,Toub,Dave,31,Defensive Coordinator,Secondary,451,96,54,56,16,88,0,0,52,84,26,57,0,3,53,0,74,59,0
69,Rubin,Barry,99,None,Strength,0,0,0,0,0,0,22,51,69,0,0,62,1,0,0,0,0,0,37
70,Philbin,Joe,99,None,Tight Ends,0,47,39,4,61,47,0,0,21,43,11,58,0,0,25,38,0,34,0
71,Lazor,Bill,99,None,Quarterbacks,0,37,36,42,66,29,0,0,58,66,43,47,0,0,42,40,0,39,0
72,Coyle,Kevin,99,None,Secondary,0,97,43,17,50,39,0,0,95,31,31,63,1,0,42,0,49,51,0
73,Rizzi,Darren,28,Assistant Coach,Linebackers,336,66,68,12,62,46,0,0,57,68,55,49,0,4,43,0,59,59,0
74,Krein,Darren,14,Strength Coordinator,Strength,134,0,0,0,0,0,45,72,65,0,0,48,0,1,0,0,0,0,58
75,Zimmer,Mike,99,None,Linebackers,0,0,27,19,67,13,0,0,31,26,23,63,0,0,22,0,14,18,0
76,Turner,Norv,99,None,Wide Receivers,0,40,19,46,39,22,0,0,16,53,68,67,1,0,40,31,0,31,0
77,Edwards,George,15,Defensive Coordinator,Linebackers,174,51,46,6,15,45,0,0,11,53,59,52,0,2,28,0,44,43,0
78,Priefer,Mike,15,Assistant Coach,Linebackers,124,34,38,42,82,49,0,0,53,56,55,53,0,3,46,0,41,40,0
79,Marcus,Evan,99,None,Strength,0,0,0,0,0,0,61,20,4,0,0,51,0,0,0,0,0,0,35
80,Belichick,Bill,16,Head Coach,Secondary,754,41,73,73,37,59,0,0,51,59,32,67,0,4,52,0,53,55,0
81,McDaniels,Josh,16,Offensive Coordinator,Quarterbacks,538,70,81,86,21,81,0,0,68,89,19,43,0,3,61,74,0,66,0
82,Patricia,Matt,4,Head Coach,Linebackers,572,52,88,96,19,57,0,0,66,95,72,45,0,4,66,0,69,71,0
