Year,Team_ID,Unit,Games,Rushes,Rushing_Yards,Pass_Attempts,Completions,Passing_Yards,Fumbles_Lost,Intercepted,Third_Down_Conversions,Third_Down_Attempts,Touchdowns,Points_Scored,Penalties,Penalty_Yards,Red_Zone_Visits,Red_Zone_Touchdowns,Red_Zone_Field_Goals,Sacks,Runs_Left,Runs_Left_Yardage,Runs_Center,Runs_Center_Yardage,Runs_Right,Runs_Right_Yardage,Short_Passes,Short_Pass_Completions,Short_Pass_Yardage,Medium_Passes,Medium_Pass_Completions,Medium_Pass_Yardage,Long_Passes,Long_Pass_Completions,Long_Pass_Yardage,Fourth_Down_Attempts,Fourth_Down_Conversions,Third_Down_YtG_Total,Sack_Yardage,Fumbles,Red_Zone_Rushes,Red_Zone_Rushing_Yardage,Red_Zone_Passes,Red_Zone_Pass_Completions,Red_Zone_Passing_Yardage,First_Downs_Rushing,First_Downs_Passing,First_Downs_Penalty,Punts,Punting_Yardage,Punting_Net_Yardage,Punt_Returns,Punt_Return_Yardage,Kickoff_Returns,Kickoff_Return_Yardage,Field_Goals,Field_Goals_Attempted,Points_After_Touchdown,PATs_Attempted,Two-Point_Conversion_Attempts,Two-Point_Conversions,Passes_Defensed,Key_Run_Blocks,Key_Run_Block_Opportunities,Hurries,Blocked_Passes,Run_Plays,Pass_Plays,Touchdowns_Passing,Touchdowns_Rushing,Passes_Dropped,Running_Back_Runs,Running_Back_Run_Yardage
2019,0,Offense,16,444,2175,597,333,3288,10,17,95,236,26,261,90,643,38,19,17,34,78,423,300,1469,59,295,320,229,1779,199,89,1162,78,15,347,6,19,1768,214,17,46,177,54,30,133,116,168,28,82,3744,3075,37,267,39,884,27,37,24,24,2,0,47,157,381,57,8,444,631,17,9,31,341,1694
2019,0,Defense,16,473,1924,507,329,3336,6,11,81,221,36,355,111,764,45,22,17,27,158,802,241,993,66,140,283,221,1539,174,93,1301,49,15,496,4,9,1730,159,16,70,169,61,37,232,101,167,19,91,4060,3533,37,369,36,880,27,33,38,38,1,1,89,126,432,84,17,473,534,24,11,36,0,0
2019,1,Offense,16,319,1238,623,379,3989,15,26,72,224,25,253,92,673,37,18,12,70,86,342,194,759,34,143,362,261,1998,190,100,1424,69,18,567,5,18,1953,402,25,38,77,64,39,196,60,189,21,96,4352,3721,34,211,51,1278,22,31,25,25,1,1,61,88,285,67,21,319,693,16,9,34,278,1033
2019,1,Defense,16,524,2285,558,338,3580,11,12,101,252,35,382,110,750,50,26,19,31,148,574,270,1334,94,393,327,238,1981,170,80,1105,60,20,494,7,11,1885,183,21,72,214,52,33,182,123,172,13,91,4115,3524,37,431,12,298,39,48,37,37,0,0,70,153,457,85,12,524,589,18,16,32,0,0
2019,2,Offense,16,420,1407,567,359,3894,7,25,64,222,32,323,80,501,39,18,13,37,111,282,176,688,128,443,318,245,1930,168,90,1281,78,24,683,4,8,1914,240,12,42,46,44,32,213,75,183,18,111,4913,4218,58,335,32,786,29,31,30,31,2,1,70,98,372,72,15,420,604,24,4,33,358,1038
2019,2,Defense,16,444,1706,567,338,3610,10,16,81,239,33,330,94,755,40,26,12,46,128,487,234,872,77,356,352,249,2151,161,78,1156,53,11,303,5,15,1959,290,17,43,149,55,39,288,87,171,21,106,4913,4338,46,355,24,619,26,33,36,36,0,0,54,131,409,63,15,444,613,24,9,34,0,0
2019,3,Offense,16,529,2569,478,301,3490,9,14,95,206,48,409,98,654,56,36,16,28,137,754,299,1349,87,471,275,208,1916,130,72,952,73,21,622,5,5,1536,155,17,83,323,57,37,221,152,173,21,76,3430,2937,30,166,41,1069,22,25,45,46,3,1,61,201,486,68,16,529,506,24,24,21,452,2133
2019,3,Defense,16,380,1751,587,376,3724,8,14,80,222,24,273,89,678,43,16,24,43,128,698,203,851,43,211,327,258,1737,173,95,1344,81,23,643,6,19,1702,260,20,55,126,51,24,147,101,173,19,79,3684,3178,23,173,44,1073,32,37,23,23,2,2,46,120,338,62,15,380,630,11,11,25,0,0
2019,4,Offense,16,473,1925,504,308,3196,10,13,79,238,25,304,135,951,44,18,24,43,172,552,217,1073,81,304,278,199,1426,159,89,1212,66,20,558,4,8,1938,234,26,71,163,43,21,177,88,156,19,94,4503,3952,40,523,29,696,38,50,24,24,3,2,74,116,417,61,7,473,547,17,8,37,401,1485
2019,4,Defense,16,466,1796,541,339,3497,8,15,75,227,30,280,101,803,44,22,18,34,128,541,245,982,88,280,341,256,2252,147,75,1032,52,8,213,4,13,1848,197,16,71,170,54,35,212,82,187,28,105,4731,3848,39,331,27,613,21,28,29,29,2,0,44,117,417,56,20,466,575,19,10,29,0,0
2019,5,Offense,16,337,1437,607,306,3403,8,31,63,234,22,249,85,589,31,15,11,75,88,432,200,907,47,102,327,206,1740,184,75,1033,88,25,630,5,17,2090,457,18,39,123,33,17,109,67,152,19,110,4630,4086,58,622,41,993,28,34,21,22,1,0,57,77,270,72,21,337,682,13,7,36,262,935
2019,5,Defense,16,455,1525,578,372,3802,12,15,87,248,36,394,102,758,47,26,20,52,111,435,291,957,43,147,359,259,2020,149,93,1189,70,20,593,1,3,2077,344,26,66,173,60,40,275,92,177,15,109,4797,3875,47,384,44,1014,38,41,40,40,0,0,75,108,399,98,16,455,630,23,11,25,0,0
2019,6,Offense,16,417,1534,580,361,3762,6,16,81,237,38,357,76,610,46,28,17,36,167,700,192,621,52,220,389,285,2410,132,64,949,57,12,403,2,11,1736,214,15,52,182,82,51,337,79,178,20,98,4213,3823,29,259,40,964,31,38,36,37,1,0,54,116,388,51,18,417,616,25,12,36,368,1259
2019,6,Defense,16,406,1645,589,385,4275,14,23,85,227,42,373,95,740,38,25,11,43,136,474,199,864,67,311,313,248,2082,193,109,1438,80,28,755,4,13,1839,277,25,49,110,55,36,273,74,213,14,91,4078,3399,41,231,44,1088,24,27,43,43,0,0,59,99,358,75,14,406,632,32,8,33,0,0
