Week,Visitor_Team,Home_Team
Ex. Season Week 1,2,0
Ex. Season Week 1,24,28
Ex. Season Week 2,0,12
Ex. Season Week 2,1,14
Ex. Season Week 2,4,3
Ex. Season Week 2,5,30
Ex. Season Week 2,7,20
Ex. Season Week 2,9,2
Ex. Season Week 2,10,6
Ex. Season Week 2,15,22
Ex. Season Week 2,17,19
Ex. Season Week 2,18,13
Ex. Season Week 2,21,23
Ex. Season Week 2,25,31
Ex. Season Week 2,26,11
Ex. Season Week 2,27,16
Ex. Season Week 2,29,8
Ex. Season Week 3,3,18
Ex. Season Week 3,6,25
Ex. Season Week 3,8,27
Ex. Season Week 3,11,5
Ex. Season Week 3,12,9
Ex. Season Week 3,13,4
Ex. Season Week 3,14,21
Ex. Season Week 3,16,29
Ex. Season Week 3,19,7
Ex. Season Week 3,20,17
Ex. Season Week 3,22,24
Ex. Season Week 3,23,1
Ex. Season Week 3,28,15
Ex. Season Week 3,30,26
Ex. Season Week 3,31,10
Ex. Season Week 4,2,5
Ex. Season Week 4,3,1
Ex. Season Week 4,6,15
Ex. Season Week 4,8,7
Ex. Season Week 4,11,0
Ex. Season Week 4,12,26
Ex. Season Week 4,13,21
Ex. Season Week 4,14,4
Ex. Season Week 4,16,17
Ex. Season Week 4,19,27
Ex. Season Week 4,20,29
Ex. Season Week 4,22,10
Ex. Season Week 4,23,18
Ex. Season Week 4,28,25
Ex. Season Week 4,30,9
Ex. Season Week 4,31,24
Ex. Season Week 5,0,30
Ex. Season Week 5,1,13
Ex. Season Week 5,4,23
Ex. Season Week 5,5,12
Ex. Season Week 5,7,16
Ex. Season Week 5,9,11
Ex. Season Week 5,10,28
Ex. Season Week 5,15,31
Ex. Season Week 5,17,8
Ex. Season Week 5,18,14
Ex. Season Week 5,21,3
Ex. Season Week 5,24,6
Ex. Season Week 5,25,22
Ex. Season Week 5,26,2
Ex. Season Week 5,27,20
Ex. Season Week 5,29,19
Reg. Season Week 1,4,17
Reg. Season Week 1,10,9
Reg. Season Week 1,12,28
Reg. Season Week 1,13,20
Reg. Season Week 1,15,5
Reg. Season Week 1,16,14
Reg. Season Week 1,19,3
Reg. Season Week 1,21,18
Reg. Season Week 1,22,6
Reg. Season Week 1,23,8
Reg. Season Week 1,24,25
Reg. Season Week 1,26,0
Reg. Season Week 1,27,1
Reg. Season Week 1,29,7
Reg. Season Week 1,30,2
Reg. Season Week 1,31,11
Reg. Season Week 2,1,31
Reg. Season Week 2,2,0
Reg. Season Week 2,3,21
Reg. Season Week 2,6,24
Reg. Season Week 2,7,14
Reg. Season Week 2,8,5
Reg. Season Week 2,9,20
Reg. Season Week 2,10,13
Reg. Season Week 2,11,4
Reg. Season Week 2,19,18
Reg. Season Week 2,22,26
Reg. Season Week 2,23,15
Reg. Season Week 2,27,12
Reg. Season Week 2,28,17
Reg. Season Week 2,29,16
Reg. Season Week 2,30,25
Reg. Season Week 3,1,21
Reg. Season Week 3,2,12
Reg. Season Week 3,4,18
Reg. Season Week 3,5,17
Reg. Season Week 3,7,26
Reg. Season Week 3,9,27
Reg. Season Week 3,13,22
Reg. Season Week 3,16,8
Reg. Season Week 3,19,20
Reg. Season Week 3,23,6
Reg. Season Week 3,24,15
Reg. Season Week 3,25,10
Reg. Season Week 3,28,3
Reg. Season Week 3,29,0
Reg. Season Week 3,30,11
Reg. Season Week 3,31,14
Reg. Season Week 4,0,27
Reg. Season Week 4,9,7
Reg. Season Week 4,10,29
Reg. Season Week 4,11,8
Reg. Season Week 4,14,6
Reg. Season Week 4,15,21
Reg. Season Week 4,16,22
Reg. Season Week 4,19,2
Reg. Season Week 4,20,12
Reg. Season Week 4,24,1
Reg. Season Week 4,25,4
Reg. Season Week 4,26,17
Reg. Season Week 4,30,3
Reg. Season Week 4,31,23
Reg. Season Week 5,2,16
Reg. Season Week 5,4,26
Reg. Season Week 5,5,29
Reg. Season Week 5,6,19
Reg. Season Week 5,9,21
Reg. Season Week 5,13,28
