Category,Team/All_Teams,Place,Player,Record,Team,Year
Quarterback Rating,0,0,1536,1131,0,2017
Quarterback Rating,0,1,4874,991,0,2023
Quarterback Rating,0,2,4874,967,0,2021
Quarterback Rating,0,3,98,884,0,2014
Quarterback Rating,0,4,1536,868,0,2018
Quarterback Rating,0,5,4874,856,0,2022
Quarterback Rating,0,6,1536,847,0,2020
Quarterback Rating,0,7,98,844,0,2015
Quarterback Rating,0,8,1536,778,0,2016
Quarterback Rating,0,9,1536,704,0,2019
Pass Attempts,0,0,4874,580,0,2022
Pass Attempts,0,1,4874,552,0,2021
Pass Attempts,0,2,1536,551,0,2020
Pass Attempts,0,3,1536,542,0,2019
Pass Attempts,0,4,98,494,0,2014
Pass Attempts,0,5,1536,486,0,2016
Pass Attempts,0,6,4874,484,0,2023
Pass Attempts,0,7,1536,476,0,2018
Pass Attempts,0,8,1536,404,0,2017
Pass Attempts,0,9,98,400,0,2015
Pass Attempts,0,10,1536,70,0,2015
Pass Attempts,0,11,911,66,0,2014
Pass Attempts,0,12,1536,57,0,2023
Pass Attempts,0,13,5696,55,0,2019
Pass Attempts,0,14,2394,42,0,2017
Pass Attempts,0,15,5696,42,0,2023
Pass Attempts,0,16,3209,23,0,2017
Pass Attempts,0,17,1536,11,0,2014
Pass Attempts,0,18,1536,5,0,2021
Pass Attempts,0,19,3209,3,0,2016
Pass Attempts,0,20,3209,1,0,2018
Pass Completions,0,0,4874,359,0,2021
Pass Completions,0,1,1536,351,0,2020
Pass Completions,0,2,4874,334,0,2022
Pass Completions,0,3,98,320,0,2014
Pass Completions,0,4,1536,319,0,2018
Pass Completions,0,5,4874,319,0,2023
Pass Completions,0,6,1536,307,0,2019
Pass Completions,0,7,1536,290,0,2016
Pass Completions,0,8,1536,277,0,2017
Pass Completions,0,9,98,263,0,2015
Pass Completions,0,10,1536,44,0,2023
Pass Completions,0,11,911,37,0,2014
Pass Completions,0,12,1536,37,0,2015
Pass Completions,0,13,2394,30,0,2017
Pass Completions,0,14,5696,26,0,2019
Pass Completions,0,15,5696,20,0,2023
Pass Completions,0,16,3209,12,0,2017
Pass Completions,0,17,1536,4,0,2014
Pass Completions,0,18,1536,3,0,2021
Pass Completions,0,19,3209,1,0,2016
Pass Completions,0,20,3209,1,0,2018
Completion Percentage,0,0,1536,686,0,2017
Completion Percentage,0,1,1536,670,0,2018
Completion Percentage,0,2,4874,659,0,2023
Completion Percentage,0,3,98,658,0,2015
Completion Percentage,0,4,4874,650,0,2021
Completion Percentage,0,5,98,648,0,2014
Completion Percentage,0,6,1536,637,0,2020
Completion Percentage,0,7,1536,597,0,2016
Completion Percentage,0,8,4874,576,0,2022
Completion Percentage,0,9,1536,566,0,2019
Passing Yards,0,0,4874,4005,0,2022
Passing Yards,0,1,4874,3841,0,2021
Passing Yards,0,2,4874,3485,0,2023
Passing Yards,0,3,1536,3431,0,2020
Passing Yards,0,4,98,3330,0,2014
Passing Yards,0,5,1536,3281,0,2017
Passing Yards,0,6,1536,3218,0,2018
Passing Yards,0,7,1536,3075,0,2019
Passing Yards,0,8,1536,2776,0,2016
Passing Yards,0,9,98,2662,0,2015
Passing Yards,0,10,1536,424,0,2015
Passing Yards,0,11,1536,396,0,2023
Passing Yards,0,12,911,386,0,2014
Passing Yards,0,13,2394,322,0,2017
Passing Yards,0,14,5696,213,0,2019
Passing Yards,0,15,5696,184,0,2023
Passing Yards,0,16,3209,85,0,2017
Passing Yards,0,17,1536,67,0,2014
Passing Yards,0,18,1536,57,0,2021
Passing Yards,0,19,3209,44,0,2018
