Week,Visitor_Team,Home_Team
Ex. Season Week 1,16,7
Ex. Season Week 1,24,11
Ex. Season Week 2,0,28
Ex. Season Week 2,1,19
Ex. Season Week 2,4,14
Ex. Season Week 2,5,30
Ex. Season Week 2,7,23
Ex. Season Week 2,9,22
Ex. Season Week 2,10,2
Ex. Season Week 2,15,6
Ex. Season Week 2,17,16
Ex. Season Week 2,18,8
Ex. Season Week 2,21,13
Ex. Season Week 2,25,12
Ex. Season Week 2,26,31
Ex. Season Week 2,27,3
Ex. Season Week 2,29,20
Ex. Season Week 3,2,24
Ex. Season Week 3,3,29
Ex. Season Week 3,6,26
Ex. Season Week 3,8,4
Ex. Season Week 3,11,10
Ex. Season Week 3,12,5
Ex. Season Week 3,13,1
Ex. Season Week 3,14,18
Ex. Season Week 3,19,21
Ex. Season Week 3,20,27
Ex. Season Week 3,22,0
Ex. Season Week 3,23,17
Ex. Season Week 3,28,9
Ex. Season Week 3,30,25
Ex. Season Week 3,31,15
Ex. Season Week 4,2,5
Ex. Season Week 4,3,17
Ex. Season Week 4,6,9
Ex. Season Week 4,8,21
Ex. Season Week 4,11,25
Ex. Season Week 4,12,24
Ex. Season Week 4,13,18
Ex. Season Week 4,14,1
Ex. Season Week 4,16,27
Ex. Season Week 4,19,4
Ex. Season Week 4,20,7
Ex. Season Week 4,22,15
Ex. Season Week 4,23,29
Ex. Season Week 4,28,26
Ex. Season Week 4,30,10
Ex. Season Week 4,31,0
Ex. Season Week 5,0,6
Ex. Season Week 5,1,8
Ex. Season Week 5,4,13
Ex. Season Week 5,5,11
Ex. Season Week 5,7,3
Ex. Season Week 5,9,31
Ex. Season Week 5,10,12
Ex. Season Week 5,15,28
Ex. Season Week 5,17,20
Ex. Season Week 5,18,19
Ex. Season Week 5,21,14
Ex. Season Week 5,24,30
Ex. Season Week 5,25,2
Ex. Season Week 5,26,22
Ex. Season Week 5,27,23
Ex. Season Week 5,29,16
Reg. Season Week 1,0,25
Reg. Season Week 1,1,17
Reg. Season Week 1,3,16
Reg. Season Week 1,4,27
Reg. Season Week 1,6,30
Reg. Season Week 1,7,21
Reg. Season Week 1,8,20
Reg. Season Week 1,10,5
Reg. Season Week 1,11,28
Reg. Season Week 1,15,9
Reg. Season Week 1,19,14
Reg. Season Week 1,22,2
Reg. Season Week 1,23,13
Reg. Season Week 1,26,24
Reg. Season Week 1,29,18
Reg. Season Week 1,31,12
Reg. Season Week 2,0,2
Reg. Season Week 2,4,11
Reg. Season Week 2,5,8
Reg. Season Week 2,12,27
Reg. Season Week 2,13,10
Reg. Season Week 2,14,7
Reg. Season Week 2,15,23
Reg. Season Week 2,16,29
Reg. Season Week 2,17,28
Reg. Season Week 2,18,19
Reg. Season Week 2,20,9
Reg. Season Week 2,21,3
Reg. Season Week 2,24,6
Reg. Season Week 2,25,30
Reg. Season Week 2,26,22
Reg. Season Week 2,31,1
Reg. Season Week 3,6,23
Reg. Season Week 3,8,11
Reg. Season Week 3,9,0
Reg. Season Week 3,13,12
Reg. Season Week 3,14,2
Reg. Season Week 3,15,26
Reg. Season Week 3,17,7
Reg. Season Week 3,18,10
Reg. Season Week 3,19,30
Reg. Season Week 3,21,5
Reg. Season Week 3,22,20
Reg. Season Week 3,24,4
Reg. Season Week 3,25,1
Reg. Season Week 3,27,29
Reg. Season Week 3,28,3
Reg. Season Week 3,31,16
Reg. Season Week 4,2,11
Reg. Season Week 4,3,14
Reg. Season Week 4,5,4
Reg. Season Week 4,6,12
Reg. Season Week 4,9,17
Reg. Season Week 4,10,15
Reg. Season Week 4,16,20
Reg. Season Week 4,18,0
Reg. Season Week 4,19,13
Reg. Season Week 4,22,31
Reg. Season Week 4,24,29
Reg. Season Week 4,25,26
Reg. Season Week 4,27,1
Reg. Season Week 4,28,30
Reg. Season Week 5,0,7
Reg. Season Week 5,1,4
Reg. Season Week 5,2,6
Reg. Season Week 5,3,8
Reg. Season Week 5,13,20
Reg. Season Week 5,14,23
Reg. Season Week 5,16,19
Reg. Season Week 5,17,10
Reg. Season Week 5,21,24
Reg. Season Week 5,22,11
Reg. Season Week 5,26,18
Reg. Season Week 5,27,15
Reg. Season Week 5,29,25
Reg. Season Week 5,30,12
Reg. Season Week 6,0,21
Reg. Season Week 6,2,28
Reg. Season Week 6,5,9
Reg. Season Week 6,6,22
Reg. Season Week 6,7,18
Reg. Season Week 6,8,14
Reg. Season Week 6,10,4
Reg. Season Week 6,11,12
Reg. Season Week 6,15,1
Reg. Season Week 6,17,27
Reg. Season Week 6,19,23
Reg. Season Week 6,20,3
Reg. Season Week 6,26,29
Reg. Season Week 6,30,31
Reg. Season Week 7,0,24
Reg. Season Week 7,1,10
Reg. Season Week 7,4,15
Reg. Season Week 7,11,6
Reg. Season Week 7,12,22
Reg. Season Week 7,13,16
Reg. Season Week 7,17,5
Reg. Season Week 7,20,19
Reg. Season Week 7,21,29
Reg. Season Week 7,23,8
Reg. Season Week 7,25,7
Reg. Season Week 7,27,9
Reg. Season Week 7,28,31
Reg. Season Week 7,30,2
Reg. Season Week 8,4,17
Reg. Season Week 8,7,26
Reg. Season Week 8,9,1
Reg. Season Week 8,11,30
Reg. Season Week 8,12,2
Reg. Season Week 8,13,14
Reg. Season Week 8,15,5
Reg. Season Week 8,16,8
Reg. Season Week 8,18,21
Reg. Season Week 8,23,3
Reg. Season Week 8,24,25
Reg. Season Week 8,28,22
Reg. Season Week 8,29,0
Reg. Season Week 8,31,6
Reg. Season Week 9,1,5
Reg. Season Week 9,4,9
Reg. Season Week 9,7,24
Reg. Season Week 9,8,13
Reg. Season Week 9,10,27
Reg. Season Week 9,14,20
Reg. Season Week 9,15,17
Reg. Season Week 9,18,25
Reg. Season Week 9,19,3
Reg. Season Week 9,21,26
Reg. Season Week 9,22,30
Reg. Season Week 9,23,16
Reg. Season Week 9,28,12
Reg. Season Week 9,31,2
Reg. Season Week 10,2,22
Reg. Season Week 10,3,13
Reg. Season Week 10,5,27
Reg. Season Week 10,6,28
Reg. Season Week 10,8,19
Reg. Season Week 10,9,10
Reg. Season Week 10,14,16
Reg. Season Week 10,17,1
Reg. Season Week 10,20,23
Reg. Season Week 10,24,18
Reg. Season Week 10,25,21
Reg. Season Week 10,26,0
Reg. Season Week 10,29,7
Reg. Season Week 10,31,11
Reg. Season Week 11,5,10
Reg. Season Week 11,9,15
Reg. Season Week 11,12,31
Reg. Season Week 11,13,23
Reg. Season Week 11,14,19
Reg. Season Week 11,16,3
Reg. Season Week 11,18,29
Reg. Season Week 11,20,8
Reg. Season Week 11,21,7
Reg. Season Week 11,24,26
Reg. Season Week 11,25,0
Reg. Season Week 11,27,4
Reg. Season Week 11,28,11
Reg. Season Week 11,30,6
Reg. Season Week 12,0,6
Reg. Season Week 12,2,25
Reg. Season Week 12,3,7
Reg. Season Week 12,4,12
