Staff_ID,Last_Name,First_Name,Current_Team,Role,Primary_Group,Salary,Player_Development,Young_Player_Development,Motivation,Discipline,Play_Calling,Strength_Training,Conditioning,Intelligence,Scouting_Ability,Interviewing,Age,Retired,Years_on_Contract,Suitable_Head_Coach,Suitable_Offensive_Coordinator,Suitable_Defensive_Coordinator,Suitable_Assistant_Coach,Suitable_Strength_Coordinator
0,Arians,Bruce,99,None,Quarterbacks,0,58,62,33,28,56,0,0,85,68,44,72,1,0,42,58,0,55,0
1,Goodwin,Harold,25,Offensive Coordinator,Offensive Linemen,462,50,63,59,29,67,0,0,68,79,59,51,0,3,52,61,0,57,0
2,Bowles,Todd,0,Defensive Coordinator,Secondary,397,78,74,26,32,66,0,0,28,24,34,61,0,2,40,0,55,56,0
3,Jones,Amos,99,None,Linebackers,0,67,4,33,28,50,0,0,14,12,1,65,0,0,28,0,29,16,0
4,Morris,Buddy,99,None,Strength,0,0,0,0,0,0,48,25,71,0,0,67,0,0,0,0,0,0,37
5,Smith,Mike,6,Assistant Coach,Defensive Linemen,440,44,31,41,39,37,0,0,83,76,69,65,0,1,43,0,46,43,0
6,Koetter,Dirk,99,None,Quarterbacks,0,44,14,24,29,71,0,0,35,5,4,65,0,0,22,30,0,17,0
7,Nolan,Mike,99,None,Secondary,0,58,31,71,84,24,0,0,52,25,36,65,1,0,57,0,32,38,0
8,Armstrong,Keith,99,None,Secondary,0,39,83,40,38,16,0,0,17,43,25,61,0,0,38,0,41,54,0
9,Neibel,A.J.,99,None,Strength,0,0,0,0,0,0,29,51,57,0,0,52,0,0,0,0,0,0,39
10,Harbaugh,John,99,None,Secondary,0,46,20,58,21,0,0,0,56,42,23,62,0,0,38,0,26,28,0
11,Kubiak,Gary,2,Offensive Coordinator,Quarterbacks,444,50,76,12,26,0,0,0,81,17,62,63,0,1,35,38,0,56,0
12,Pees,Dean,99,None,Linebackers,0,82,56,80,72,70,0,0,52,61,26,75,1,0,66,0,62,58,0
13,Rosburg,Jerry,99,None,Linebackers,0,57,41,42,62,39,0,0,43,44,26,69,1,0,43,0,42,41,0
14,Rogucki,Bob,99,None,Strength,0,0,0,0,0,0,52,53,90,0,0,71,1,0,0,0,0,0,53
15,Marrone,Doug,99,None,Offensive Linemen,0,30,0,30,13,7,0,0,36,44,51,60,0,0,25,19,0,18,0
16,Hackett,Nathaniel,99,None,Tight Ends,0,24,55,45,38,59,0,0,39,8,31,45,0,0,34,33,0,36,0
17,Schwartz,Jim,3,Head Coach,Linebackers,684,56,52,60,44,36,0,0,58,59,66,58,0,4,53,0,48,51,0
18,Crossman,Danny,3,Defensive Coordinator,Secondary,249,29,50,64,63,75,0,0,60,54,47,57,0,1,49,0,48,43,0
19,Ciano,Eric,99,None,Strength,0,0,0,0,0,0,38,27,47,0,0,48,0,0,0,0,0,0,32
20,Rivera,Ron,99,None,Linebackers,0,25,45,37,19,56,0,0,70,42,76,62,1,0,35,0,42,42,0
21,Shula,Mike,99,None,Quarterbacks,0,19,4,46,24,42,0,0,29,54,47,59,0,0,29,27,0,17,0
22,McDermott,Sean,29,Head Coach,Secondary,666,67,74,82,43,42,0,0,12,48,59,50,0,2,62,0,54,60,0
23,Rodgers,Richard,4,Assistant Coach,Secondary,195,78,13,51,33,0,0,0,89,21,43,62,0,2,45,0,28,35,0
24,Kenn,Joe,99,None,Strength,0,0,0,0,0,0,44,3,70,0,0,58,0,0,0,0,0,0,24
25,Trestman,Marc,99,None,Quarterbacks,0,21,60,44,87,10,0,0,34,84,63,68,1,0,48,43,0,50,0
26,Kromer,Aaron,99,None,Offensive Linemen,0,38,54,59,16,57,0,0,11,40,65,57,0,0,42,44,0,43,0
27,Tucker,Mel,6,Defensive Coordinator,Secondary,239,93,80,64,71,68,0,0,41,89,88,52,0,4,71,0,79,78,0
28,DeCamillis,Joe,2,Head Coach,Wide Receivers,560,49,73,52,97,40,0,0,71,71,72,59,0,4,60,57,0,64,0
29,Clark,Mike,99,None,Strength,0,0,0,0,0,0,60,16,81,0,0,70,1,0,0,0,0,0,38
30,Lewis,Marvin,99,None,Linebackers,0,7,0,69,47,82,0,0,60,1,17,66,0,0,35,0,20,9,0
31,Jackson,Hue,6,Offensive Coordinator,Running Backs,270,38,37,20,54,28,0,0,51,67,67,59,0,1,37,41,0,42,0
32,Alexander,Paul,28,Offensive Coordinator,Offensive Linemen,564,75,48,21,43,76,0,0,75,82,4,64,0,2,39,65,0,50,0
33,Guenther,Paul,15,Head Coach,Linebackers,460,80,77,74,20,70,0,0,19,56,79,53,0,4,63,0,67,67,0
34,Morton,Chip,99,None,Strength,0,0,0,0,0,0,37,17,13,0,0,62,1,0,0,0,0,0,24
35,Garrett,Jason,4,Head Coach,Quarterbacks,938,78,88,20,78,42,0,0,63,73,62,58,0,4,52,68,0,74,0
