Team,Wins,Losses,Ties,Playoff_Appearances,Bowl_Appearances,Bowl_Wins,Playoff_Wins,Playoff_Losses,Turf_Type,Year_Stadium_Opened,Stadium_Capacity,Luxury_Boxes,Club_Seats,Home_City,Upper_Deck_Tickets,End_Zone_Tickets,Mezzanine_Tickets,Sideline_Tickets,Club_Seat_Tickets,Luxury_Box_Tickets,Lost_Salary_Cap_This_Season,Lost_Salary_Cap_Next_Season
0,88,87,1,4,1,0,5,4,Outdoor/Natural Grass,2020,65000,185,19700,Arizona,86,89,117,174,497,238000,1113,709
1,62,114,0,2,0,0,1,2,Outdoor/Natural Grass,1999,85900,208,7400,Atlanta,57,59,99,100,238,87000,1628,135
2,95,81,0,6,0,0,2,6,Outdoor/Natural Grass,2020,59900,177,15200,Baltimore,56,67,127,137,402,192000,2153,330
3,108,66,2,6,2,1,8,5,Dome/Artificial Turf,2022,62600,146,13500,Buffalo,49,90,98,88,265,129000,1694,451
4,116,60,0,8,1,0,9,8,Dome/Artificial Turf,2020,71800,138,8000,Carolina,71,103,110,154,456,219000,1503,355
5,42,134,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Chicago,41,49,78,92,196,72000,145,6
6,90,86,0,4,0,0,3,4,Outdoor/Natural Grass,1999,76500,284,7400,Cincinnati,54,65,122,107,298,109000,705,361
7,71,105,0,3,1,1,3,2,Outdoor/Natural Grass,1999,77900,260,7400,Dallas,78,98,108,170,409,151000,1281,612
8,94,82,0,4,0,0,1,4,Outdoor/Natural Grass,2020,67000,137,17900,Denver,69,95,105,156,414,198000,1561,84
9,97,79,0,6,1,0,3,6,Outdoor/Natural Grass,1999,89500,203,7400,Detroit,55,84,101,90,244,89000,2201,602
10,124,52,0,8,4,3,14,5,Outdoor/Natural Grass,1999,78900,258,7400,Green Bay,56,93,141,174,504,186000,1378,984
11,70,105,1,0,0,0,0,0,Outdoor/Natural Grass,1999,75800,263,7400,Indianapolis,41,52,101,117,266,98000,1189,127
12,76,100,0,1,0,0,1,1,Outdoor/Natural Grass,1999,77500,250,7400,Jacksonville,50,74,115,126,311,114000,925,234
13,80,96,0,4,2,0,5,4,Outdoor/Natural Grass,1999,80400,278,7400,Kansas City,66,93,129,150,429,158000,1552,638
14,99,75,2,5,1,0,5,5,Outdoor/Natural Grass,1999,82300,200,7400,Miami,52,88,129,160,477,176000,1978,176
15,81,95,0,3,1,1,5,2,Outdoor/Natural Grass,1999,81100,197,7400,Minnesota,51,83,122,146,376,139000,1143,673
16,76,98,2,3,0,0,1,3,Outdoor/Natural Grass,1999,88400,227,7400,New England,60,86,122,156,399,147000,443,99
17,68,108,0,1,0,0,1,1,Outdoor/Natural Grass,1999,82700,239,7400,New Orleans,52,71,92,97,224,82000,2397,522
18,99,77,0,4,0,0,2,4,Outdoor/Natural Grass,1999,81500,269,7400,New York,78,73,127,181,492,181000,1749,21
19,109,65,2,6,3,3,12,3,Outdoor/Natural Grass,1999,79100,200,7400,New Jersey,88,89,138,184,533,196000,3786,390
20,102,74,0,5,2,2,10,3,Outdoor/Natural Grass,1999,77800,252,7400,Oakland,83,110,122,182,497,184000,1862,461
21,84,91,1,4,0,0,3,4,Outdoor/Natural Grass,1999,78200,185,7400,Philadelphia,63,91,119,157,403,148000,2051,982
22,79,97,0,3,0,0,1,3,Outdoor/Natural Grass,1999,78300,207,7400,Pittsburgh,60,75,131,179,429,159000,1773,347
23,89,86,1,3,0,0,2,3,Outdoor/Natural Grass,1999,78300,210,7400,San Diego,83,97,115,182,447,165000,2999,1182
24,80,96,0,2,1,0,3,2,Outdoor/Natural Grass,2020,60200,182,17300,Seattle,41,86,98,92,260,124000,2320,271
25,94,82,0,6,0,0,3,6,Outdoor/Natural Grass,1999,89300,219,7400,San Francisco,94,79,131,198,504,186000,2570,386
26,70,106,0,2,0,0,1,2,Outdoor/Natural Grass,1999,83800,243,7400,St. Louis,56,62,92,88,205,75000,1571,212
27,105,70,1,7,0,0,3,7,Outdoor/Natural Grass,1999,78500,248,7400,Tampa Bay,63,79,115,116,324,120000,1487,354
28,102,74,0,7,0,0,4,7,Outdoor/Natural Grass,1999,83800,199,7400,Tennessee,68,79,110,136,379,139000,1626,137
29,97,79,0,6,1,0,4,6,Outdoor/Natural Grass,1999,77800,216,7400,Washington,57,60,113,107,275,101000,2370,704
30,64,112,0,4,0,0,0,4,Outdoor/Natural Grass,1999,85600,191,7400,Cleveland,59,66,99,139,316,116000,992,52
31,98,77,1,5,1,0,6,5,Outdoor/Natural Grass,1999,79300,231,7400,Houston,90,96,136,195,560,206000,1688,1240
