Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,0,0,45,2017,0,18
Points Scored,0,1,38,2016,0,1
Points Scored,0,2,38,2017,0,10
Points Scored,0,3,37,2015,0,17
Points Scored,0,4,37,2017,0,21
Points Scored,0,5,36,2014,0,18
Points Scored,0,6,36,2017,0,25
Points Scored,0,7,34,2016,0,25
Points Scored,0,8,34,2017,0,28
Points Scored,0,9,31,2015,0,30
Points Scored,0,10,31,2017,0,4
Points Scored,0,11,31,2018,0,23
Points Scored,0,12,30,2014,0,25
Points Scored,0,13,30,2017,0,24
Points Scored,0,14,30,2018,0,24
Points Scored,0,15,30,2018,0,15
Points Scored,0,16,28,2014,0,26
Points Scored,0,17,28,2017,0,24
Points Scored,0,18,27,2015,0,2
Points Scored,0,19,27,2015,0,26
Points Scored,0,20,27,2018,0,29
Points Scored,0,21,26,2018,0,26
Points Scored,0,22,25,2014,0,20
Points Scored,0,23,24,2014,0,25
Points Scored,0,24,24,2015,0,24
Points Scored,0,25,24,2015,0,22
Points Scored,0,26,24,2016,0,3
Points Scored,0,27,24,2016,0,7
Points Scored,0,28,24,2016,0,17
Points Scored,0,29,24,2016,0,24
Points Scored,0,30,24,2017,0,26
Points Scored,0,31,23,2014,0,21
Points Scored,0,32,23,2014,0,13
Points Scored,0,33,23,2015,0,21
Points Scored,0,34,23,2016,0,16
Points Scored,0,35,23,2018,0,8
Points Scored,0,36,23,2018,0,25
Points Scored,0,37,21,2014,0,24
Points Scored,0,38,21,2016,0,26
Points Scored,0,39,21,2017,0,11
Points Scored,0,40,21,2018,0,1
Points Scored,0,41,20,2014,0,7
Points Scored,0,42,20,2015,0,6
Points Scored,0,43,20,2016,0,26
Points Scored,0,44,20,2016,0,25
Points Scored,0,45,20,2018,0,20
Points Scored,0,46,19,2015,0,15
Points Scored,0,47,19,2015,0,25
Points Scored,0,48,19,2017,0,26
Points Scored,0,49,18,2017,0,25
Points Scored,0,50,17,2014,0,8
Points Scored,0,51,17,2014,0,24
Points Scored,0,52,17,2015,0,10
Points Scored,0,53,17,2015,0,9
Points Scored,0,54,17,2015,0,25
Points Scored,0,55,17,2016,0,14
Points Scored,0,56,17,2018,0,13
Points Scored,0,57,17,2018,0,26
Points Scored,0,58,16,2014,0,9
Points Scored,0,59,16,2016,0,24
Points Scored,0,60,16,2016,0,9
Points Scored,0,61,16,2017,0,7
Points Scored,0,62,16,2017,0,31
Points Scored,0,63,16,2018,0,24
Points Scored,0,64,14,2014,0,29
Points Scored,0,65,14,2014,0,1
Points Scored,0,66,14,2016,0,19
Points Scored,0,67,14,2018,0,9
Points Scored,0,68,13,2014,0,23
Points Scored,0,69,13,2015,0,26
Points Scored,0,70,10,2015,0,5
Points Scored,0,71,10,2016,0,4
Points Scored,0,72,10,2017,0,12
Points Scored,0,73,10,2018,0,10
Points Scored,0,74,10,2018,0,5
Points Scored,0,75,9,2016,0,27
Points Scored,0,76,7,2015,0,24
Points Scored,0,77,6,2018,0,25
Points Scored,0,78,3,2014,0,26
Points Scored,0,79,3,2017,0,29
Points Allowed,0,0,0,2017,0,26
Points Allowed,0,1,0,2018,0,8
Points Allowed,0,2,3,2018,0,5
Points Allowed,0,3,3,2018,0,25
Points Allowed,0,4,3,2018,0,25
Points Allowed,0,5,6,2015,0,15
Points Allowed,0,6,7,2014,0,8
Points Allowed,0,7,7,2017,0,12
Points Allowed,0,8,7,2017,0,24
Points Allowed,0,9,7,2018,0,26
Points Allowed,0,10,9,2014,0,9
Points Allowed,0,11,9,2017,0,25
Points Allowed,0,12,9,2018,0,26
Points Allowed,0,13,10,2014,0,20
Points Allowed,0,14,10,2016,0,1
Points Allowed,0,15,10,2016,0,26
Points Allowed,0,16,10,2018,0,24
Points Allowed,0,17,10,2018,0,15
Points Allowed,0,18,12,2017,0,26
Points Allowed,0,19,13,2015,0,26
Points Allowed,0,20,13,2016,0,26
Points Allowed,0,21,13,2016,0,4
Points Allowed,0,22,13,2017,0,11
Points Allowed,0,23,14,2014,0,23
Points Allowed,0,24,14,2014,0,24
Points Allowed,0,25,14,2017,0,7
Points Allowed,0,26,14,2017,0,24
Points Allowed,0,27,16,2014,0,1
Points Allowed,0,28,16,2015,0,5
Points Allowed,0,29,17,2015,0,21
Points Allowed,0,30,17,2015,0,26
Points Allowed,0,31,17,2016,0,17
Points Allowed,0,32,17,2016,0,9
Points Allowed,0,33,17,2016,0,24
Points Allowed,0,34,19,2015,0,30
Points Allowed,0,35,19,2018,0,9
Points Allowed,0,36,20,2016,0,24
Points Allowed,0,37,20,2016,0,14
Points Allowed,0,38,20,2017,0,18
Points Allowed,0,39,21,2014,0,26
Points Allowed,0,40,21,2015,0,24
Points Allowed,0,41,21,2015,0,10
Points Allowed,0,42,21,2015,0,24
Points Allowed,0,43,21,2015,0,22
Points Allowed,0,44,21,2016,0,7
Points Allowed,0,45,21,2016,0,25
Points Allowed,0,46,21,2016,0,25
Points Allowed,0,47,21,2017,0,4
Points Allowed,0,48,21,2018,0,24
Points Allowed,0,49,23,2014,0,7
Points Allowed,0,50,23,2014,0,24
Points Allowed,0,51,23,2015,0,6
Points Allowed,0,52,23,2018,0,1
Points Allowed,0,53,24,2015,0,25
Points Allowed,0,54,24,2017,0,31
Points Allowed,0,55,24,2018,0,29
Points Allowed,0,56,24,2018,0,20
Points Allowed,0,57,24,2018,0,23
Points Allowed,0,58,25,2015,0,9
Points Allowed,0,59,27,2014,0,29
Points Allowed,0,60,27,2014,0,25
Points Allowed,0,61,28,2014,0,25
Points Allowed,0,62,28,2014,0,13
Points Allowed,0,63,28,2015,0,17
Points Allowed,0,64,28,2017,0,25
Points Allowed,0,65,30,2014,0,26
Points Allowed,0,66,30,2016,0,3
Points Allowed,0,67,31,2016,0,16
Points Allowed,0,68,31,2017,0,21
Points Allowed,0,69,31,2017,0,28
Points Allowed,0,70,31,2018,0,13
Points Allowed,0,71,34,2015,0,2
Points Allowed,0,72,34,2016,0,27
Points Allowed,0,73,36,2017,0,29
Points Allowed,0,74,38,2014,0,21
Points Allowed,0,75,40,2015,0,25
Points Allowed,0,76,40,2016,0,19
Points Allowed,0,77,41,2017,0,10
Points Allowed,0,78,41,2018,0,10
Points Allowed,0,79,43,2014,0,18
Passing Yards,0,0,369,2017,0,10
Passing Yards,0,1,360,2014,0,21
Passing Yards,0,2,357,2018,0,20
Passing Yards,0,3,327,2014,0,18
Passing Yards,0,4,323,2017,0,11
Passing Yards,0,5,320,2014,0,13
Passing Yards,0,6,303,2018,0,24
Passing Yards,0,7,301,2014,0,20
Passing Yards,0,8,297,2015,0,24
Passing Yards,0,9,284,2017,0,24
Passing Yards,0,10,279,2014,0,23
Passing Yards,0,11,273,2017,0,21
Passing Yards,0,12,268,2014,0,25
Passing Yards,0,13,261,2014,0,7
Passing Yards,0,14,256,2017,0,25
Passing Yards,0,15,255,2015,0,21
Passing Yards,0,16,254,2016,0,7
Passing Yards,0,17,252,2018,0,13
Passing Yards,0,18,251,2017,0,31
Passing Yards,0,19,249,2017,0,4
Passing Yards,0,20,248,2018,0,26
Passing Yards,0,21,245,2014,0,29
Passing Yards,0,22,239,2016,0,24
Passing Yards,0,23,235,2016,0,14
Passing Yards,0,24,230,2015,0,2
Passing Yards,0,25,224,2016,0,16
Passing Yards,0,26,224,2017,0,28
Passing Yards,0,27,218,2015,0,17
Passing Yards,0,28,217,2017,0,26
Passing Yards,0,29,215,2014,0,8
Passing Yards,0,30,212,2015,0,6
Passing Yards,0,31,208,2014,0,9
Passing Yards,0,32,208,2016,0,26
Passing Yards,0,33,207,2017,0,26
Passing Yards,0,34,206,2015,0,10
Passing Yards,0,35,205,2017,0,18
Passing Yards,0,36,204,2014,0,25
Passing Yards,0,37,202,2015,0,25
Passing Yards,0,38,200,2018,0,5
Passing Yards,0,39,200,2018,0,23
Passing Yards,0,40,199,2015,0,9
Passing Yards,0,41,197,2015,0,24
Passing Yards,0,42,196,2018,0,8
Passing Yards,0,43,196,2018,0,10
Passing Yards,0,44,194,2014,0,26
Passing Yards,0,45,194,2016,0,3
Passing Yards,0,46,193,2017,0,24
Passing Yards,0,47,189,2018,0,29
Passing Yards,0,48,187,2016,0,1
Passing Yards,0,49,186,2018,0,9
Passing Yards,0,50,185,2018,0,25
Passing Yards,0,51,183,2018,0,15
Passing Yards,0,52,182,2014,0,24
Passing Yards,0,53,182,2015,0,30
Passing Yards,0,54,175,2016,0,25
Passing Yards,0,55,174,2015,0,15
Passing Yards,0,56,173,2017,0,7
Passing Yards,0,57,172,2014,0,1
Passing Yards,0,58,172,2015,0,25
