Category,Team/All_Teams,Place,Player,Record,Last_Year
Quarterback Rating,0,0,1536,902,2018
Quarterback Rating,0,1,98,866,2015
Pass Attempts,0,0,1536,1447,2018
Pass Attempts,0,1,98,894,2015
Pass Attempts,0,2,911,66,2014
Pass Attempts,0,3,2394,42,2017
Pass Attempts,0,4,3209,27,2018
Pass Completions,0,0,1536,927,2018
Pass Completions,0,1,98,583,2015
Pass Completions,0,2,911,37,2014
Pass Completions,0,3,2394,30,2017
Pass Completions,0,4,3209,14,2018
Completion Percentage,0,0,98,652,2015
Completion Percentage,0,1,1536,641,2018
Passing Yards,0,0,1536,9766,2018
Passing Yards,0,1,98,5992,2015
Passing Yards,0,2,911,386,2014
Passing Yards,0,3,2394,322,2017
Passing Yards,0,4,3209,131,2018
Yards per Pass Attempt,0,0,1536,675,2018
Yards per Pass Attempt,0,1,98,670,2015
Passing Touchdowns,0,0,1536,64,2018
Passing Touchdowns,0,1,98,26,2015
Passing Touchdowns,0,2,911,2,2014
Passing Touchdowns,0,3,2394,2,2017
Times Sacked,0,0,1536,84,2018
Times Sacked,0,1,98,76,2015
Times Sacked,0,2,911,8,2014
Times Sacked,0,3,3209,3,2018
Times Sacked,0,4,2394,1,2017
300 Yards Passing,0,0,1536,4,2018
300 Yards Passing,0,1,98,3,2015
Rushing Attempts,0,0,1864,1531,2018
Rushing Attempts,0,1,1536,205,2018
Rushing Attempts,0,2,2423,203,2018
Rushing Attempts,0,3,1836,140,2018
Rushing Attempts,0,4,3272,98,2015
Rushing Attempts,0,5,831,92,2015
Rushing Attempts,0,6,1951,61,2016
Rushing Attempts,0,7,98,57,2015
Rushing Attempts,0,8,4891,21,2017
Rushing Attempts,0,9,4071,14,2016
Rushing Attempts,0,10,3270,10,2017
Rushing Attempts,0,11,433,7,2014
Rushing Attempts,0,12,911,6,2014
Rushing Attempts,0,13,842,6,2018
Rushing Attempts,0,14,5741,6,2018
Rushing Attempts,0,15,3209,5,2018
Rushing Attempts,0,16,2394,3,2017
Rushing Attempts,0,17,452,3,2018
Rushing Attempts,0,18,1771,2,2014
Rushing Attempts,0,19,260,2,2017
Rushing Attempts,0,20,2424,1,2016
Rushing Attempts,0,21,3370,1,2016
Rushing Attempts,0,22,4232,1,2018
Rushing Attempts,0,23,4255,1,2018
Rushing Attempts,0,24,5897,1,2018
Rushing Yards,0,0,1864,7457,2018
Rushing Yards,0,1,1536,1248,2018
Rushing Yards,0,2,2423,781,2018
Rushing Yards,0,3,1836,450,2018
Rushing Yards,0,4,3272,348,2015
Rushing Yards,0,5,831,254,2015
Rushing Yards,0,6,98,230,2015
Rushing Yards,0,7,1951,205,2016
Rushing Yards,0,8,4891,122,2017
Rushing Yards,0,9,4071,54,2016
Rushing Yards,0,10,911,40,2014
Rushing Yards,0,11,3270,36,2017
Rushing Yards,0,12,842,32,2018
Rushing Yards,0,13,433,20,2014
Rushing Yards,0,14,5741,18,2018
Rushing Yards,0,15,4255,13,2018
Rushing Yards,0,16,260,12,2017
Rushing Yards,0,17,2394,12,2017
Rushing Yards,0,18,4232,9,2018
Rushing Yards,0,19,452,6,2018
Rushing Yards,0,20,1771,3,2014
Rushing Yards,0,21,2424,1,2016
Yards per Carry,0,0,1864,487,2018
Rushing Touchdowns,0,0,1864,44,2018
Rushing Touchdowns,0,1,2423,6,2018
Rushing Touchdowns,0,2,98,4,2015
Rushing Touchdowns,0,3,1836,4,2018
Rushing Touchdowns,0,4,1536,3,2018
Rushing Touchdowns,0,5,831,2,2015
Rushing Touchdowns,0,6,3272,2,2015
Rushing Touchdowns,0,7,5741,1,2018
100 Yards Rushing,0,0,1864,33,2018
100 Yards Rushing,0,1,831,1,2015
Receptions,0,0,1864,304,2018
Receptions,0,1,842,275,2018
Receptions,0,2,1836,186,2018
Receptions,0,3,1546,130,2015
Receptions,0,4,4255,78,2018
Receptions,0,5,452,70,2018
Receptions,0,6,883,52,2015
Receptions,0,7,1288,51,2016
Receptions,0,8,1675,51,2017
Receptions,0,9,1771,49,2014
Receptions,0,10,1819,44,2016
Receptions,0,11,260,37,2017
Receptions,0,12,557,36,2017
Receptions,0,13,1365,28,2015
Receptions,0,14,2589,21,2014
Receptions,0,15,4232,21,2018
Receptions,0,16,5016,19,2018
Receptions,0,17,2566,18,2015
Receptions,0,18,2512,13,2018
Receptions,0,19,3272,12,2015
Receptions,0,20,831,11,2015
Receptions,0,21,2634,11,2016
Receptions,0,22,2012,10,2014
Receptions,0,23,1093,10,2017
Receptions,0,24,2423,9,2018
Receptions,0,25,1951,8,2016
Receptions,0,26,4980,5,2017
Receptions,0,27,369,4,2014
Receptions,0,28,3358,4,2018
Receptions,0,29,5897,4,2018
Receptions,0,30,1371,3,2014
Receptions,0,31,5741,3,2018
Receptions,0,32,5928,3,2018
Receptions,0,33,1464,2,2014
Receptions,0,34,4071,2,2016
Receptions,0,35,4891,2,2017
Receptions,0,36,3410,1,2015
Receptions,0,37,3370,1,2016
Receiving Yards,0,0,842,3339,2018
Receiving Yards,0,1,1864,2491,2018
Receiving Yards,0,2,1546,1547,2015
Receiving Yards,0,3,1836,1410,2018
Receiving Yards,0,4,4255,1073,2018
Receiving Yards,0,5,452,734,2018
Receiving Yards,0,6,1288,653,2016
Receiving Yards,0,7,260,623,2017
Receiving Yards,0,8,883,618,2015
Receiving Yards,0,9,1771,515,2014
Receiving Yards,0,10,1819,511,2016
Receiving Yards,0,11,1675,412,2017
Receiving Yards,0,12,557,371,2017
Receiving Yards,0,13,1365,320,2015
Receiving Yards,0,14,5016,260,2018
Receiving Yards,0,15,4232,252,2018
Receiving Yards,0,16,2589,248,2014
Receiving Yards,0,17,2566,210,2015
Receiving Yards,0,18,2634,153,2016
Receiving Yards,0,19,831,128,2015
Receiving Yards,0,20,1093,111,2017
Receiving Yards,0,21,2012,66,2014
Receiving Yards,0,22,5897,65,2018
Receiving Yards,0,23,3272,64,2015
Receiving Yards,0,24,2512,60,2018
Receiving Yards,0,25,369,54,2014
Receiving Yards,0,26,4980,52,2017
Receiving Yards,0,27,1464,38,2014
Receiving Yards,0,28,2423,38,2018
Receiving Yards,0,29,3358,35,2018
Receiving Yards,0,30,1371,26,2014
Receiving Yards,0,31,1951,17,2016
Receiving Yards,0,32,5928,17,2018
Receiving Yards,0,33,3410,12,2015
Receiving Yards,0,34,5741,6,2018
Receiving Yards,0,35,4891,5,2017
Receiving Yards,0,36,4071,3,2016
Yards per Reception,0,0,842,1214,2018
Yards per Reception,0,1,1546,1190,2015
Yards per Reception,0,2,1864,819,2018
Yards per Reception,0,3,1836,758,2018
