Team,Wins,Losses,Ties,Playoff_Appearances,Bowl_Appearances,Bowl_Wins,Playoff_Wins,Playoff_Losses,Turf_Type,Year_Stadium_Opened,Stadium_Capacity,Luxury_Boxes,Club_Seats,Home_City,Upper_Deck_Tickets,End_Zone_Tickets,Mezzanine_Tickets,Sideline_Tickets,Club_Seat_Tickets,Luxury_Box_Tickets,Lost_Salary_Cap_This_Season,Lost_Salary_Cap_Next_Season
0,6,10,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Arizona,54,70,75,119,297,124000,137,30
1,4,12,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Atlanta,54,70,75,119,297,124000,51,0
2,5,11,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Baltimore,53,69,75,116,292,122000,143,82
3,8,8,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Buffalo,52,67,75,114,285,119000,21,7
4,10,6,0,1,0,0,0,1,Outdoor/Natural Grass,1999,70000,134,7400,Carolina,51,67,75,113,283,119000,123,14
5,5,11,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Chicago,51,66,75,111,278,116000,180,74
6,10,6,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,Cincinnati,50,65,75,111,278,116000,288,33
7,10,6,0,1,0,0,0,1,Outdoor/Natural Grass,1999,70000,134,7400,Dallas,49,64,75,108,271,113000,244,69
8,5,11,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Denver,49,63,75,106,266,111000,128,42
9,5,11,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Detroit,48,62,75,106,266,111000,339,181
10,10,6,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Green Bay,46,60,75,102,256,107000,71,7
11,5,11,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Indianapolis,45,58,75,99,248,104000,113,3
12,9,7,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Jacksonville,44,58,75,98,245,102000,27,6
13,2,14,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Kansas City,44,57,75,97,242,101000,53,1
14,5,11,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Miami,41,53,75,90,226,95000,313,32
15,10,6,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,Minnesota,40,52,75,89,224,94000,76,2
16,8,8,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,New England,39,51,75,87,219,92000,109,9
17,7,9,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,New Orleans,39,51,75,86,217,91000,75,0
18,7,9,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,New York,39,51,75,86,215,90000,104,5
19,15,1,0,1,1,1,3,0,Outdoor/Natural Grass,1999,70000,134,7400,New Jersey,39,51,75,86,217,91000,62,3
20,10,6,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,Oakland,38,50,75,85,212,89000,75,71
21,8,8,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Philadelphia,37,49,75,82,207,86000,127,6
22,10,6,0,1,0,0,0,1,Outdoor/Natural Grass,1999,70000,134,7400,Pittsburgh,37,49,75,82,205,86000,98,53
23,9,7,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,San Diego,34,45,75,76,191,79000,127,13
24,9,7,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Seattle,33,43,75,73,183,76000,82,17
25,11,5,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,San Francisco,34,45,75,76,191,79000,38,4
26,5,11,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,St. Louis,33,43,75,72,181,76000,64,8
27,13,3,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,Tampa Bay,32,41,75,70,177,74000,238,8
28,10,6,0,1,0,0,0,1,Outdoor/Natural Grass,1999,70000,134,7400,Tennessee,32,41,75,69,174,73000,9,7
29,12,4,0,1,1,0,2,1,Outdoor/Natural Grass,1999,70000,134,7400,Washington,30,39,75,67,167,70000,113,8
30,3,13,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Cleveland,50,65,75,110,276,115000,189,41
31,10,6,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,Houston,45,58,75,100,250,104000,242,15
