Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,4,0,12,2014,4,15
Points Allowed,4,0,37,2014,4,15
Passing Yards,4,0,283,2014,4,15
Passing Yards Allowed,4,0,129,2014,4,15
Rushing Yards,4,0,95,2014,4,15
Rushing Yards Allowed,4,0,142,2014,4,15
Total Yards,4,0,348,2014,4,15
Total Yards Allowed,4,0,271,2014,4,15
Pass Attempts,4,0,44,2014,4,15
Rush Attempts,4,0,23,2014,4,15
Points Scored,6,0,24,2014,6,19
Points Scored,6,1,16,2014,6,22
Points Allowed,6,0,12,2014,6,22
Points Allowed,6,1,34,2014,6,19
Passing Yards,6,0,374,2014,6,19
Passing Yards,6,1,256,2014,6,22
Passing Yards Allowed,6,0,185,2014,6,22
Passing Yards Allowed,6,1,304,2014,6,19
Rushing Yards,6,0,150,2014,6,22
Rushing Yards,6,1,119,2014,6,19
Rushing Yards Allowed,6,0,78,2014,6,22
Rushing Yards Allowed,6,1,87,2014,6,19
Total Yards,6,0,461,2014,6,19
Total Yards,6,1,406,2014,6,22
Total Yards Allowed,6,0,263,2014,6,22
Total Yards Allowed,6,1,386,2014,6,19
Pass Attempts,6,0,45,2014,6,19
Pass Attempts,6,1,27,2014,6,22
Rush Attempts,6,0,32,2014,6,22
Rush Attempts,6,1,20,2014,6,19
Points Scored,7,0,13,2014,7,25
Points Allowed,7,0,20,2014,7,25
Passing Yards,7,0,248,2014,7,25
Passing Yards Allowed,7,0,261,2014,7,25
Rushing Yards,7,0,105,2014,7,25
Rushing Yards Allowed,7,0,60,2014,7,25
Total Yards,7,0,313,2014,7,25
Total Yards Allowed,7,0,307,2014,7,25
Pass Attempts,7,0,35,2014,7,25
Rush Attempts,7,0,31,2014,7,25
Points Scored,15,0,37,2014,15,4
Points Scored,15,1,14,2014,15,27
Points Allowed,15,0,12,2014,15,4
Points Allowed,15,1,21,2014,15,27
Passing Yards,15,0,269,2014,15,27
Passing Yards,15,1,129,2014,15,4
Passing Yards Allowed,15,0,228,2014,15,27
Passing Yards Allowed,15,1,283,2014,15,4
Rushing Yards,15,0,142,2014,15,4
Rushing Yards,15,1,64,2014,15,27
Rushing Yards Allowed,15,0,95,2014,15,4
Rushing Yards Allowed,15,1,187,2014,15,27
Total Yards,15,0,303,2014,15,27
Total Yards,15,1,271,2014,15,4
Total Yards Allowed,15,0,348,2014,15,4
Total Yards Allowed,15,1,395,2014,15,27
Pass Attempts,15,0,36,2014,15,27
Pass Attempts,15,1,20,2014,15,4
Rush Attempts,15,0,33,2014,15,4
Rush Attempts,15,1,22,2014,15,27
Points Scored,19,0,35,2014,19,29
Points Scored,19,1,34,2014,19,6
Points Scored,19,2,26,2014,19,31
Points Allowed,19,0,13,2014,19,31
Points Allowed,19,1,24,2014,19,6
Points Allowed,19,2,24,2014,19,29
Passing Yards,19,0,340,2014,19,31
Passing Yards,19,1,304,2014,19,6
Passing Yards,19,2,206,2014,19,29
Passing Yards Allowed,19,0,149,2014,19,31
Passing Yards Allowed,19,1,192,2014,19,29
Passing Yards Allowed,19,2,374,2014,19,6
Rushing Yards,19,0,168,2014,19,29
Rushing Yards,19,1,163,2014,19,31
Rushing Yards,19,2,87,2014,19,6
Rushing Yards Allowed,19,0,22,2014,19,31
Rushing Yards Allowed,19,1,118,2014,19,29
Rushing Yards Allowed,19,2,119,2014,19,6
Total Yards,19,0,487,2014,19,31
Total Yards,19,1,386,2014,19,6
Total Yards,19,2,355,2014,19,29
Total Yards Allowed,19,0,156,2014,19,31
Total Yards Allowed,19,1,294,2014,19,29
Total Yards Allowed,19,2,461,2014,19,6
Pass Attempts,19,0,38,2014,19,31
Pass Attempts,19,1,30,2014,19,6
Pass Attempts,19,2,26,2014,19,29
Rush Attempts,19,0,40,2014,19,29
Rush Attempts,19,1,33,2014,19,6
Rush Attempts,19,2,33,2014,19,31
Points Scored,20,0,23,2014,20,28
Points Scored,20,1,20,2014,20,31
Points Allowed,20,0,13,2014,20,28
Points Allowed,20,1,27,2014,20,31
Passing Yards,20,0,209,2014,20,28
Passing Yards,20,1,177,2014,20,31
Passing Yards Allowed,20,0,225,2014,20,28
Passing Yards Allowed,20,1,244,2014,20,31
Rushing Yards,20,0,148,2014,20,31
Rushing Yards,20,1,129,2014,20,28
Rushing Yards Allowed,20,0,80,2014,20,31
Rushing Yards Allowed,20,1,113,2014,20,28
Total Yards,20,0,322,2014,20,28
Total Yards,20,1,305,2014,20,31
Total Yards Allowed,20,0,319,2014,20,28
