Player_ID,Number_Formations,I_Normal,I_TE_Pairs,I_WR_Slot,Pro_Normal,Pro_TE_Pairs,Pro_WR_Slot,Weak_Normal,Weak_TE_Pairs,Weak_Three_WR,Strong_Normal,Strong_TE_Pairs,Strong_Three_WR,Single-Back_Normal,Single-Back_TE_Pairs,Single-Back_Trips_WR,Single-Back_Four_WR,Five_WR_Spread,Goal_Line_Three_TE
4,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,16,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
9,12,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1
20,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,17,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
28,15,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
29,14,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1
34,11,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1
41,16,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
53,15,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
69,12,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1
73,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,16,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
98,10,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1
104,14,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1
112,15,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
123,15,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
140,15,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1
142,10,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1
154,14,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1
164,16,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
168,17,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
174,17,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
177,16,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
185,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,13,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1
208,12,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
246,11,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
247,14,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1
269,12,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
320,14,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1
363,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
370,13,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1
376,11,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
421,11,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1
489,10,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1
541,11,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1
550,17,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
559,15,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
562,15,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
586,17,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
648,12,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
717,15,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
738,11,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
741,13,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1
744,10,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1
792,11,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
798,12,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1
801,15,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
852,15,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
860,16,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
898,11,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1
911,14,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1
966,14,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1
1006,14,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1
1052,10,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1
1082,14,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1
1092,15,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
1124,11,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
1138,11,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1
1163,13,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1
1187,9,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1
1221,10,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1
1226,14,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1
1291,13,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1
1313,14,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1
1323,12,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1
1344,9,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1
1345,15,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
1435,12,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1
1441,11,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1
1451,13,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1
1458,10,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1
1461,14,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1
1480,13,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1
1488,11,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1
1536,12,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1
1557,12,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
1592,10,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1
1653,12,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
1654,9,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1
1662,9,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1
1724,9,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1
1751,11,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1
