Year,Team,Playoff_Performance,Average_Attendance,Percent_of_Capacity_(of_1000),TV_Contract_(all_money_is_in_thousands),Ticket_Revenue,Suite_Revenue,Salary_Cost,Bonuses,Concessions,Parking,Advertising,Staff_Cost,Maintenance,Stadium_Payments,Overall_Performance,Franchise_Value,Profit,Season_Tickets_Sold,Capacity,Top_Quarterback,Top_Rusher,Top_Receiver,Top_Tackler,Coach,Quarterback_Passing_Yardage,Rusher_Yardage,Receiver_Yardage,Tackles
2014,0,None,0,0,0,54360,37260,72800,0,0,0,0,0,0,0,0,0,0,0,0,98,1864,1546,794,0,3330,1242,1006,91
2014,1,None,0,0,0,54990,32880,72330,0,0,0,0,0,0,0,0,0,0,0,0,185,960,493,988,5,3776,513,1009,106
2014,2,None,0,0,0,53980,36480,70930,0,0,0,0,0,0,0,0,0,0,0,0,741,917,742,1459,10,3770,964,1121,130
2014,3,None,0,0,0,62950,38390,73290,0,0,0,0,0,0,0,0,0,0,0,0,1488,477,571,708,15,2986,1486,848,101
2014,4,Wild Card,0,0,0,54670,35720,72980,0,0,0,0,0,0,0,0,0,0,0,0,363,170,150,482,20,2870,1241,839,118
2014,5,None,0,0,0,54630,36590,73310,0,0,0,0,0,0,0,0,0,0,0,0,1006,1006,1639,1560,25,3547,703,895,107
2014,6,Division,0,0,0,59010,38830,73710,0,0,0,0,0,0,0,0,0,0,0,0,1441,1134,23,1824,30,3800,1169,1012,116
2014,7,Wild Card,0,0,0,61020,36960,74080,0,0,0,0,0,0,0,0,0,0,0,0,648,1829,557,1128,35,3172,772,985,132
2014,8,None,0,0,0,51150,34310,71730,0,0,0,0,0,0,0,0,0,0,0,0,5,1109,533,884,40,2509,1178,859,110
2014,9,None,0,0,0,56810,34340,72850,0,0,0,0,0,0,0,0,0,0,0,0,1925,1069,1799,838,45,2672,936,775,107
2014,10,None,0,0,0,53130,34300,72760,0,0,0,0,0,0,0,0,0,0,0,0,41,1550,46,690,50,3621,1140,1042,111
2014,11,None,0,0,0,51240,32850,72460,0,0,0,0,0,0,0,0,0,0,0,0,1221,1637,36,1040,55,2189,737,1168,106
2014,12,None,0,0,0,53230,29790,72660,0,0,0,0,0,0,0,0,0,0,0,0,1138,165,779,312,60,4273,845,1302,125
2014,13,None,0,0,0,48510,31070,72940,0,0,0,0,0,0,0,0,0,0,0,0,154,947,1089,1121,65,2853,942,811,109
2014,14,None,0,0,0,53390,30550,73130,0,0,0,0,0,0,0,0,0,0,0,0,898,1496,1544,1789,70,3514,832,1147,114
2014,15,Division,0,0,0,53260,33930,72960,0,0,0,0,0,0,0,0,0,0,0,0,177,1808,377,634,75,4165,804,1138,102
2014,16,None,0,0,0,47710,30020,73360,0,0,0,0,0,0,0,0,0,0,0,0,94,395,599,1485,80,3887,720,1164,103
2014,17,None,0,0,0,47230,29980,72840,0,0,0,0,0,0,0,0,0,0,0,0,29,913,1830,431,85,3586,872,883,90
2014,18,None,0,0,0,51900,30060,72860,0,0,0,0,0,0,0,0,0,0,0,0,1557,1762,353,997,90,4398,1033,1340,128
2014,19,Champion,0,0,0,64930,36340,73990,0,0,0,0,0,0,0,0,0,0,0,0,112,1740,1716,783,95,4257,1338,1102,93
2014,20,Division,0,0,0,54150,30180,72800,0,0,0,0,0,0,0,0,0,0,0,0,1662,731,1850,257,100,3239,1196,819,110
2014,21,None,0,0,0,45870,28320,74530,0,0,0,0,0,0,0,0,0,0,0,0,1092,632,1752,999,105,4094,1023,1006,91
2014,22,Wild Card,0,0,0,46910,28180,72890,0,0,0,0,0,0,0,0,0,0,0,0,738,581,16,196,110,3946,992,1464,96
2014,23,None,0,0,0,41570,25960,73890,0,0,0,0,0,0,0,0,0,0,0,0,142,1220,714,116,115,3129,798,1002,98
2014,24,None,0,0,0,40530,24800,74220,0,0,0,0,0,0,0,0,0,0,0,0,73,1837,1295,908,120,2949,1457,751,97
2014,25,Division,0,0,0,47490,28500,74180,0,0,0,0,0,0,0,0,0,0,0,0,28,459,238,233,125,4284,1245,1468,93
2014,26,None,0,0,0,37860,23890,73580,0,0,0,0,0,0,0,0,0,0,0,0,562,998,192,223,130,4363,878,1419,111
2014,27,Conference,0,0,0,48300,29010,73660,0,0,0,0,0,0,0,0,0,0,0,0,376,57,1878,1166,135,3090,1253,737,95
2014,28,Wild Card,0,0,0,42340,24000,73760,0,0,0,0,0,0,0,0,0,0,0,0,104,1739,547,385,140,3614,1117,1069,94
2014,29,Won Conference,0,0,0,52760,25980,74390,0,0,0,0,0,0,0,0,0,0,0,0,9,686,945,90,145,4695,764,1181,87
2014,30,None,0,0,0,51500,33900,72310,0,0,0,0,0,0,0,0,0,0,0,0,1323,332,163,290,150,2715,490,635,119
2014,31,Conference,0,0,0,58490,37170,72030,0,0,0,0,0,0,0,0,0,0,0,0,320,754,771,1619,155,3178,983,1313,107
