Category,Team/All_Teams,Place,Record,Year,Team
Points Scored,0,0,202,2014,0
Points Allowed,0,0,223,2014,0
Passing Yards,0,0,2364,2014,0
Passing Yards Allowed,0,0,2333,2014,0
Rushing Yards,0,0,1098,2014,0
Rushing Yards Allowed,0,0,1221,2014,0
Total Yards,0,0,3463,2014,0
Total Yards Allowed,0,0,3554,2014,0
Pass Attempts,0,0,356,2014,0
Rush Attempts,0,0,282,2014,0
Points Scored,1,0,150,2014,1
Points Allowed,1,0,253,2014,1
Passing Yards,1,0,2365,2014,1
Passing Yards Allowed,1,0,2420,2014,1
Rushing Yards,1,0,613,2014,1
Rushing Yards Allowed,1,0,1556,2014,1
Total Yards,1,0,2978,2014,1
Total Yards Allowed,1,0,3976,2014,1
Pass Attempts,1,0,428,2014,1
Rush Attempts,1,0,174,2014,1
Points Scored,2,0,181,2014,2
Points Allowed,2,0,250,2014,2
Passing Yards,2,0,2370,2014,2
Passing Yards Allowed,2,0,2084,2014,2
Rushing Yards,2,0,957,2014,2
Rushing Yards Allowed,2,0,1057,2014,2
Total Yards,2,0,3328,2014,2
Total Yards Allowed,2,0,3141,2014,2
Pass Attempts,2,0,415,2014,2
Rush Attempts,2,0,253,2014,2
Points Scored,3,0,193,2014,3
Points Allowed,3,0,203,2014,3
Passing Yards,3,0,1866,2014,3
Passing Yards Allowed,3,0,2216,2014,3
Rushing Yards,3,0,1420,2014,3
Rushing Yards Allowed,3,0,1122,2014,3
Total Yards,3,0,3286,2014,3
Total Yards Allowed,3,0,3338,2014,3
Pass Attempts,3,0,277,2014,3
Rush Attempts,3,0,335,2014,3
Points Scored,4,0,240,2014,4
Points Allowed,4,0,188,2014,4
Passing Yards,4,0,1828,2014,4
Passing Yards Allowed,4,0,2203,2014,4
Rushing Yards,4,0,1297,2014,4
Rushing Yards Allowed,4,0,1159,2014,4
Total Yards,4,0,3125,2014,4
Total Yards Allowed,4,0,3362,2014,4
Pass Attempts,4,0,280,2014,4
Rush Attempts,4,0,338,2014,4
Points Scored,5,0,158,2014,5
Points Allowed,5,0,236,2014,5
Passing Yards,5,0,2215,2014,5
Passing Yards Allowed,5,0,2081,2014,5
Rushing Yards,5,0,1045,2014,5
Rushing Yards Allowed,5,0,1373,2014,5
Total Yards,5,0,3260,2014,5
Total Yards Allowed,5,0,3454,2014,5
Pass Attempts,5,0,378,2014,5
Rush Attempts,5,0,265,2014,5
Points Scored,6,0,238,2014,6
Points Allowed,6,0,201,2014,6
Passing Yards,6,0,2507,2014,6
Passing Yards Allowed,6,0,2315,2014,6
Rushing Yards,6,0,1249,2014,6
Rushing Yards Allowed,6,0,1063,2014,6
Total Yards,6,0,3756,2014,6
Total Yards Allowed,6,0,3379,2014,6
Pass Attempts,6,0,356,2014,6
Rush Attempts,6,0,290,2014,6
Points Scored,7,0,177,2014,7
Points Allowed,7,0,185,2014,7
Passing Yards,7,0,2030,2014,7
Passing Yards Allowed,7,0,2351,2014,7
Rushing Yards,7,0,1138,2014,7
Rushing Yards Allowed,7,0,1285,2014,7
Total Yards,7,0,3168,2014,7
Total Yards Allowed,7,0,3637,2014,7
Pass Attempts,7,0,352,2014,7
Rush Attempts,7,0,265,2014,7
Points Scored,8,0,166,2014,8
Points Allowed,8,0,220,2014,8
Passing Yards,8,0,2048,2014,8
Passing Yards Allowed,8,0,2551,2014,8
Rushing Yards,8,0,1132,2014,8
Rushing Yards Allowed,8,0,1153,2014,8
Total Yards,8,0,3181,2014,8
Total Yards Allowed,8,0,3705,2014,8
Pass Attempts,8,0,342,2014,8
Rush Attempts,8,0,270,2014,8
Points Scored,9,0,143,2014,9
Points Allowed,9,0,240,2014,9
Passing Yards,9,0,1779,2014,9
Passing Yards Allowed,9,0,2278,2014,9
Rushing Yards,9,0,1066,2014,9
Rushing Yards Allowed,9,0,1150,2014,9
Total Yards,9,0,2846,2014,9
Total Yards Allowed,9,0,3429,2014,9
Pass Attempts,9,0,330,2014,9
Rush Attempts,9,0,278,2014,9
Points Scored,10,0,227,2014,10
Points Allowed,10,0,166,2014,10
Passing Yards,10,0,2263,2014,10
Passing Yards Allowed,10,0,2140,2014,10
Rushing Yards,10,0,1361,2014,10
Rushing Yards Allowed,10,0,855,2014,10
Total Yards,10,0,3624,2014,10
Total Yards Allowed,10,0,2995,2014,10
Pass Attempts,10,0,335,2014,10
Rush Attempts,10,0,318,2014,10
Points Scored,11,0,201,2014,11
Points Allowed,11,0,250,2014,11
Passing Yards,11,0,2560,2014,11
Passing Yards Allowed,11,0,2566,2014,11
Rushing Yards,11,0,1005,2014,11
Rushing Yards Allowed,11,0,1286,2014,11
Total Yards,11,0,3565,2014,11
Total Yards Allowed,11,0,3853,2014,11
Pass Attempts,11,0,356,2014,11
Rush Attempts,11,0,270,2014,11
Points Scored,12,0,258,2014,12
Points Allowed,12,0,236,2014,12
Passing Yards,12,0,2715,2014,12
Passing Yards Allowed,12,0,2646,2014,12
Rushing Yards,12,0,953,2014,12
Rushing Yards Allowed,12,0,861,2014,12
Total Yards,12,0,3669,2014,12
Total Yards Allowed,12,0,3508,2014,12
Pass Attempts,12,0,418,2014,12
Rush Attempts,12,0,230,2014,12
Points Scored,13,0,152,2014,13
Points Allowed,13,0,239,2014,13
Passing Yards,13,0,1821,2014,13
Passing Yards Allowed,13,0,2255,2014,13
Rushing Yards,13,0,1061,2014,13
Rushing Yards Allowed,13,0,1066,2014,13
Total Yards,13,0,2883,2014,13
Total Yards Allowed,13,0,3321,2014,13
Pass Attempts,13,0,338,2014,13
Rush Attempts,13,0,236,2014,13
Points Scored,14,0,165,2014,14
Points Allowed,14,0,220,2014,14
Passing Yards,14,0,2285,2014,14
Passing Yards Allowed,14,0,2195,2014,14
Rushing Yards,14,0,870,2014,14
Rushing Yards Allowed,14,0,1073,2014,14
Total Yards,14,0,3155,2014,14
Total Yards Allowed,14,0,3268,2014,14
Pass Attempts,14,0,425,2014,14
Rush Attempts,14,0,228,2014,14
Points Scored,15,0,263,2014,15
Points Allowed,15,0,191,2014,15
Passing Yards,15,0,2603,2014,15
Passing Yards Allowed,15,0,2253,2014,15
Rushing Yards,15,0,1207,2014,15
Rushing Yards Allowed,15,0,1256,2014,15
Total Yards,15,0,3810,2014,15
Total Yards Allowed,15,0,3510,2014,15
Pass Attempts,15,0,329,2014,15
Rush Attempts,15,0,275,2014,15
Points Scored,16,0,247,2014,16
Points Allowed,16,0,170,2014,16
Passing Yards,16,0,2429,2014,16
Passing Yards Allowed,16,0,2035,2014,16
Rushing Yards,16,0,1018,2014,16
Rushing Yards Allowed,16,0,1203,2014,16
Total Yards,16,0,3448,2014,16
Total Yards Allowed,16,0,3238,2014,16
Pass Attempts,16,0,350,2014,16
Rush Attempts,16,0,258,2014,16
Points Scored,17,0,180,2014,17
Points Allowed,17,0,205,2014,17
Passing Yards,17,0,2247,2014,17
