Year,Team_ID,Unit,Games,Rushes,Rushing_Yards,Pass_Attempts,Completions,Passing_Yards,Fumbles_Lost,Intercepted,Third_Down_Conversions,Third_Down_Attempts,Touchdowns,Points_Scored,Penalties,Penalty_Yards,Red_Zone_Visits,Red_Zone_Touchdowns,Red_Zone_Field_Goals,Sacks,Runs_Left,Runs_Left_Yardage,Runs_Center,Runs_Center_Yardage,Runs_Right,Runs_Right_Yardage,Short_Passes,Short_Pass_Completions,Short_Pass_Yardage,Medium_Passes,Medium_Pass_Completions,Medium_Pass_Yardage,Long_Passes,Long_Pass_Completions,Long_Pass_Yardage,Fourth_Down_Attempts,Fourth_Down_Conversions,Third_Down_YtG_Total,Sack_Yardage,Fumbles,Red_Zone_Rushes,Red_Zone_Rushing_Yardage,Red_Zone_Passes,Red_Zone_Pass_Completions,Red_Zone_Passing_Yardage,First_Downs_Rushing,First_Downs_Passing,First_Downs_Penalty,Punts,Punting_Yardage,Punting_Net_Yardage,Punt_Returns,Punt_Return_Yardage,Kickoff_Returns,Kickoff_Return_Yardage,Field_Goals,Field_Goals_Attempted,Points_After_Touchdown,PATs_Attempted,Two-Point_Conversion_Attempts,Two-Point_Conversions,Passes_Defensed,Key_Run_Blocks,Key_Run_Block_Opportunities,Hurries,Blocked_Passes,Run_Plays,Pass_Plays,Touchdowns_Passing,Touchdowns_Rushing,Passes_Dropped,Running_Back_Runs,Running_Back_Run_Yardage
2014,0,Offense,16,452,1758,571,361,3783,8,4,94,241,29,324,94,732,43,21,19,51,126,576,270,1027,49,165,330,244,2005,190,98,1188,50,19,590,2,5,1952,277,15,57,168,56,30,179,97,193,23,104,4299,3608,38,268,44,1090,28,34,34,34,0,0,68,135,419,61,10,452,622,13,15,30,393,1514
2014,0,Defense,16,418,1954,536,332,3733,8,15,73,208,40,358,104,756,45,25,17,40,94,521,240,1129,75,316,295,229,1990,183,84,1233,58,19,510,6,10,1814,230,21,57,148,50,35,260,104,181,23,95,4303,3635,42,411,38,852,24,25,40,41,0,0,65,121,361,59,16,418,576,25,13,30,0,0
2014,1,Offense,16,279,981,685,382,3785,6,21,64,227,21,241,97,685,31,11,18,25,70,356,161,487,42,145,418,278,2253,192,89,1172,75,15,360,6,15,1924,169,8,34,78,51,29,176,54,173,30,112,4954,4164,35,316,33,709,27,28,20,20,3,1,57,80,257,70,16,279,710,14,7,46,256,887
2014,1,Defense,16,544,2490,570,360,3873,6,13,102,246,41,406,122,900,51,27,22,27,132,606,282,1306,116,597,365,268,2344,141,75,1038,62,17,491,5,8,1887,158,13,74,226,47,31,225,135,204,15,90,4079,3423,55,570,32,698,33,41,43,43,1,0,95,182,495,82,20,544,597,26,15,32,0,0
2014,2,Offense,16,406,1532,664,404,3793,11,24,83,250,30,290,105,722,43,19,19,37,132,511,205,811,61,223,379,282,1988,206,102,1310,74,20,495,7,15,1985,257,18,57,108,51,34,163,87,190,24,108,4982,3959,49,463,28,624,24,31,30,30,1,1,70,118,360,63,24,406,701,17,11,36,348,1260
2014,2,Defense,16,427,1692,571,321,3335,9,22,91,252,40,401,92,649,47,24,20,41,124,469,220,939,74,295,338,223,1662,162,76,1042,71,22,631,1,6,2079,274,10,60,135,67,31,220,90,161,19,109,4856,4116,51,703,38,889,30,32,43,43,0,0,68,118,376,76,19,427,612,22,15,32,0,0
2014,3,Offense,16,537,2272,444,274,2986,10,14,83,224,33,309,80,556,44,27,15,24,77,338,285,1213,170,727,251,188,1646,146,74,1018,47,12,322,2,8,1585,148,15,77,209,50,35,180,112,155,12,101,4264,3677,20,109,42,812,23,26,32,32,2,1,71,160,484,38,8,537,468,21,11,27,446,1856
2014,3,Defense,16,442,1796,514,329,3546,10,13,75,214,35,325,99,686,39,20,17,38,99,344,224,921,113,538,299,233,1879,155,80,1207,56,16,460,2,11,1736,225,19,52,162,47,36,233,93,172,20,92,4022,3493,37,287,43,1035,24,32,35,36,0,0,43,143,391,52,15,442,552,23,11,26,0,0
2014,4,Offense,16,542,2076,448,256,2925,9,15,87,241,38,384,95,682,42,25,14,39,143,527,249,1070,144,486,240,166,1356,145,71,1052,62,19,517,1,8,1977,242,26,55,145,40,22,167,114,143,15,106,5025,4147,44,519,31,722,27,31,43,43,0,0,72,142,473,68,17,542,487,21,16,28,459,1548
2014,4,Defense,16,420,1855,581,339,3525,18,20,75,231,29,302,95,638,39,19,14,47,131,678,233,997,47,192,331,238,2036,180,88,1120,69,13,369,5,14,1830,276,23,55,172,43,20,110,99,161,24,104,4590,3831,45,438,35,765,23,28,31,31,2,1,46,122,370,68,12,420,628,10,18,32,0,0
