Stage,Year,Player_ID/Staff_ID/Round,Transaction,Team,Position_Group/Year,Money,Years/Original_Position/Destination_City,Original_Team/Destination_Position/Misc.
Ex. Season Week 1,2014,765,signed as a free agent,19,C,65,1,0
Ex. Season Week 1,2014,2363,signed as a free agent,19,QB,42,1,0
Ex. Season Week 1,2014,2583,signed as a free agent,19,WR,42,1,0
Ex. Season Week 1,2014,2249,signed as a free agent,19,ILB,42,1,0
Ex. Season Week 1,2014,8,signed as a free agent,19,TE,96,1,0
Ex. Season Week 1,2014,378,signed as a free agent,19,ILB,73,1,0
Ex. Season Week 1,2014,1116,signed as a free agent,19,ILB,57,1,0
Ex. Season Week 1,2014,2355,signed as a free agent,1,QB,42,1,0
Ex. Season Week 1,2014,2638,signed as a free agent,1,C,42,1,0
Ex. Season Week 1,2014,994,signed as a free agent,1,WR,65,1,0
Ex. Season Week 1,2014,294,signed as a free agent,1,C,73,1,0
Ex. Season Week 1,2014,326,signed as a free agent,1,ILB,86,1,0
Ex. Season Week 1,2014,2170,signed as a free agent,1,DT,42,1,0
Ex. Season Week 1,2014,1561,signed as a free agent,1,DE,42,1,0
Ex. Season Week 1,2014,2377,signed as a free agent,2,QB,42,1,0
Ex. Season Week 1,2014,2564,signed as a free agent,2,WR,42,1,0
Ex. Season Week 1,2014,2078,signed as a free agent,2,C,42,1,0
Ex. Season Week 1,2014,2250,signed as a free agent,2,ILB,42,1,0
Ex. Season Week 1,2014,2341,signed as a free agent,2,C,42,1,0
Ex. Season Week 1,2014,3090,signed as a free agent,2,CB,42,1,0
Ex. Season Week 1,2014,3034,signed as a free agent,2,OLB,42,1,0
Ex. Season Week 1,2014,2240,signed as a free agent,2,OLB,42,1,0
Ex. Season Week 1,2014,1638,released,2,OLB,0,0,0
Ex. Season Week 1,2014,2651,signed as a free agent,6,C,42,1,0
Ex. Season Week 1,2014,252,signed as a free agent,6,C,86,1,0
Ex. Season Week 1,2014,586,signed as a free agent,6,QB,65,1,0
Ex. Season Week 1,2014,2565,signed as a free agent,6,WR,42,1,0
Ex. Season Week 1,2014,2326,signed as a free agent,6,S,42,1,0
Ex. Season Week 1,2014,1303,signed as a free agent,6,DE,57,1,0
Ex. Season Week 1,2014,409,signed as a free agent,6,DE,73,1,0
Ex. Season Week 1,2014,860,signed as a free agent,15,QB,65,1,0
Ex. Season Week 1,2014,2660,signed as a free agent,15,C,42,1,0
Ex. Season Week 1,2014,2536,signed as a free agent,15,TE,42,1,0
Ex. Season Week 1,2014,1174,signed as a free agent,15,WR,57,1,0
Ex. Season Week 1,2014,872,signed as a free agent,15,DT,73,1,0
Ex. Season Week 1,2014,2882,signed as a free agent,15,DE,42,1,0
Ex. Season Week 1,2014,1440,signed as a free agent,15,S,57,1,0
Ex. Season Week 1,2014,1082,signed as a free agent,26,QB,65,1,0
Ex. Season Week 1,2014,2646,signed as a free agent,26,C,42,1,0
Ex. Season Week 1,2014,155,signed as a free agent,26,TE,73,1,0
Ex. Season Week 1,2014,1316,signed as a free agent,26,WR,50,1,0
Ex. Season Week 1,2014,868,signed as a free agent,26,OLB,57,1,0
Ex. Season Week 1,2014,1713,signed as a free agent,26,CB,42,1,0
Ex. Season Week 1,2014,68,signed as a free agent,26,DE,96,1,0
Ex. Season Week 1,2014,596,signed as a free agent,26,DE,73,1,0
Ex. Season Week 1,2014,3052,released,26,OLB,0,0,0
Ex. Season Week 1,2014,552,signed as a free agent,25,ILB,73,1,0
Ex. Season Week 1,2014,1353,signed as a free agent,25,WR,50,1,0
Ex. Season Week 1,2014,156,signed as a free agent,25,C,86,1,0
Ex. Season Week 1,2014,2394,signed as a free agent,25,QB,42,1,0
Ex. Season Week 1,2014,43,signed as a free agent,25,TE,96,1,0
Ex. Season Week 1,2014,881,signed as a free agent,25,ILB,65,1,0
Ex. Season Week 1,2014,2989,signed as a free agent,25,ILB,42,1,0
Ex. Season Week 1,2014,32,signed as a free agent,7,TE,96,1,0
Ex. Season Week 1,2014,1922,signed as a free agent,7,QB,42,1,0
Ex. Season Week 1,2014,2590,signed as a free agent,7,WR,42,1,0
Ex. Season Week 1,2014,1184,signed as a free agent,7,C,42,1,0
Ex. Season Week 1,2014,580,signed as a free agent,7,CB,65,1,0
Ex. Season Week 1,2014,14,signed as a free agent,7,DE,96,1,0
Ex. Season Week 1,2014,989,signed as a free agent,7,DE,73,1,0
Ex. Season Week 1,2014,1486,signed as a free agent,4,WR,50,1,0
Ex. Season Week 1,2014,2081,signed as a free agent,4,C,42,1,0
Ex. Season Week 1,2014,1923,signed as a free agent,4,QB,42,1,0
Ex. Season Week 1,2014,2344,signed as a free agent,4,C,42,1,0
Ex. Season Week 1,2014,595,signed as a free agent,4,CB,73,1,0
Ex. Season Week 1,2014,213,signed as a free agent,4,DE,86,1,0
Ex. Season Week 1,2014,2181,signed as a free agent,4,DT,42,1,0
Ex. Season Week 1,2014,247,signed as a free agent,29,QB,86,1,0
Ex. Season Week 1,2014,2080,signed as a free agent,29,C,42,1,0
Ex. Season Week 1,2014,2347,signed as a free agent,29,C,42,1,0
Ex. Season Week 1,2014,1683,signed as a free agent,29,WR,42,1,0
Ex. Season Week 1,2014,3007,signed as a free agent,29,ILB,42,1,0
Ex. Season Week 1,2014,1148,signed as a free agent,29,ILB,57,1,0
Ex. Season Week 1,2014,590,signed as a free agent,29,ILB,73,1,0
Ex. Season Week 1,2014,916,signed as a free agent,14,TE,65,1,0
Ex. Season Week 1,2014,2381,signed as a free agent,14,QB,42,1,0
Ex. Season Week 1,2014,2632,signed as a free agent,14,WR,42,1,0
Ex. Season Week 1,2014,361,signed as a free agent,14,C,65,1,0
Ex. Season Week 1,2014,3041,signed as a free agent,14,OLB,42,1,0
Ex. Season Week 1,2014,2860,signed as a free agent,14,DE,42,1,0
Ex. Season Week 1,2014,873,signed as a free agent,14,DE,57,1,0
Ex. Season Week 1,2014,2074,signed as a free agent,0,C,42,1,0
Ex. Season Week 1,2014,721,signed as a free agent,0,ILB,65,1,0
Ex. Season Week 1,2014,1305,signed as a free agent,0,WR,57,1,0
Ex. Season Week 1,2014,1910,signed as a free agent,0,QB,42,1,0
Ex. Season Week 1,2014,2509,signed as a free agent,0,TE,42,1,0
Ex. Season Week 1,2014,2236,signed as a free agent,0,OLB,42,1,0
Ex. Season Week 1,2014,1502,signed as a free agent,0,OLB,42,1,0
Ex. Season Week 1,2014,467,signed as a free agent,31,C,73,1,0
Ex. Season Week 1,2014,1859,signed as a free agent,31,QB,42,1,0
Ex. Season Week 1,2014,2634,signed as a free agent,31,WR,42,1,0
Ex. Season Week 1,2014,2545,signed as a free agent,31,TE,42,1,0
Ex. Season Week 1,2014,1497,signed as a free agent,31,ILB,42,1,0
Ex. Season Week 1,2014,3167,signed as a free agent,31,S,42,1,0
Ex. Season Week 1,2014,483,signed as a free agent,31,OLB,73,1,0
Ex. Season Week 1,2014,832,signed as a free agent,31,ILB,65,1,0
Ex. Season Week 1,2014,1975,released,31,FB,0,0,0
Ex. Season Week 1,2014,441,signed as a free agent,20,TE,73,1,0
Ex. Season Week 1,2014,1862,signed as a free agent,20,WR,42,1,0
Ex. Season Week 1,2014,1914,signed as a free agent,20,QB,42,1,0
Ex. Season Week 1,2014,2073,signed as a free agent,20,C,42,1,0
Ex. Season Week 1,2014,1290,signed as a free agent,20,S,65,1,0
Ex. Season Week 1,2014,3051,signed as a free agent,20,OLB,42,1,0
Ex. Season Week 1,2014,1742,signed as a free agent,20,DT,42,1,0
Ex. Season Week 1,2014,1206,signed as a free agent,20,DE,57,1,0
Ex. Season Week 1,2014,2489,released,20,FB,0,0,0
Ex. Season Week 1,2014,18,signed as a free agent,21,ILB,86,1,0
Ex. Season Week 1,2014,2663,signed as a free agent,21,C,42,1,0
Ex. Season Week 1,2014,1926,signed as a free agent,21,QB,42,1,0
Ex. Season Week 1,2014,692,signed as a free agent,21,WR,73,1,0
Ex. Season Week 1,2014,362,signed as a free agent,21,ILB,73,1,0
Ex. Season Week 1,2014,588,signed as a free agent,21,CB,73,1,0
Ex. Season Week 1,2014,1572,signed as a free agent,21,OLB,42,1,0
Ex. Season Week 1,2014,393,signed as a free agent,21,ILB,86,1,0
Ex. Season Week 1,2014,3055,released,21,OLB,0,0,0
Ex. Season Week 1,2014,548,signed as a free agent,9,TE,57,1,0
Ex. Season Week 1,2014,2357,signed as a free agent,9,QB,42,1,0
Ex. Season Week 1,2014,723,signed as a free agent,9,WR,73,1,0
Ex. Season Week 1,2014,2076,signed as a free agent,9,C,42,1,0
Ex. Season Week 1,2014,1655,signed as a free agent,9,OLB,42,1,0
Ex. Season Week 1,2014,706,signed as a free agent,9,S,65,1,0
Ex. Season Week 1,2014,1312,signed as a free agent,9,DE,57,1,0
Ex. Season Week 1,2014,300,signed as a free agent,9,DE,65,1,0
Ex. Season Week 1,2014,461,released,9,FB,0,0,0
Ex. Season Week 1,2014,1894,signed as a free agent,27,QB,42,1,0
Ex. Season Week 1,2014,768,signed as a free agent,27,WR,65,1,0
Ex. Season Week 1,2014,2087,signed as a free agent,27,C,42,1,0
Ex. Season Week 1,2014,2647,signed as a free agent,27,C,42,1,0
Ex. Season Week 1,2014,2846,signed as a free agent,27,DE,42,1,0
Ex. Season Week 1,2014,2877,signed as a free agent,27,DE,42,1,0
Ex. Season Week 1,2014,702,signed as a free agent,27,ILB,73,1,0
