Staff_ID,Year,Role,Wins,Losses,Ties,Playoffs,Team
0,2014,Assistant Coach,11,7,0,Division,6
1,2014,Offensive Coordinator,6,10,0,None,0
2,2014,Defensive Coordinator,6,10,0,None,0
3,2014,Assistant Coach,6,10,0,None,0
4,2014,Strength Coordinator,6,10,0,None,0
5,2014,Head Coach,4,12,0,None,1
6,2014,Offensive Coordinator,4,12,0,None,1
7,2014,Defensive Coordinator,4,12,0,None,1
8,2014,Assistant Coach,4,12,0,None,1
9,2014,Strength Coordinator,4,12,0,None,1
10,2014,Head Coach,5,11,0,None,2
11,2014,Offensive Coordinator,5,11,0,None,2
12,2014,Defensive Coordinator,5,11,0,None,2
13,2014,Assistant Coach,5,11,0,None,2
14,2014,Strength Coordinator,5,11,0,None,2
15,2014,Head Coach,8,8,0,None,3
16,2014,Offensive Coordinator,8,8,0,None,3
17,2014,Defensive Coordinator,8,8,0,None,3
18,2014,Assistant Coach,8,8,0,None,3
19,2014,Strength Coordinator,8,8,0,None,3
20,2014,Head Coach,10,7,0,Wild Card,4
21,2014,Offensive Coordinator,10,7,0,Wild Card,4
22,2014,Defensive Coordinator,10,7,0,Wild Card,4
23,2014,Assistant Coach,10,7,0,Wild Card,4
24,2014,Strength Coordinator,10,7,0,Wild Card,4
25,2014,Head Coach,5,11,0,None,5
26,2014,Offensive Coordinator,5,11,0,None,5
27,2014,Defensive Coordinator,5,11,0,None,5
28,2014,Assistant Coach,5,11,0,None,5
29,2014,Strength Coordinator,5,11,0,None,5
30,2014,Head Coach,11,7,0,Division,6
31,2014,Offensive Coordinator,11,7,0,Division,6
33,2014,Defensive Coordinator,11,7,0,Division,6
34,2014,Strength Coordinator,11,7,0,Division,6
35,2014,Head Coach,10,7,0,Wild Card,7
36,2014,Offensive Coordinator,10,7,0,Wild Card,7
37,2014,Defensive Coordinator,10,7,0,Wild Card,7
38,2014,Assistant Coach,10,7,0,Wild Card,7
39,2014,Strength Coordinator,10,7,0,Wild Card,7
40,2014,Head Coach,5,11,0,None,8
41,2014,Offensive Coordinator,5,11,0,None,8
42,2014,Defensive Coordinator,5,11,0,None,8
43,2014,Assistant Coach,5,11,0,None,8
44,2014,Strength Coordinator,5,11,0,None,8
45,2014,Head Coach,5,11,0,None,9
46,2014,Offensive Coordinator,5,11,0,None,9
47,2014,Defensive Coordinator,5,11,0,None,9
48,2014,Assistant Coach,5,11,0,None,9
49,2014,Strength Coordinator,5,11,0,None,9
50,2014,Head Coach,10,6,0,None,10
51,2014,Offensive Coordinator,10,6,0,None,10
52,2014,Defensive Coordinator,10,6,0,None,10
53,2014,Assistant Coach,10,6,0,None,10
54,2014,Strength Coordinator,10,6,0,None,10
55,2014,Head Coach,5,11,0,None,11
56,2014,Offensive Coordinator,5,11,0,None,11
57,2014,Defensive Coordinator,5,11,0,None,11
58,2014,Assistant Coach,5,11,0,None,11
59,2014,Strength Coordinator,5,11,0,None,11
60,2014,Head Coach,9,7,0,None,12
61,2014,Offensive Coordinator,9,7,0,None,12
62,2014,Defensive Coordinator,9,7,0,None,12
63,2014,Assistant Coach,9,7,0,None,12
64,2014,Strength Coordinator,9,7,0,None,12
65,2014,Head Coach,2,14,0,None,13
66,2014,Offensive Coordinator,2,14,0,None,13
67,2014,Defensive Coordinator,2,14,0,None,13
68,2014,Assistant Coach,2,14,0,None,13
69,2014,Strength Coordinator,2,14,0,None,13
70,2014,Head Coach,5,11,0,None,14
71,2014,Offensive Coordinator,5,11,0,None,14
72,2014,Defensive Coordinator,5,11,0,None,14
73,2014,Assistant Coach,5,11,0,None,14
74,2014,Strength Coordinator,5,11,0,None,14
75,2014,Head Coach,11,7,0,Division,15
76,2014,Offensive Coordinator,11,7,0,Division,15
77,2014,Defensive Coordinator,11,7,0,Division,15
78,2014,Assistant Coach,11,7,0,Division,15
79,2014,Strength Coordinator,11,7,0,Division,15
80,2014,Head Coach,8,8,0,None,16
81,2014,Offensive Coordinator,8,8,0,None,16
82,2014,Defensive Coordinator,8,8,0,None,16
83,2014,Assistant Coach,8,8,0,None,16
84,2014,Strength Coordinator,8,8,0,None,16
85,2014,Head Coach,7,9,0,None,17
86,2014,Offensive Coordinator,7,9,0,None,17
87,2014,Defensive Coordinator,7,9,0,None,17
88,2014,Assistant Coach,7,9,0,None,17
89,2014,Strength Coordinator,7,9,0,None,17
90,2014,Head Coach,7,9,0,None,18
91,2014,Offensive Coordinator,7,9,0,None,18
92,2014,Defensive Coordinator,7,9,0,None,18
93,2014,Assistant Coach,7,9,0,None,18
94,2014,Strength Coordinator,7,9,0,None,18
95,2014,Head Coach,18,1,0,Champion,19
96,2014,Offensive Coordinator,18,1,0,Champion,19
97,2014,Defensive Coordinator,18,1,0,Champion,19
98,2014,Assistant Coach,18,1,0,Champion,19
99,2014,Strength Coordinator,18,1,0,Champion,19
100,2014,Head Coach,11,7,0,Division,20
101,2014,Offensive Coordinator,11,7,0,Division,20
102,2014,Defensive Coordinator,11,7,0,Division,20
103,2014,Assistant Coach,11,7,0,Division,20
104,2014,Strength Coordinator,11,7,0,Division,20
105,2014,Head Coach,8,8,0,None,21
106,2014,Offensive Coordinator,8,8,0,None,21
107,2014,Defensive Coordinator,8,8,0,None,21
108,2014,Assistant Coach,8,8,0,None,21
109,2014,Strength Coordinator,8,8,0,None,21
110,2014,Head Coach,10,7,0,Wild Card,22
111,2014,Offensive Coordinator,10,7,0,Wild Card,22
112,2014,Defensive Coordinator,10,7,0,Wild Card,22
113,2014,Assistant Coach,10,7,0,Wild Card,22
114,2014,Strength Coordinator,10,7,0,Wild Card,22
115,2014,Head Coach,9,7,0,None,23
116,2014,Offensive Coordinator,9,7,0,None,23
117,2014,Defensive Coordinator,9,7,0,None,23
118,2014,Assistant Coach,9,7,0,None,23
119,2014,Strength Coordinator,9,7,0,None,23
120,2014,Head Coach,9,7,0,None,24
121,2014,Offensive Coordinator,9,7,0,None,24
122,2014,Defensive Coordinator,9,7,0,None,24
123,2014,Assistant Coach,9,7,0,None,24
124,2014,Strength Coordinator,9,7,0,None,24
125,2014,Head Coach,12,6,0,Division,25
126,2014,Offensive Coordinator,12,6,0,Division,25
127,2014,Defensive Coordinator,12,6,0,Division,25
128,2014,Assistant Coach,12,6,0,Division,25
129,2014,Strength Coordinator,12,6,0,Division,25
130,2014,Head Coach,5,11,0,None,26
131,2014,Offensive Coordinator,5,11,0,None,26
132,2014,Defensive Coordinator,5,11,0,None,26
133,2014,Assistant Coach,5,11,0,None,26
134,2014,Strength Coordinator,5,11,0,None,26
135,2014,Head Coach,14,4,0,Conference,27
136,2014,Offensive Coordinator,14,4,0,Conference,27
137,2014,Defensive Coordinator,14,4,0,Conference,27
138,2014,Assistant Coach,14,4,0,Conference,27
139,2014,Strength Coordinator,14,4,0,Conference,27
140,2014,Head Coach,10,7,0,Wild Card,28
141,2014,Offensive Coordinator,10,7,0,Wild Card,28
142,2014,Defensive Coordinator,10,7,0,Wild Card,28
143,2014,Assistant Coach,10,7,0,Wild Card,28
144,2014,Strength Coordinator,10,7,0,Wild Card,28
145,2014,Head Coach,14,5,0,Won Conference,29
146,2014,Offensive Coordinator,14,5,0,Won Conference,29
147,2014,Defensive Coordinator,14,5,0,Won Conference,29
148,2014,Assistant Coach,14,5,0,Won Conference,29
149,2014,Strength Coordinator,14,5,0,Won Conference,29
150,2014,Head Coach,3,13,0,None,30
151,2014,Offensive Coordinator,3,13,0,None,30
152,2014,Defensive Coordinator,3,13,0,None,30
153,2014,Assistant Coach,3,13,0,None,30
154,2014,Strength Coordinator,3,13,0,None,30
155,2014,Head Coach,11,7,0,Conference,31
156,2014,Offensive Coordinator,11,7,0,Conference,31
157,2014,Defensive Coordinator,11,7,0,Conference,31
158,2014,Assistant Coach,11,7,0,Conference,31
159,2014,Strength Coordinator,11,7,0,Conference,31
