Week,Visitor_Team,Home_Team
Ex. Season Week 1,4,30
Ex. Season Week 1,26,20
Ex. Season Week 2,0,13
Ex. Season Week 2,1,22
Ex. Season Week 2,5,16
Ex. Season Week 2,7,12
Ex. Season Week 2,9,3
Ex. Season Week 2,10,14
Ex. Season Week 2,15,19
Ex. Season Week 2,17,2
Ex. Season Week 2,18,28
Ex. Season Week 2,21,11
Ex. Season Week 2,24,23
Ex. Season Week 2,25,8
Ex. Season Week 2,27,6
Ex. Season Week 2,29,31
Ex. Season Week 3,2,21
Ex. Season Week 3,3,25
Ex. Season Week 3,6,29
Ex. Season Week 3,8,9
Ex. Season Week 3,11,17
Ex. Season Week 3,12,1
Ex. Season Week 3,13,15
Ex. Season Week 3,14,24
Ex. Season Week 3,16,26
Ex. Season Week 3,19,0
Ex. Season Week 3,20,5
Ex. Season Week 3,22,7
Ex. Season Week 3,23,10
Ex. Season Week 3,28,4
Ex. Season Week 3,30,18
Ex. Season Week 3,31,27
Ex. Season Week 4,2,1
Ex. Season Week 4,3,15
Ex. Season Week 4,6,4
Ex. Season Week 4,8,0
Ex. Season Week 4,11,7
Ex. Season Week 4,12,21
Ex. Season Week 4,13,25
Ex. Season Week 4,14,5
Ex. Season Week 4,16,10
Ex. Season Week 4,19,9
Ex. Season Week 4,20,24
Ex. Season Week 4,22,17
Ex. Season Week 4,23,26
Ex. Season Week 4,28,29
Ex. Season Week 4,30,27
Ex. Season Week 4,31,18
Ex. Season Week 5,0,3
Ex. Season Week 5,1,11
Ex. Season Week 5,4,31
Ex. Season Week 5,5,23
Ex. Season Week 5,7,2
Ex. Season Week 5,9,13
Ex. Season Week 5,10,20
Ex. Season Week 5,15,8
Ex. Season Week 5,17,12
Ex. Season Week 5,18,6
Ex. Season Week 5,21,22
Ex. Season Week 5,24,16
Ex. Season Week 5,25,19
Ex. Season Week 5,26,14
Ex. Season Week 5,27,28
Ex. Season Week 5,29,30
Reg. Season Week 1,3,19
Reg. Season Week 1,4,17
Reg. Season Week 1,6,22
Reg. Season Week 1,10,9
Reg. Season Week 1,12,28
Reg. Season Week 1,13,20
Reg. Season Week 1,14,16
Reg. Season Week 1,15,5
Reg. Season Week 1,21,18
Reg. Season Week 1,23,8
Reg. Season Week 1,24,25
Reg. Season Week 1,26,0
Reg. Season Week 1,27,1
Reg. Season Week 1,29,7
Reg. Season Week 1,30,2
Reg. Season Week 1,31,11
Reg. Season Week 2,0,11
Reg. Season Week 2,2,5
Reg. Season Week 2,4,3
Reg. Season Week 2,6,10
Reg. Season Week 2,8,21
Reg. Season Week 2,12,26
Reg. Season Week 2,14,27
Reg. Season Week 2,17,16
Reg. Season Week 2,18,13
Reg. Season Week 2,19,1
Reg. Season Week 2,22,9
