Category,Team/All_Teams,Place,Record,Year,Team
Points Scored,0,0,253,2017,0
Points Scored,0,1,251,2021,0
Points Scored,0,2,245,2022,0
Points Scored,0,3,238,2023,0
Points Scored,0,4,215,2024,0
Points Scored,0,5,212,2025,0
Points Scored,0,6,208,2016,0
Points Scored,0,7,207,2015,0
Points Scored,0,8,202,2014,0
Points Scored,0,9,200,2018,0
Points Scored,0,10,193,2020,0
Points Scored,0,11,163,2019,0
Points Allowed,0,0,157,2018,0
Points Allowed,0,1,192,2017,0
Points Allowed,0,2,199,2025,0
Points Allowed,0,3,200,2020,0
Points Allowed,0,4,201,2022,0
Points Allowed,0,5,209,2016,0
Points Allowed,0,6,216,2015,0
Points Allowed,0,7,221,2019,0
Points Allowed,0,8,223,2014,0
Points Allowed,0,9,231,2021,0
Points Allowed,0,10,246,2024,0
Points Allowed,0,11,253,2023,0
Passing Yards,0,0,2641,2025,0
Passing Yards,0,1,2553,2024,0
Passing Yards,0,2,2540,2023,0
Passing Yards,0,3,2503,2022,0
Passing Yards,0,4,2436,2021,0
Passing Yards,0,5,2364,2014,0
Passing Yards,0,6,2305,2017,0
Passing Yards,0,7,2144,2020,0
Passing Yards,0,8,2055,2019,0
Passing Yards,0,9,2038,2018,0
Passing Yards,0,10,1928,2015,0
Passing Yards,0,11,1736,2016,0
Passing Yards Allowed,0,0,2085,2019,0
Passing Yards Allowed,0,1,2105,2016,0
Passing Yards Allowed,0,2,2181,2018,0
Passing Yards Allowed,0,3,2256,2017,0
Passing Yards Allowed,0,4,2279,2015,0
Passing Yards Allowed,0,5,2333,2014,0
Passing Yards Allowed,0,6,2340,2025,0
Passing Yards Allowed,0,7,2384,2020,0
Passing Yards Allowed,0,8,2409,2022,0
Passing Yards Allowed,0,9,2588,2021,0
Passing Yards Allowed,0,10,2613,2024,0
Passing Yards Allowed,0,11,2802,2023,0
Rushing Yards,0,0,1641,2017,0
Rushing Yards,0,1,1506,2016,0
Rushing Yards,0,2,1442,2015,0
Rushing Yards,0,3,1404,2018,0
Rushing Yards,0,4,1359,2019,0
Rushing Yards,0,5,1325,2022,0
Rushing Yards,0,6,1323,2021,0
Rushing Yards,0,7,1239,2024,0
Rushing Yards,0,8,1201,2020,0
Rushing Yards,0,9,1181,2025,0
Rushing Yards,0,10,1130,2023,0
Rushing Yards,0,11,1098,2014,0
Rushing Yards Allowed,0,0,963,2024,0
Rushing Yards Allowed,0,1,1001,2023,0
Rushing Yards Allowed,0,2,1061,2025,0
Rushing Yards Allowed,0,3,1166,2017,0
Rushing Yards Allowed,0,4,1176,2018,0
Rushing Yards Allowed,0,5,1202,2019,0
Rushing Yards Allowed,0,6,1208,2021,0
Rushing Yards Allowed,0,7,1221,2014,0
Rushing Yards Allowed,0,8,1265,2016,0
Rushing Yards Allowed,0,9,1280,2020,0
Rushing Yards Allowed,0,10,1289,2022,0
Rushing Yards Allowed,0,11,1336,2015,0
Total Yards,0,0,3946,2017,0
Total Yards,0,1,3828,2022,0
Total Yards,0,2,3823,2025,0
Total Yards,0,3,3792,2024,0
Total Yards,0,4,3759,2021,0
Total Yards,0,5,3671,2023,0
