Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,0,0,33,2016,0,27
Points Scored,0,1,31,2022,0,29
Points Scored,0,2,30,2022,0,4
Points Scored,0,3,27,2017,0,10
Points Scored,0,4,27,2017,0,19
Points Scored,0,5,24,2017,0,21
Points Scored,0,6,21,2016,0,4
Points Scored,0,7,21,2022,0,24
Points Scored,0,8,14,2018,0,15
Points Allowed,0,0,7,2022,0,4
Points Allowed,0,1,10,2016,0,27
Points Allowed,0,2,16,2017,0,21
Points Allowed,0,3,21,2017,0,10
Points Allowed,0,4,22,2016,0,4
Points Allowed,0,5,23,2022,0,24
Points Allowed,0,6,24,2022,0,29
Points Allowed,0,7,28,2018,0,15
Points Allowed,0,8,31,2017,0,19
Passing Yards,0,0,252,2017,0,19
Passing Yards,0,1,241,2017,0,10
Passing Yards,0,2,228,2018,0,15
Passing Yards,0,3,210,2022,0,24
Passing Yards,0,4,181,2022,0,29
Passing Yards,0,5,163,2017,0,21
Passing Yards,0,6,161,2016,0,27
Passing Yards,0,7,134,2022,0,4
Passing Yards,0,8,107,2016,0,4
Passing Yards Allowed,0,0,103,2022,0,24
Passing Yards Allowed,0,1,144,2016,0,4
Passing Yards Allowed,0,2,171,2016,0,27
Passing Yards Allowed,0,3,226,2022,0,4
Passing Yards Allowed,0,4,272,2018,0,15
Passing Yards Allowed,0,5,283,2017,0,10
Passing Yards Allowed,0,6,286,2017,0,19
Passing Yards Allowed,0,7,294,2022,0,29
Passing Yards Allowed,0,8,326,2017,0,21
Rushing Yards,0,0,249,2022,0,29
Rushing Yards,0,1,242,2017,0,19
Rushing Yards,0,2,206,2017,0,21
Rushing Yards,0,3,194,2022,0,24
Rushing Yards,0,4,187,2017,0,10
Rushing Yards,0,5,180,2016,0,27
Rushing Yards,0,6,161,2022,0,4
Rushing Yards,0,7,157,2016,0,4
Rushing Yards,0,8,79,2018,0,15
Rushing Yards Allowed,0,0,52,2016,0,4
Rushing Yards Allowed,0,1,53,2017,0,21
Rushing Yards Allowed,0,2,103,2017,0,10
Rushing Yards Allowed,0,3,105,2018,0,15
Rushing Yards Allowed,0,4,111,2022,0,4
Rushing Yards Allowed,0,5,112,2016,0,27
Rushing Yards Allowed,0,6,112,2022,0,29
Rushing Yards Allowed,0,7,125,2017,0,19
Rushing Yards Allowed,0,8,133,2022,0,24
Total Yards,0,0,489,2017,0,19
Total Yards,0,1,430,2022,0,29
Total Yards,0,2,428,2017,0,10
Total Yards,0,3,404,2022,0,24
Total Yards,0,4,369,2017,0,21
Total Yards,0,5,335,2016,0,27
Total Yards,0,6,291,2022,0,4
Total Yards,0,7,288,2018,0,15
Total Yards,0,8,239,2016,0,4
Total Yards Allowed,0,0,196,2016,0,4
Total Yards Allowed,0,1,217,2022,0,24
Total Yards Allowed,0,2,280,2016,0,27
Total Yards Allowed,0,3,298,2022,0,4
Total Yards Allowed,0,4,354,2018,0,15
Total Yards Allowed,0,5,370,2017,0,21
Total Yards Allowed,0,6,375,2017,0,10
Total Yards Allowed,0,7,400,2022,0,29
Total Yards Allowed,0,8,407,2017,0,19
Pass Attempts,0,0,40,2018,0,15
Pass Attempts,0,1,36,2017,0,19
Pass Attempts,0,2,33,2022,0,29
Pass Attempts,0,3,31,2016,0,4
Pass Attempts,0,4,31,2022,0,24
Pass Attempts,0,5,27,2016,0,27
Pass Attempts,0,6,23,2017,0,21
Pass Attempts,0,7,18,2022,0,4
Pass Attempts,0,8,15,2017,0,10
Rush Attempts,0,0,42,2017,0,21
Rush Attempts,0,1,42,2017,0,10
Rush Attempts,0,2,42,2022,0,4
Rush Attempts,0,3,41,2016,0,27
Rush Attempts,0,4,40,2017,0,19
Rush Attempts,0,5,39,2016,0,4
Rush Attempts,0,6,35,2022,0,29
Rush Attempts,0,7,33,2022,0,24
Rush Attempts,0,8,22,2018,0,15
Points Scored,1,0,17,2017,1,9
Points Scored,1,1,13,2017,1,10
Points Scored,1,2,6,2020,1,29
Points Allowed,1,0,10,2017,1,9
Points Allowed,1,1,14,2020,1,29
Points Allowed,1,2,40,2017,1,10
Passing Yards,1,0,276,2020,1,29
Passing Yards,1,1,268,2017,1,9
Passing Yards,1,2,232,2017,1,10
Passing Yards Allowed,1,0,138,2020,1,29
Passing Yards Allowed,1,1,268,2017,1,9
Passing Yards Allowed,1,2,272,2017,1,10
Rushing Yards,1,0,81,2017,1,9
Rushing Yards,1,1,57,2020,1,29
Rushing Yards,1,2,46,2017,1,10
Rushing Yards Allowed,1,0,38,2017,1,9
Rushing Yards Allowed,1,1,110,2020,1,29
Rushing Yards Allowed,1,2,141,2017,1,10
Total Yards,1,0,331,2017,1,9
Total Yards,1,1,300,2020,1,29
Total Yards,1,2,244,2017,1,10
Total Yards Allowed,1,0,237,2020,1,29
Total Yards Allowed,1,1,283,2017,1,9
Total Yards Allowed,1,2,413,2017,1,10
Pass Attempts,1,0,50,2020,1,29
Pass Attempts,1,1,39,2017,1,10
Pass Attempts,1,2,36,2017,1,9
Rush Attempts,1,0,24,2017,1,9
Rush Attempts,1,1,18,2017,1,10
Rush Attempts,1,2,16,2020,1,29
Points Scored,2,0,34,2016,2,23
Points Scored,2,1,28,2025,2,20
Points Scored,2,2,27,2024,2,28
Points Scored,2,3,24,2021,2,30
