Team,Wins,Losses,Ties,Playoff_Appearances,Bowl_Appearances,Bowl_Wins,Playoff_Wins,Playoff_Losses,Turf_Type,Year_Stadium_Opened,Stadium_Capacity,Luxury_Boxes,Club_Seats,Home_City,Upper_Deck_Tickets,End_Zone_Tickets,Mezzanine_Tickets,Sideline_Tickets,Club_Seat_Tickets,Luxury_Box_Tickets,Lost_Salary_Cap_This_Season,Lost_Salary_Cap_Next_Season
0,95,95,2,4,1,0,5,4,Outdoor/Natural Grass,2020,65000,185,19700,Arizona,90,86,122,182,515,242000,1660,428
1,72,120,0,2,0,0,1,2,Outdoor/Natural Grass,1999,85900,208,7400,Atlanta,56,53,96,94,213,78000,788,127
2,106,86,0,7,0,0,2,7,Outdoor/Natural Grass,2020,59900,177,15200,Baltimore,61,72,138,159,474,222000,1126,392
3,118,72,2,7,2,1,9,6,Dome/Artificial Turf,2022,62600,146,13500,Buffalo,48,88,101,91,274,131000,1981,592
4,124,68,0,8,1,0,9,8,Dome/Artificial Turf,2020,71800,138,8000,Carolina,69,93,106,150,442,207000,1699,554
5,50,142,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Chicago,40,52,77,91,188,69000,86,8
6,95,97,0,4,0,0,3,4,Outdoor/Natural Grass,1999,76500,284,7400,Cincinnati,53,65,119,104,279,103000,1441,284
7,79,113,0,3,1,1,3,2,Outdoor/Natural Grass,1999,77900,260,7400,Dallas,77,96,106,167,394,145000,1222,331
8,102,90,0,4,0,0,1,4,Outdoor/Natural Grass,2020,67000,137,17900,Denver,69,99,105,155,415,195000,4066,383
9,107,85,0,7,1,0,4,7,Outdoor/Natural Grass,1999,89500,203,7400,Detroit,55,87,108,96,267,98000,2185,903
10,134,58,0,9,4,3,14,6,Outdoor/Natural Grass,1999,78900,258,7400,Green Bay,61,99,152,181,545,200000,3086,40
11,78,113,1,0,0,0,0,0,Outdoor/Natural Grass,1999,75800,263,7400,Indianapolis,44,57,108,126,284,104000,1333,253
12,86,106,0,2,0,0,1,2,Outdoor/Natural Grass,1999,77500,250,7400,Jacksonville,46,79,113,126,304,112000,1092,415
13,85,107,0,4,2,0,5,4,Outdoor/Natural Grass,1999,80400,278,7400,Kansas City,59,98,124,148,411,151000,2028,162
14,106,84,2,5,1,0,5,5,Outdoor/Natural Grass,1999,82300,200,7400,Miami,47,74,117,138,365,134000,1939,704
15,89,103,0,3,1,1,5,2,Outdoor/Natural Grass,1999,81100,197,7400,Minnesota,56,79,126,153,383,141000,2232,1116
16,82,108,2,3,0,0,1,3,Outdoor/Natural Grass,1999,88400,227,7400,New England,55,91,119,150,377,139000,855,171
17,73,119,0,1,0,0,1,1,Outdoor/Natural Grass,1999,82700,239,7400,New Orleans,54,69,96,99,229,84000,2229,471
18,111,81,0,5,1,0,4,5,Outdoor/Natural Grass,1999,81500,269,7400,New York,80,75,131,186,516,190000,2165,726
19,116,74,2,6,3,3,12,3,Outdoor/Natural Grass,1999,79100,200,7400,New Jersey,94,88,148,203,583,215000,1513,138
20,111,81,0,6,2,2,12,4,Outdoor/Natural Grass,1999,77800,252,7400,Oakland,84,115,122,184,498,184000,4006,456
21,95,96,1,5,0,0,3,5,Outdoor/Natural Grass,1999,78200,185,7400,Philadelphia,71,100,122,169,452,167000,3159,181
22,83,109,0,3,0,0,1,3,Outdoor/Natural Grass,1999,78300,207,7400,Pittsburgh,56,81,129,175,403,148000,2276,1201
23,95,96,1,3,0,0,2,3,Outdoor/Natural Grass,1999,78300,210,7400,San Diego,73,90,101,162,399,147000,2525,467
24,90,102,0,3,1,0,4,3,Outdoor/Natural Grass,2020,60200,182,17300,Seattle,42,81,99,92,258,120000,755,256
25,101,91,0,6,0,0,3,6,Outdoor/Natural Grass,1999,89300,219,7400,San Francisco,93,85,129,195,498,184000,1834,726
26,77,115,0,2,0,0,1,2,Outdoor/Natural Grass,1999,83800,243,7400,St. Louis,57,57,92,85,195,72000,1932,766
27,115,76,1,8,0,0,4,8,Outdoor/Natural Grass,1999,78500,248,7400,Tampa Bay,64,83,115,116,322,118000,1919,743
28,113,79,0,8,1,1,7,7,Outdoor/Natural Grass,1999,83800,199,7400,Tennessee,66,84,108,133,376,138000,1036,1022
29,100,91,1,6,1,0,4,6,Outdoor/Natural Grass,1999,77800,216,7400,Washington,55,59,113,107,270,99000,1840,536
30,75,117,0,5,0,0,0,5,Outdoor/Natural Grass,1999,85600,191,7400,Cleveland,59,62,101,136,313,115000,1240,878
31,101,90,1,5,1,0,6,5,Outdoor/Natural Grass,1999,79300,231,7400,Houston,91,94,140,202,566,208000,3417,717
