Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,0,0,45,2017,0,18
Points Scored,0,1,41,2022,0,13
Points Scored,0,2,41,2024,0,9
Points Scored,0,3,40,2022,0,17
Points Scored,0,4,40,2022,0,23
Points Scored,0,5,38,2016,0,1
Points Scored,0,6,38,2017,0,10
Points Scored,0,7,38,2020,0,25
Points Scored,0,8,38,2021,0,25
Points Scored,0,9,38,2022,0,25
Points Scored,0,10,38,2023,0,18
Points Scored,0,11,37,2015,0,17
Points Scored,0,12,37,2017,0,21
Points Scored,0,13,37,2020,0,16
Points Scored,0,14,37,2023,0,9
Points Scored,0,15,36,2014,0,18
Points Scored,0,16,36,2017,0,25
Points Scored,0,17,35,2023,0,26
Points Scored,0,18,35,2025,0,26
Points Scored,0,19,34,2016,0,25
Points Scored,0,20,34,2017,0,28
Points Scored,0,21,34,2021,0,25
Points Scored,0,22,34,2023,0,30
Points Scored,0,23,34,2024,0,3
Points Scored,0,24,33,2019,0,17
Points Scored,0,25,33,2025,0,31
Points Scored,0,26,32,2024,0,10
Points Scored,0,27,31,2015,0,30
Points Scored,0,28,31,2017,0,4
Points Scored,0,29,31,2018,0,23
Points Scored,0,30,31,2019,0,26
Points Scored,0,31,31,2020,0,26
Points Scored,0,32,31,2021,0,26
Points Scored,0,33,31,2021,0,29
Points Scored,0,34,31,2023,0,25
Points Scored,0,35,30,2014,0,25
Points Scored,0,36,30,2017,0,24
Points Scored,0,37,30,2018,0,24
Points Scored,0,38,30,2018,0,15
Points Scored,0,39,30,2021,0,12
Points Scored,0,40,30,2023,0,25
Points Scored,0,41,30,2023,0,26
Points Scored,0,42,29,2021,0,26
Points Scored,0,43,28,2014,0,26
Points Scored,0,44,28,2017,0,24
Points Scored,0,45,28,2022,0,26
Points Scored,0,46,27,2015,0,2
Points Scored,0,47,27,2015,0,26
Points Scored,0,48,27,2018,0,29
Points Scored,0,49,27,2019,0,29
Points Scored,0,50,27,2020,0,19
Points Scored,0,51,27,2021,0,24
Points Scored,0,52,27,2024,0,24
Points Scored,0,53,27,2024,0,26
Points Scored,0,54,27,2025,0,26
Points Scored,0,55,26,2018,0,26
Points Scored,0,56,25,2014,0,20
Points Scored,0,57,25,2019,0,1
Points Scored,0,58,25,2021,0,15
Points Scored,0,59,25,2022,0,25
Points Scored,0,60,25,2023,0,2
Points Scored,0,61,25,2025,0,25
Points Scored,0,62,24,2014,0,25
Points Scored,0,63,24,2015,0,24
Points Scored,0,64,24,2015,0,22
Points Scored,0,65,24,2016,0,3
Points Scored,0,66,24,2016,0,7
Points Scored,0,67,24,2016,0,17
Points Scored,0,68,24,2016,0,24
Points Scored,0,69,24,2017,0,26
Points Scored,0,70,24,2019,0,25
Points Scored,0,71,24,2020,0,29
Points Scored,0,72,24,2021,0,11
Points Scored,0,73,24,2021,0,10
Points Scored,0,74,24,2021,0,5
Points Scored,0,75,24,2021,0,24
Points Scored,0,76,24,2021,0,9
Points Scored,0,77,24,2022,0,24
Points Scored,0,78,24,2023,0,22
Points Scored,0,79,24,2024,0,26
Points Scored,0,80,24,2024,0,25
Points Scored,0,81,24,2025,0,17
Points Scored,0,82,23,2014,0,21
Points Scored,0,83,23,2014,0,13
Points Scored,0,84,23,2015,0,21
Points Scored,0,85,23,2016,0,16
Points Scored,0,86,23,2018,0,8
Points Scored,0,87,23,2018,0,25
Points Scored,0,88,23,2019,0,22
Points Scored,0,89,23,2022,0,1
Points Scored,0,90,23,2024,0,19
Points Scored,0,91,23,2025,0,4
Points Scored,0,92,23,2025,0,25
Points Scored,0,93,21,2014,0,24
Points Scored,0,94,21,2016,0,26
Points Scored,0,95,21,2017,0,11
Points Scored,0,96,21,2018,0,1
Points Scored,0,97,21,2019,0,27
Points Scored,0,98,21,2020,0,1
Points Scored,0,99,21,2020,0,18
Points Allowed,0,0,0,2017,0,26
Points Allowed,0,1,0,2018,0,8
Points Allowed,0,2,3,2018,0,5
Points Allowed,0,3,3,2018,0,25
Points Allowed,0,4,3,2018,0,25
Points Allowed,0,5,6,2015,0,15
Points Allowed,0,6,6,2020,0,24
Points Allowed,0,7,6,2025,0,24
Points Allowed,0,8,7,2014,0,8
Points Allowed,0,9,7,2017,0,12
Points Allowed,0,10,7,2017,0,24
Points Allowed,0,11,7,2018,0,26
Points Allowed,0,12,7,2022,0,1
Points Allowed,0,13,7,2023,0,7
Points Allowed,0,14,7,2025,0,17
Points Allowed,0,15,9,2014,0,9
Points Allowed,0,16,9,2017,0,25
Points Allowed,0,17,9,2018,0,26
Points Allowed,0,18,9,2022,0,23
Points Allowed,0,19,10,2014,0,20
Points Allowed,0,20,10,2016,0,1
Points Allowed,0,21,10,2016,0,26
Points Allowed,0,22,10,2018,0,24
Points Allowed,0,23,10,2018,0,15
Points Allowed,0,24,10,2019,0,29
Points Allowed,0,25,10,2019,0,1
Points Allowed,0,26,10,2019,0,22
Points Allowed,0,27,10,2020,0,26
Points Allowed,0,28,10,2020,0,14
Points Allowed,0,29,10,2020,0,26
Points Allowed,0,30,10,2021,0,5
Points Allowed,0,31,10,2021,0,24
Points Allowed,0,32,10,2022,0,17
Points Allowed,0,33,10,2022,0,25
Points Allowed,0,34,10,2024,0,19
Points Allowed,0,35,12,2017,0,26
Points Allowed,0,36,12,2024,0,27
Points Allowed,0,37,13,2015,0,26
Points Allowed,0,38,13,2016,0,26
Points Allowed,0,39,13,2016,0,4
Points Allowed,0,40,13,2017,0,11
Points Allowed,0,41,13,2019,0,25
Points Allowed,0,42,13,2021,0,28
Points Allowed,0,43,13,2024,0,15
Points Allowed,0,44,13,2024,0,16
Points Allowed,0,45,13,2025,0,26
Points Allowed,0,46,13,2025,0,31
Points Allowed,0,47,14,2014,0,23
Points Allowed,0,48,14,2014,0,24
Points Allowed,0,49,14,2017,0,7
Points Allowed,0,50,14,2017,0,24
Points Allowed,0,51,14,2019,0,24
Points Allowed,0,52,14,2021,0,26
Points Allowed,0,53,14,2022,0,13
Points Allowed,0,54,14,2023,0,24
Points Allowed,0,55,14,2025,0,26
Points Allowed,0,56,15,2019,0,17
Points Allowed,0,57,15,2019,0,9
Points Allowed,0,58,15,2020,0,3
Points Allowed,0,59,16,2014,0,1
Points Allowed,0,60,16,2015,0,5
Points Allowed,0,61,16,2022,0,4
Points Allowed,0,62,16,2025,0,1
Points Allowed,0,63,17,2015,0,21
Points Allowed,0,64,17,2015,0,26
Points Allowed,0,65,17,2016,0,17
Points Allowed,0,66,17,2016,0,9
Points Allowed,0,67,17,2016,0,24
Points Allowed,0,68,17,2020,0,1
Points Allowed,0,69,17,2020,0,18
Points Allowed,0,70,17,2021,0,11
Points Allowed,0,71,17,2021,0,17
Points Allowed,0,72,17,2022,0,21
Points Allowed,0,73,17,2022,0,26
Points Allowed,0,74,17,2022,0,9
Points Allowed,0,75,17,2023,0,9
Points Allowed,0,76,17,2023,0,26
Points Allowed,0,77,17,2023,0,6
Points Allowed,0,78,17,2024,0,26
Points Allowed,0,79,17,2025,0,29
Points Allowed,0,80,18,2020,0,24
Points Allowed,0,81,18,2023,0,25
Points Allowed,0,82,19,2015,0,30
Points Allowed,0,83,19,2018,0,9
Points Allowed,0,84,19,2022,0,24
Points Allowed,0,85,19,2024,0,24
Points Allowed,0,86,20,2016,0,24
Points Allowed,0,87,20,2016,0,14
Points Allowed,0,88,20,2017,0,18
Points Allowed,0,89,20,2020,0,21
Points Allowed,0,90,20,2021,0,12
Points Allowed,0,91,20,2023,0,29
Points Allowed,0,92,20,2024,0,5
Points Allowed,0,93,20,2024,0,26
Points Allowed,0,94,20,2024,0,29
Points Allowed,0,95,20,2025,0,15
Points Allowed,0,96,21,2014,0,26
Points Allowed,0,97,21,2015,0,24
Points Allowed,0,98,21,2015,0,10
Points Allowed,0,99,21,2015,0,24
Passing Yards,0,0,431,2023,0,30
Passing Yards,0,1,411,2020,0,16
Passing Yards,0,2,399,2025,0,24
Passing Yards,0,3,384,2022,0,25
Passing Yards,0,4,384,2024,0,24
Passing Yards,0,5,371,2025,0,25
Passing Yards,0,6,369,2017,0,10
Passing Yards,0,7,367,2021,0,31
Passing Yards,0,8,360,2014,0,21
Passing Yards,0,9,357,2018,0,20
Passing Yards,0,10,356,2024,0,9
Passing Yards,0,11,349,2023,0,24
Passing Yards,0,12,344,2025,0,4
Passing Yards,0,13,337,2025,0,12
Passing Yards,0,14,327,2014,0,18
Passing Yards,0,15,326,2023,0,29
Passing Yards,0,16,323,2017,0,11
Passing Yards,0,17,320,2014,0,13
Passing Yards,0,18,320,2022,0,4
Passing Yards,0,19,319,2024,0,5
Passing Yards,0,20,312,2024,0,29
Passing Yards,0,21,311,2021,0,25
Passing Yards,0,22,308,2021,0,11
Passing Yards,0,23,307,2025,0,17
Passing Yards,0,24,303,2018,0,24
Passing Yards,0,25,303,2020,0,5
Passing Yards,0,26,301,2014,0,20
Passing Yards,0,27,300,2023,0,18
Passing Yards,0,28,300,2025,0,29
Passing Yards,0,29,297,2015,0,24
Passing Yards,0,30,291,2019,0,4
Passing Yards,0,31,289,2022,0,23
Passing Yards,0,32,287,2020,0,7
Passing Yards,0,33,286,2019,0,25
Passing Yards,0,34,284,2017,0,24
Passing Yards,0,35,282,2021,0,26
Passing Yards,0,36,282,2022,0,21
Passing Yards,0,37,282,2024,0,3
Passing Yards,0,38,282,2024,0,25
Passing Yards,0,39,279,2014,0,23
Passing Yards,0,40,279,2022,0,13
Passing Yards,0,41,274,2022,0,27
Passing Yards,0,42,273,2017,0,21
Passing Yards,0,43,271,2023,0,21
Passing Yards,0,44,269,2024,0,26
Passing Yards,0,45,268,2014,0,25
Passing Yards,0,46,268,2019,0,30
Passing Yards,0,47,268,2025,0,11
Passing Yards,0,48,267,2020,0,14
Passing Yards,0,49,263,2023,0,25
Passing Yards,0,50,262,2020,0,24
Passing Yards,0,51,261,2014,0,7
Passing Yards,0,52,261,2021,0,29
Passing Yards,0,53,261,2024,0,24
Passing Yards,0,54,261,2025,0,26
Passing Yards,0,55,260,2023,0,26
Passing Yards,0,56,258,2025,0,26
Passing Yards,0,57,256,2017,0,25
Passing Yards,0,58,255,2015,0,21
Passing Yards,0,59,255,2024,0,15
Passing Yards,0,60,255,2024,0,26
Passing Yards,0,61,254,2016,0,7
Passing Yards,0,62,253,2023,0,2
Passing Yards,0,63,252,2018,0,13
Passing Yards,0,64,251,2017,0,31
Passing Yards,0,65,249,2017,0,4
Passing Yards,0,66,249,2024,0,25
Passing Yards,0,67,248,2018,0,26
Passing Yards,0,68,248,2021,0,12
Passing Yards,0,69,247,2021,0,15
Passing Yards,0,70,247,2022,0,20
Passing Yards,0,71,245,2014,0,29
Passing Yards,0,72,245,2021,0,25
Passing Yards,0,73,244,2022,0,24
Passing Yards,0,74,242,2019,0,6
Passing Yards,0,75,241,2023,0,22
Passing Yards,0,76,240,2021,0,26
Passing Yards,0,77,240,2022,0,8
Passing Yards,0,78,239,2016,0,24
Passing Yards,0,79,239,2022,0,26
Passing Yards,0,80,239,2025,0,1
Passing Yards,0,81,235,2016,0,14
Passing Yards,0,82,234,2019,0,25
Passing Yards,0,83,234,2022,0,25
Passing Yards,0,84,234,2025,0,25
Passing Yards,0,85,231,2021,0,17
Passing Yards,0,86,230,2015,0,2
Passing Yards,0,87,230,2024,0,10
Passing Yards,0,88,225,2023,0,27
Passing Yards,0,89,224,2016,0,16
Passing Yards,0,90,224,2017,0,28
Passing Yards,0,91,224,2022,0,9
Passing Yards,0,92,223,2025,0,15
Passing Yards,0,93,222,2024,0,14
Passing Yards,0,94,220,2021,0,24
Passing Yards,0,95,220,2022,0,24
Passing Yards,0,96,218,2015,0,17
Passing Yards,0,97,217,2017,0,26
Passing Yards,0,98,215,2014,0,8
Passing Yards,0,99,214,2023,0,24
Passing Yards Allowed,0,0,39,2017,0,24
Passing Yards Allowed,0,1,73,2025,0,24
Passing Yards Allowed,0,2,78,2019,0,24
Passing Yards Allowed,0,3,96,2022,0,24
Passing Yards Allowed,0,4,111,2014,0,20
Passing Yards Allowed,0,5,116,2019,0,24
Passing Yards Allowed,0,6,117,2015,0,24
Passing Yards Allowed,0,7,117,2018,0,25
Passing Yards Allowed,0,8,120,2017,0,12
Passing Yards Allowed,0,9,123,2025,0,15
Passing Yards Allowed,0,10,124,2019,0,26
Passing Yards Allowed,0,11,127,2017,0,11
Passing Yards Allowed,0,12,131,2024,0,26
Passing Yards Allowed,0,13,133,2020,0,26
Passing Yards Allowed,0,14,136,2023,0,24
Passing Yards Allowed,0,15,139,2014,0,8
Passing Yards Allowed,0,16,139,2025,0,11
Passing Yards Allowed,0,17,140,2016,0,1
Passing Yards Allowed,0,18,144,2021,0,11
Passing Yards Allowed,0,19,146,2014,0,21
Passing Yards Allowed,0,20,147,2014,0,13
Passing Yards Allowed,0,21,148,2016,0,16
Passing Yards Allowed,0,22,151,2015,0,9
Passing Yards Allowed,0,23,152,2018,0,9
Passing Yards Allowed,0,24,153,2014,0,23
Passing Yards Allowed,0,25,153,2017,0,26
Passing Yards Allowed,0,26,160,2016,0,4
Passing Yards Allowed,0,27,160,2019,0,30
Passing Yards Allowed,0,28,160,2023,0,6
Passing Yards Allowed,0,29,162,2023,0,27
Passing Yards Allowed,0,30,163,2014,0,24
Passing Yards Allowed,0,31,163,2025,0,17
Passing Yards Allowed,0,32,164,2015,0,2
Passing Yards Allowed,0,33,165,2020,0,26
Passing Yards Allowed,0,34,167,2015,0,15
Passing Yards Allowed,0,35,167,2019,0,9
Passing Yards Allowed,0,36,170,2018,0,29
Passing Yards Allowed,0,37,172,2020,0,25
Passing Yards Allowed,0,38,172,2025,0,26
Passing Yards Allowed,0,39,174,2017,0,29
Passing Yards Allowed,0,40,177,2018,0,8
Passing Yards Allowed,0,41,179,2015,0,22
Passing Yards Allowed,0,42,181,2025,0,24
Passing Yards Allowed,0,43,182,2023,0,24
Passing Yards Allowed,0,44,183,2016,0,17
Passing Yards Allowed,0,45,184,2018,0,26
Passing Yards Allowed,0,46,184,2018,0,25
Passing Yards Allowed,0,47,188,2022,0,24
Passing Yards Allowed,0,48,189,2014,0,24
Passing Yards Allowed,0,49,189,2019,0,6
Passing Yards Allowed,0,50,190,2021,0,28
Passing Yards Allowed,0,51,191,2019,0,25
Passing Yards Allowed,0,52,192,2025,0,28
Passing Yards Allowed,0,53,193,2016,0,7
Passing Yards Allowed,0,54,193,2021,0,26
Passing Yards Allowed,0,55,193,2021,0,31
Passing Yards Allowed,0,56,195,2020,0,3
Passing Yards Allowed,0,57,198,2018,0,24
Passing Yards Allowed,0,58,198,2022,0,23
Passing Yards Allowed,0,59,202,2017,0,31
Passing Yards Allowed,0,60,203,2016,0,25
Passing Yards Allowed,0,61,203,2024,0,19
Passing Yards Allowed,0,62,204,2016,0,9
Passing Yards Allowed,0,63,204,2024,0,14
Passing Yards Allowed,0,64,205,2017,0,26
Passing Yards Allowed,0,65,205,2020,0,21
Passing Yards Allowed,0,66,206,2022,0,25
Passing Yards Allowed,0,67,207,2015,0,26
Passing Yards Allowed,0,68,210,2018,0,15
Passing Yards Allowed,0,69,210,2019,0,2
Passing Yards Allowed,0,70,210,2022,0,4
Passing Yards Allowed,0,71,210,2024,0,15
Passing Yards Allowed,0,72,210,2024,0,25
Passing Yards Allowed,0,73,212,2016,0,26
Passing Yards Allowed,0,74,215,2021,0,5
Passing Yards Allowed,0,75,216,2019,0,25
Passing Yards Allowed,0,76,217,2015,0,21
Passing Yards Allowed,0,77,220,2016,0,3
Passing Yards Allowed,0,78,220,2016,0,25
Passing Yards Allowed,0,79,220,2022,0,13
Passing Yards Allowed,0,80,221,2018,0,26
