Week,Visitor_Team,Home_Team
Ex. Season Week 1,18,14
Ex. Season Week 1,20,29
Ex. Season Week 2,2,5
Ex. Season Week 2,3,27
Ex. Season Week 2,6,15
Ex. Season Week 2,8,18
Ex. Season Week 2,11,24
Ex. Season Week 2,12,25
Ex. Season Week 2,13,7
Ex. Season Week 2,14,17
Ex. Season Week 2,16,1
Ex. Season Week 2,19,4
Ex. Season Week 2,22,10
Ex. Season Week 2,23,21
Ex. Season Week 2,28,0
Ex. Season Week 2,30,9
Ex. Season Week 2,31,26
Ex. Season Week 3,0,2
Ex. Season Week 3,1,20
Ex. Season Week 3,4,23
Ex. Season Week 3,5,28
Ex. Season Week 3,7,3
Ex. Season Week 3,9,11
Ex. Season Week 3,10,12
Ex. Season Week 3,15,31
Ex. Season Week 3,17,8
Ex. Season Week 3,21,19
Ex. Season Week 3,24,30
Ex. Season Week 3,25,22
Ex. Season Week 3,26,6
Ex. Season Week 3,27,13
Ex. Season Week 3,29,16
Ex. Season Week 4,2,9
Ex. Season Week 4,3,4
Ex. Season Week 4,6,10
Ex. Season Week 4,8,29
Ex. Season Week 4,11,0
Ex. Season Week 4,12,26
Ex. Season Week 4,13,21
Ex. Season Week 4,14,1
Ex. Season Week 4,16,17
Ex. Season Week 4,19,27
Ex. Season Week 4,20,18
Ex. Season Week 4,22,15
Ex. Season Week 4,23,7
Ex. Season Week 4,28,24
Ex. Season Week 4,30,5
Ex. Season Week 4,31,25
Ex. Season Week 5,0,30
Ex. Season Week 5,1,8
Ex. Season Week 5,4,13
Ex. Season Week 5,5,11
Ex. Season Week 5,7,19
Ex. Season Week 5,9,28
Ex. Season Week 5,10,31
Ex. Season Week 5,15,12
Ex. Season Week 5,17,20
Ex. Season Week 5,18,16
Ex. Season Week 5,21,3
Ex. Season Week 5,24,2
Ex. Season Week 5,25,6
Ex. Season Week 5,26,22
Ex. Season Week 5,27,23
Ex. Season Week 5,29,14
Reg. Season Week 1,3,16
Reg. Season Week 1,4,27
Reg. Season Week 1,6,30
Reg. Season Week 1,10,5
Reg. Season Week 1,12,31
Reg. Season Week 1,13,23
Reg. Season Week 1,14,19
Reg. Season Week 1,15,9
Reg. Season Week 1,17,1
Reg. Season Week 1,20,8
Reg. Season Week 1,21,7
Reg. Season Week 1,22,2
Reg. Season Week 1,24,26
Reg. Season Week 1,25,0
Reg. Season Week 1,28,11
Reg. Season Week 1,29,18
Reg. Season Week 2,0,3
Reg. Season Week 2,2,7
