Year,Game_ID,Week,Visitor_Score,Visitor_Team,Home_Score,Home_Team,Attendance,Weather,Temperature,Wind,Visitor_Quarterback,Home_Quarterback,Visitor_Running_Back,Home_Running_Back,Visitor_Receiver,Home_Receiver,Visitor_QB_Pass_Attempts,Visitor_QB_Completions,Visitor_QB_Passing_Yardage,Home_QB_Pass_Attempts,Home_QB_Completions,Home_QB_Passing_Yardage,Visiting_Leader_Rushes,Visiting_Leader_Rushing_Yardage,Home_Leader_Rushes,Home_Leader_Rushing_Yardage,Visiting_Leader_Receptions,Visiting_Leader_Receiving_Yardage,Home_Leader_Receptions,Home_Leader_Receiving_Yardage
2020,0,Ex. Season Week 1,13,18,15,14,82100,Rain,79,8,4010,6551,5764,1567,811,1544,22,10,105,29,16,138,14,69,16,36,2,38,3,41
2020,1,Ex. Season Week 1,21,20,33,29,71600,Sunny,55,9,1662,1925,1662,1069,1062,1644,16,10,160,22,11,192,2,35,25,51,2,92,6,110
2020,2,Ex. Season Week 2,19,2,10,5,53800,Rain,62,5,4847,142,1496,6573,714,4248,26,12,183,34,16,128,18,29,9,36,5,99,6,60
2020,3,Ex. Season Week 2,23,3,30,27,73700,Sunny,84,9,3236,363,3267,1220,6761,3411,40,20,258,20,15,190,1,34,20,140,6,104,6,64
2020,4,Ex. Season Week 2,31,6,26,15,75300,Sunny,57,9,1751,4042,6610,1845,5068,862,24,14,169,23,11,128,19,47,10,31,3,102,5,87
2020,5,Ex. Season Week 2,20,30,6,9,84300,Sunny,58,2,2374,562,3282,1109,3415,5882,21,12,91,12,8,125,9,39,14,48,4,34,3,96
2020,6,Ex. Season Week 2,35,8,13,18,81000,Sunny,52,4,7401,1557,7454,5764,5893,5078,21,17,233,16,10,94,13,85,7,47,6,149,5,50
2020,7,Ex. Season Week 2,3,31,27,26,50900,Sunny,52,9,5647,6519,7474,1616,1216,7617,30,15,121,30,18,170,8,48,23,138,4,48,5,74
2020,8,Ex. Season Week 2,14,11,10,24,59900,Sunny,51,1,7393,4833,2427,4059,4208,6723,13,8,74,23,13,182,19,58,25,91,2,37,2,55
2020,9,Ex. Season Week 2,24,12,9,25,74500,Sunny,55,4,1138,6544,5714,1449,1517,7654,13,13,131,44,19,220,21,61,15,40,2,32,5,55
