Staff_ID,Last_Name,First_Name,Current_Team,Role,Primary_Group,Salary,Player_Development,Young_Player_Development,Motivation,Discipline,Play_Calling,Strength_Training,Conditioning,Intelligence,Scouting_Ability,Interviewing,Age,Retired,Years_on_Contract,Suitable_Head_Coach,Suitable_Offensive_Coordinator,Suitable_Defensive_Coordinator,Suitable_Assistant_Coach,Suitable_Strength_Coordinator
0,Arians,Bruce,99,None,Quarterbacks,0,58,62,33,28,56,0,0,85,68,44,68,1,0,42,58,0,55,0
1,Goodwin,Harold,25,Offensive Coordinator,Offensive Linemen,372,36,52,52,29,68,0,0,68,73,56,47,0,4,43,55,0,47,0
2,Bowles,Todd,0,Defensive Coordinator,Secondary,313,81,77,28,37,69,0,0,28,21,42,57,0,3,44,0,58,59,0
3,Jones,Amos,99,None,Linebackers,0,74,25,48,37,63,0,0,14,22,6,61,0,0,37,0,40,31,0
4,Morris,Buddy,0,Strength Coordinator,Strength,130,0,0,0,0,0,66,47,71,0,0,63,0,2,0,0,0,0,56
5,Smith,Mike,6,Assistant Coach,Defensive Linemen,364,52,50,41,50,42,0,0,83,81,83,61,0,2,50,0,55,56,0
6,Koetter,Dirk,1,Offensive Coordinator,Quarterbacks,177,45,19,35,43,80,0,0,35,21,20,61,0,4,31,37,0,25,0
7,Nolan,Mike,99,None,Secondary,0,58,31,71,84,24,0,0,52,25,36,61,1,0,57,0,32,38,0
8,Armstrong,Keith,1,Assistant Coach,Secondary,202,44,91,44,42,18,0,0,17,48,22,57,0,4,41,0,46,58,0
9,Neibel,A.J.,99,None,Strength,0,0,0,0,0,0,30,53,57,0,0,48,0,0,0,0,0,0,41
10,Harbaugh,John,99,None,Secondary,0,60,35,69,35,1,0,0,56,53,35,58,0,0,51,0,34,43,0
11,Kubiak,Gary,2,Offensive Coordinator,Quarterbacks,356,56,75,26,37,6,0,0,81,20,71,59,0,2,43,40,0,60,0
12,Pees,Dean,2,Head Coach,Linebackers,807,82,56,80,72,70,0,0,52,61,26,71,0,2,66,0,62,58,0
13,Rosburg,Jerry,99,None,Linebackers,0,57,41,42,62,39,0,0,43,44,26,65,1,0,43,0,42,41,0
14,Rogucki,Bob,99,None,Strength,0,0,0,0,0,0,52,53,90,0,0,67,1,0,0,0,0,0,53
15,Marrone,Doug,99,None,Offensive Linemen,0,37,7,27,14,23,0,0,36,59,58,56,0,0,27,29,0,24,0
16,Hackett,Nathaniel,99,None,Tight Ends,0,23,52,43,33,60,0,0,39,12,29,41,0,0,31,35,0,34,0
17,Schwartz,Jim,3,Head Coach,Linebackers,406,56,56,62,48,34,0,0,58,59,69,54,0,2,57,0,49,54,0
18,Crossman,Danny,3,Defensive Coordinator,Secondary,179,30,47,64,68,75,0,0,60,50,55,53,0,2,52,0,47,43,0
19,Ciano,Eric,99,None,Strength,0,0,0,0,0,0,33,24,47,0,0,44,0,0,0,0,0,0,28
20,Rivera,Ron,99,None,Linebackers,0,25,45,37,19,56,0,0,70,42,76,58,0,0,35,0,42,42,0
21,Shula,Mike,99,None,Quarterbacks,0,26,12,58,32,49,0,0,29,65,50,55,0,0,38,34,0,24,0
22,McDermott,Sean,5,Assistant Coach,Secondary,350,69,73,76,42,37,0,0,12,45,53,46,0,2,59,0,52,60,0
23,Rodgers,Richard,4,Assistant Coach,Secondary,188,79,20,55,40,9,0,0,89,21,54,58,0,2,50,0,32,40,0
