Stage,Year,Player_ID/Staff_ID/Round,Transaction,Team,Position_Group/Year,Money,Years/Original_Position/Destination_City,Original_Team/Destination_Position/Misc.
Pre-Staff Draft,2020,103,retired,24,K,0,0,0
Pre-Staff Draft,2020,125,retired,27,P,0,0,0
Pre-Staff Draft,2020,193,retired,30,S,0,0,0
Pre-Staff Draft,2020,211,retired,11,T,0,0,0
Pre-Staff Draft,2020,218,retired,2,T,0,0,0
Pre-Staff Draft,2020,223,retired,20,ILB,0,0,0
Pre-Staff Draft,2020,276,retired,14,DE,0,0,0
Pre-Staff Draft,2020,301,retired,16,C,0,0,0
Pre-Staff Draft,2020,305,retired,29,DE,0,0,0
Pre-Staff Draft,2020,307,retired,0,OLB,0,0,0
Pre-Staff Draft,2020,314,retired,29,CB,0,0,0
Pre-Staff Draft,2020,316,retired,20,S,0,0,0
Pre-Staff Draft,2020,338,retired,28,OLB,0,0,0
Pre-Staff Draft,2020,346,retired,17,G,0,0,0
Pre-Staff Draft,2020,377,retired,15,WR,0,0,0
Pre-Staff Draft,2020,389,retired,15,S,0,0,0
Pre-Staff Draft,2020,407,retired,13,OLB,0,0,0
Pre-Staff Draft,2020,429,retired,10,FB,0,0,0
Pre-Staff Draft,2020,431,retired,21,ILB,0,0,0
Pre-Staff Draft,2020,441,retired,31,C,0,0,0
Pre-Staff Draft,2020,457,retired,28,TE,0,0,0
Pre-Staff Draft,2020,474,retired,9,G,0,0,0
Pre-Staff Draft,2020,487,retired,14,OLB,0,0,0
Pre-Staff Draft,2020,510,retired,9,FB,0,0,0
Pre-Staff Draft,2020,565,retired,18,G,0,0,0
Pre-Staff Draft,2020,589,retired,12,ILB,0,0,0
Pre-Staff Draft,2020,610,retired,27,TE,0,0,0
Pre-Staff Draft,2020,649,retired,10,CB,0,0,0
Pre-Staff Draft,2020,695,retired,19,CB,0,0,0
Pre-Staff Draft,2020,804,retired,4,OLB,0,0,0
Pre-Staff Draft,2020,838,retired,9,ILB,0,0,0
Pre-Staff Draft,2020,853,retired,18,G,0,0,0
Pre-Staff Draft,2020,878,retired,20,DE,0,0,0
Pre-Staff Draft,2020,916,retired,14,C,0,0,0
Pre-Staff Draft,2020,917,retired,12,RB,0,0,0
Pre-Staff Draft,2020,938,retired,20,DT,0,0,0
Pre-Staff Draft,2020,948,retired,11,DE,0,0,0
Pre-Staff Draft,2020,1056,retired,13,CB,0,0,0
Pre-Staff Draft,2020,1078,retired,3,G,0,0,0
Pre-Staff Draft,2020,1134,retired,22,RB,0,0,0
Pre-Staff Draft,2020,1581,retired,30,CB,0,0,0
Pre-Staff Draft,2020,1788,retired,15,RB,0,0,0
Pre-Staff Draft,2020,1881,retired,3,S,0,0,0
Pre-Staff Draft,2020,2305,retired,0,CB,0,0,0
Pre-Staff Draft,2020,5775,retired,19,FB,0,0,0
Pre-Staff Draft,2020,8,re-signed as assistant coach,1,0,0,0,0
Pre-Staff Draft,2020,316,re-signed as defensive coordinator,2,0,0,0,0
Pre-Staff Draft,2020,110,re-signed as defensive coordinator,4,0,0,0,0
Pre-Staff Draft,2020,187,re-signed as defensive coordinator,10,0,0,0,0
Pre-Staff Draft,2020,57,re-signed as defensive coordinator,11,0,0,0,0
Pre-Staff Draft,2020,228,re-signed as assistant coach,11,0,0,0,0
Pre-Staff Draft,2020,61,re-signed as offensive coordinator,12,0,0,0,0
Pre-Staff Draft,2020,63,re-signed as assistant coach,12,0,0,0,0
Pre-Staff Draft,2020,58,re-signed as defensive coordinator,13,0,0,0,0
Pre-Staff Draft,2020,176,re-signed as strength coordinator,13,0,0,0,0
Pre-Staff Draft,2020,77,re-signed as defensive coordinator,15,0,0,0,0
Pre-Staff Draft,2020,86,re-signed as offensive coordinator,17,0,0,0,0
Pre-Staff Draft,2020,87,re-signed as defensive coordinator,17,0,0,0,0
Pre-Staff Draft,2020,302,re-signed as head coach,18,0,0,0,0
Pre-Staff Draft,2020,223,re-signed as assistant coach,18,0,0,0,0
Pre-Staff Draft,2020,104,re-signed as strength coordinator,20,0,0,0,0
