Team,Wins,Losses,Ties,Playoff_Appearances,Bowl_Appearances,Bowl_Wins,Playoff_Wins,Playoff_Losses,Turf_Type,Year_Stadium_Opened,Stadium_Capacity,Luxury_Boxes,Club_Seats,Home_City,Upper_Deck_Tickets,End_Zone_Tickets,Mezzanine_Tickets,Sideline_Tickets,Club_Seat_Tickets,Luxury_Box_Tickets,Lost_Salary_Cap_This_Season,Lost_Salary_Cap_Next_Season
0,73,70,1,4,1,0,5,4,Outdoor/Natural Grass,2020,65000,185,19700,Arizona,82,70,112,167,455,222000,2172,795
1,51,93,0,2,0,0,1,2,Outdoor/Natural Grass,1999,85900,208,7400,Atlanta,56,72,106,114,287,109000,1448,396
2,80,64,0,5,0,0,2,5,Outdoor/Natural Grass,2020,59900,177,15200,Baltimore,52,60,110,105,302,148000,1539,712
3,88,55,1,5,1,0,5,5,Dome/Artificial Turf,2022,62600,146,13500,Buffalo,48,81,89,81,238,119000,2403,217
4,92,52,0,6,1,0,6,6,Dome/Artificial Turf,2020,71800,138,8000,Carolina,67,97,103,146,427,209000,1863,582
5,32,112,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Chicago,36,47,73,80,174,65000,202,45
6,76,68,0,4,0,0,3,4,Outdoor/Natural Grass,1999,76500,284,7400,Cincinnati,50,66,113,100,280,105000,1613,565
7,53,91,0,2,0,0,0,2,Outdoor/Natural Grass,1999,77900,260,7400,Dallas,74,93,103,159,382,145000,1719,442
8,74,70,0,2,0,0,0,2,Outdoor/Natural Grass,2020,67000,137,17900,Denver,76,99,120,184,545,267000,1422,355
9,78,66,0,5,0,0,1,5,Outdoor/Natural Grass,1999,89500,203,7400,Detroit,52,82,99,87,241,91000,1200,332
10,104,40,0,6,4,3,13,3,Outdoor/Natural Grass,1999,78900,258,7400,Green Bay,56,84,140,168,484,184000,1201,400
11,54,89,1,0,0,0,0,0,Outdoor/Natural Grass,1999,75800,263,7400,Indianapolis,42,53,101,102,229,87000,1122,330
12,66,78,0,1,0,0,1,1,Outdoor/Natural Grass,1999,77500,250,7400,Jacksonville,55,67,117,136,341,129000,2287,697
13,72,72,0,4,2,0,5,4,Outdoor/Natural Grass,1999,80400,278,7400,Kansas City,59,80,124,124,368,139000,1567,619
14,80,63,1,3,1,0,2,3,Outdoor/Natural Grass,1999,82300,200,7400,Miami,49,84,122,154,454,172000,1444,1199
15,66,78,0,3,1,1,5,2,Outdoor/Natural Grass,1999,81100,197,7400,Minnesota,46,90,110,127,333,126000,2287,395
16,60,82,2,2,0,0,1,2,Outdoor/Natural Grass,1999,88400,227,7400,New England,61,72,119,150,388,146000,335,7
17,55,89,0,1,0,0,1,1,Outdoor/Natural Grass,1999,82700,239,7400,New Orleans,53,72,94,103,250,94000,2162,1481
18,77,67,0,3,0,0,2,3,Outdoor/Natural Grass,1999,81500,269,7400,New York,76,71,117,164,456,173000,1794,607
19,92,50,2,6,3,3,12,3,Outdoor/Natural Grass,1999,79100,200,7400,New Jersey,84,88,136,181,535,203000,1669,668
20,90,54,0,5,2,2,10,3,Outdoor/Natural Grass,1999,77800,252,7400,Oakland,84,117,124,185,550,208000,1204,196
21,69,74,1,3,0,0,3,3,Outdoor/Natural Grass,1999,78200,185,7400,Philadelphia,58,89,115,141,382,145000,2034,197
22,68,76,0,3,0,0,1,3,Outdoor/Natural Grass,1999,78300,207,7400,Pittsburgh,53,77,122,169,397,150000,2185,1385
23,70,73,1,2,0,0,1,2,Outdoor/Natural Grass,1999,78300,210,7400,San Diego,78,93,110,177,433,164000,2090,381
24,66,78,0,2,1,0,3,2,Outdoor/Natural Grass,2020,60200,182,17300,Seattle,40,77,96,95,261,127000,1897,330
25,76,68,0,5,0,0,3,5,Outdoor/Natural Grass,1999,89300,219,7400,San Francisco,87,75,124,182,469,178000,1108,509
26,58,86,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,St. Louis,46,43,73,70,150,57000,1837,1245
27,88,55,1,6,0,0,2,6,Outdoor/Natural Grass,1999,78500,248,7400,Tampa Bay,58,83,110,121,330,125000,1484,490
28,88,56,0,6,0,0,3,6,Outdoor/Natural Grass,1999,83800,199,7400,Tennessee,63,82,103,133,369,140000,2885,789
29,78,66,0,5,1,0,3,5,Outdoor/Natural Grass,1999,77800,216,7400,Washington,57,53,101,95,243,92000,1540,355
30,43,101,0,2,0,0,0,2,Outdoor/Natural Grass,1999,85600,191,7400,Cleveland,60,58,101,136,323,122000,1235,131
31,81,62,1,4,0,0,4,4,Outdoor/Natural Grass,1999,79300,231,7400,Houston,88,91,129,187,523,199000,2417,1168
