Team,Wins,Losses,Ties,Playoff_Appearances,Bowl_Appearances,Bowl_Wins,Playoff_Wins,Playoff_Losses,Turf_Type,Year_Stadium_Opened,Stadium_Capacity,Luxury_Boxes,Club_Seats,Home_City,Upper_Deck_Tickets,End_Zone_Tickets,Mezzanine_Tickets,Sideline_Tickets,Club_Seat_Tickets,Luxury_Box_Tickets,Lost_Salary_Cap_This_Season,Lost_Salary_Cap_Next_Season
0,32,32,0,2,1,0,3,2,Outdoor/Natural Grass,1999,70000,134,7400,Arizona,65,60,91,138,359,147000,1067,538
1,21,43,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,Atlanta,37,46,82,89,210,86000,1179,701
2,38,26,0,3,0,0,1,3,Outdoor/Natural Grass,1999,70000,134,7400,Baltimore,42,48,85,89,227,93000,1110,78
3,34,29,1,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,Buffalo,35,59,63,68,169,69000,869,350
4,41,23,0,2,1,0,2,2,Outdoor/Natural Grass,1999,70000,134,7400,Carolina,58,65,80,109,283,115000,670,195
5,20,44,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Chicago,42,45,82,95,227,93000,131,18
6,39,25,0,3,0,0,2,3,Outdoor/Natural Grass,1999,70000,134,7400,Cincinnati,33,60,75,67,179,73000,515,47
7,24,40,0,1,0,0,0,1,Outdoor/Natural Grass,1999,70000,134,7400,Dallas,55,75,85,133,336,137000,1702,195
8,31,33,0,1,0,0,0,1,Outdoor/Natural Grass,1999,70000,134,7400,Denver,54,70,84,124,307,125000,616,358
9,29,35,0,2,0,0,0,2,Outdoor/Natural Grass,1999,70000,134,7400,Detroit,44,56,64,61,154,62000,1293,936
10,45,19,0,3,1,0,4,3,Outdoor/Natural Grass,1999,70000,134,7400,Green Bay,40,54,94,116,295,120000,1243,753
11,23,41,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Indianapolis,37,44,73,71,166,68000,228,79
12,27,37,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Jacksonville,45,61,70,81,199,81000,675,243
13,27,37,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,Kansas City,36,48,75,76,185,75000,1001,30
14,31,33,0,1,0,0,0,1,Outdoor/Natural Grass,1999,70000,134,7400,Miami,35,79,87,118,305,125000,1193,630
15,30,34,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,Minnesota,32,62,68,64,162,66000,919,328
16,23,40,1,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,New England,40,54,85,102,253,103000,970,524
17,23,41,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,New Orleans,35,60,70,73,178,72000,684,434
18,36,28,0,2,0,0,2,2,Outdoor/Natural Grass,1999,70000,134,7400,New York,65,60,89,121,322,132000,2390,343
19,53,11,0,4,3,3,10,1,Outdoor/Natural Grass,1999,70000,134,7400,New Jersey,62,67,89,125,350,143000,1238,769
20,40,24,0,3,1,1,6,2,Outdoor/Natural Grass,1999,70000,134,7400,Oakland,55,83,87,130,362,148000,925,571
21,33,31,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,Philadelphia,44,48,77,80,204,83000,762,352
22,29,35,0,1,0,0,0,1,Outdoor/Natural Grass,1999,70000,134,7400,Pittsburgh,40,54,91,109,271,111000,414,177
23,35,29,0,1,0,0,0,1,Outdoor/Natural Grass,1999,70000,134,7400,San Diego,61,68,96,152,380,155000,1028,278
24,28,36,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Seattle,37,58,87,104,261,107000,1316,520
25,33,31,0,2,0,0,2,2,Outdoor/Natural Grass,1999,70000,134,7400,San Francisco,61,64,96,147,371,152000,714,343
26,29,35,0,1,0,0,1,1,Outdoor/Natural Grass,1999,70000,134,7400,St. Louis,47,58,68,77,189,77000,1135,284
27,42,22,0,3,0,0,1,3,Outdoor/Natural Grass,1999,70000,134,7400,Tampa Bay,51,67,82,101,270,110000,446,236
28,35,29,0,2,0,0,1,2,Outdoor/Natural Grass,1999,70000,134,7400,Tennessee,46,74,80,108,281,115000,947,525
29,39,25,0,3,1,0,2,3,Outdoor/Natural Grass,1999,70000,134,7400,Washington,35,49,85,81,218,89000,938,337
30,14,50,0,0,0,0,0,0,Outdoor/Natural Grass,1999,70000,134,7400,Cleveland,42,51,70,86,210,86000,1309,824
31,39,25,0,3,0,0,2,3,Outdoor/Natural Grass,1999,70000,134,7400,Houston,47,55,85,124,318,130000,1423,735
