Week,Visitor_Team,Home_Team
Ex. Season Week 1,7,12
Ex. Season Week 1,17,22
Ex. Season Week 2,0,20
Ex. Season Week 2,1,30
Ex. Season Week 2,4,2
Ex. Season Week 2,5,16
Ex. Season Week 2,9,14
Ex. Season Week 2,10,19
Ex. Season Week 2,15,3
Ex. Season Week 2,18,31
Ex. Season Week 2,21,28
Ex. Season Week 2,24,8
Ex. Season Week 2,25,13
Ex. Season Week 2,26,23
Ex. Season Week 2,27,6
Ex. Season Week 2,29,11
Ex. Season Week 3,2,18
Ex. Season Week 3,3,26
Ex. Season Week 3,6,21
Ex. Season Week 3,8,5
Ex. Season Week 3,11,17
Ex. Season Week 3,12,1
Ex. Season Week 3,13,9
Ex. Season Week 3,14,25
Ex. Season Week 3,16,24
Ex. Season Week 3,19,0
Ex. Season Week 3,20,10
Ex. Season Week 3,22,29
Ex. Season Week 3,23,15
Ex. Season Week 3,28,27
Ex. Season Week 3,30,7
Ex. Season Week 3,31,4
Ex. Season Week 4,2,1
Ex. Season Week 4,3,10
Ex. Season Week 4,6,17
Ex. Season Week 4,8,25
Ex. Season Week 4,11,21
Ex. Season Week 4,12,18
Ex. Season Week 4,13,24
Ex. Season Week 4,14,5
Ex. Season Week 4,16,9
Ex. Season Week 4,19,15
Ex. Season Week 4,20,26
Ex. Season Week 4,22,27
Ex. Season Week 4,23,0
Ex. Season Week 4,28,29
Ex. Season Week 4,30,4
Ex. Season Week 4,31,7
Ex. Season Week 5,0,3
Ex. Season Week 5,1,31
Ex. Season Week 5,4,12
Ex. Season Week 5,5,13
Ex. Season Week 5,7,2
Ex. Season Week 5,9,8
Ex. Season Week 5,10,23
Ex. Season Week 5,15,20
Ex. Season Week 5,17,28
Ex. Season Week 5,18,30
Ex. Season Week 5,21,22
Ex. Season Week 5,24,14
Ex. Season Week 5,25,16
Ex. Season Week 5,26,19
Ex. Season Week 5,27,11
Ex. Season Week 5,29,6
Reg. Season Week 1,0,25
Reg. Season Week 1,1,17
Reg. Season Week 1,4,27
Reg. Season Week 1,5,10
Reg. Season Week 1,6,30
Reg. Season Week 1,7,21
Reg. Season Week 1,11,28
Reg. Season Week 1,14,19
Reg. Season Week 1,15,9
Reg. Season Week 1,16,3
Reg. Season Week 1,20,8
Reg. Season Week 1,22,2
Reg. Season Week 1,23,13
Reg. Season Week 1,26,24
Reg. Season Week 1,29,18
Reg. Season Week 1,31,12
Reg. Season Week 2,0,11
Reg. Season Week 2,2,5
Reg. Season Week 2,4,3
Reg. Season Week 2,8,21
Reg. Season Week 2,9,22
Reg. Season Week 2,10,6
