Staff_ID,Last_Name,First_Name,Current_Team,Role,Primary_Group,Salary,Player_Development,Young_Player_Development,Motivation,Discipline,Play_Calling,Strength_Training,Conditioning,Intelligence,Scouting_Ability,Interviewing,Age,Retired,Years_on_Contract,Suitable_Head_Coach,Suitable_Offensive_Coordinator,Suitable_Defensive_Coordinator,Suitable_Assistant_Coach,Suitable_Strength_Coordinator
0,Arians,Bruce,22,Offensive Coordinator,Quarterbacks,309,59,65,32,35,59,0,0,85,69,47,65,0,3,43,60,0,57,0
1,Goodwin,Harold,0,Offensive Coordinator,Offensive Linemen,294,25,45,44,25,67,0,0,68,66,53,44,0,4,36,48,0,41,0
2,Bowles,Todd,0,Defensive Coordinator,Secondary,242,84,72,30,36,63,0,0,28,24,45,54,0,3,44,0,57,58,0
3,Jones,Amos,99,None,Linebackers,0,72,25,47,43,63,0,0,14,30,8,58,0,0,38,0,41,31,0
4,Morris,Buddy,0,Strength Coordinator,Strength,99,0,0,0,0,0,73,59,71,0,0,60,0,2,0,0,0,0,64
5,Smith,Mike,6,Assistant Coach,Defensive Linemen,301,56,48,44,50,37,0,0,83,83,91,58,0,2,53,0,56,57,0
6,Koetter,Dirk,1,Offensive Coordinator,Quarterbacks,154,45,23,39,44,84,0,0,35,19,24,58,0,3,33,39,0,26,0
7,Nolan,Mike,99,None,Secondary,0,58,35,76,82,29,0,0,52,26,34,58,0,0,58,0,34,40,0
8,Armstrong,Keith,1,Assistant Coach,Secondary,152,53,92,43,44,18,0,0,17,46,23,54,0,4,43,0,49,60,0
9,Neibel,A.J.,99,None,Strength,0,0,0,0,0,0,33,46,57,0,0,45,0,0,0,0,0,0,39
10,Harbaugh,John,99,None,Secondary,0,67,39,77,41,14,0,0,56,64,34,55,0,0,57,0,43,47,0
11,Kubiak,Gary,2,Offensive Coordinator,Quarterbacks,210,58,72,29,37,18,0,0,81,23,73,56,0,1,43,44,0,58,0
12,Pees,Dean,2,Head Coach,Linebackers,640,86,67,76,79,80,0,0,52,66,31,68,0,2,67,0,68,63,0
13,Rosburg,Jerry,2,Assistant Coach,Linebackers,120,62,44,42,67,38,0,0,43,43,30,62,0,3,45,0,44,44,0
14,Rogucki,Bob,2,Strength Coordinator,Strength,129,0,0,0,0,0,52,53,90,0,0,64,0,1,0,0,0,0,53
15,Marrone,Doug,99,None,Offensive Linemen,0,40,4,23,14,26,0,0,36,56,62,53,0,0,27,31,0,23,0
16,Hackett,Nathaniel,3,Offensive Coordinator,Tight Ends,159,21,54,44,31,58,0,0,39,14,25,38,0,1,31,34,0,34,0
17,Schwartz,Jim,3,Defensive Coordinator,Linebackers,230,55,56,56,49,35,0,0,58,57,67,51,0,3,55,0,49,54,0
18,Crossman,Danny,3,Assistant Coach,Secondary,119,30,44,57,66,75,0,0,60,44,53,50,0,1,47,0,45,40,0
19,Ciano,Eric,99,None,Strength,0,0,0,0,0,0,33,27,47,0,0,41,0,0,0,0,0,0,30
20,Rivera,Ron,99,None,Linebackers,0,27,50,40,19,63,0,0,70,46,79,55,0,0,37,0,46,45,0
21,Shula,Mike,99,None,Quarterbacks,0,27,23,58,31,49,0,0,29,67,48,52,0,0,38,37,0,28,0
22,McDermott,Sean,99,None,Secondary,0,62,73,74,41,32,0,0,12,42,53,43,0,0,58,0,50,58,0
23,Rodgers,Richard,4,Assistant Coach,Secondary,162,84,23,60,43,13,0,0,89,30,61,55,0,1,55,0,37,45,0
24,Kenn,Joe,99,None,Strength,0,0,0,0,0,0,52,18,70,0,0,51,0,0,0,0,0,0,34
25,Trestman,Marc,99,None,Quarterbacks,0,21,60,44,87,10,0,0,34,84,63,61,1,0,48,43,0,50,0
26,Kromer,Aaron,5,Offensive Coordinator,Offensive Linemen,324,44,59,56,18,57,0,0,11,46,59,50,0,1,43,48,0,46,0
27,Tucker,Mel,9,Head Coach,Secondary,361,83,73,52,61,61,0,0,41,78,72,45,0,3,62,0,71,69,0
28,DeCamillis,Joe,5,Assistant Coach,Wide Receivers,243,54,65,43,89,36,0,0,71,65,71,52,0,1,56,54,0,60,0
29,Clark,Mike,5,Strength Coordinator,Strength,167,0,0,0,0,0,79,31,81,0,0,63,0,3,0,0,0,0,54
30,Lewis,Marvin,6,Head Coach,Linebackers,430,30,35,80,60,92,0,0,60,14,32,59,0,1,50,0,39,31,0
31,Jackson,Hue,6,Offensive Coordinator,Running Backs,189,27,38,28,59,30,0,0,51,73,70,52,0,1,38,41,0,40,0
32,Alexander,Paul,28,Offensive Coordinator,Offensive Linemen,380,73,60,34,44,92,0,0,75,82,28,57,0,3,46,72,0,59,0
33,Guenther,Paul,6,Defensive Coordinator,Linebackers,156,65,64,60,6,58,0,0,19,48,68,46,0,3,49,0,55,56,0
34,Morton,Chip,99,None,Strength,0,0,0,0,0,0,52,19,13,0,0,55,0,0,0,0,0,0,31
35,Garrett,Jason,4,Offensive Coordinator,Quarterbacks,193,75,73,19,69,46,0,0,63,66,70,51,0,3,51,63,0,67,0
36,Callahan,Bill,7,Offensive Coordinator,Offensive Linemen,184,45,31,53,61,64,0,0,59,30,81,61,0,4,51,42,0,39,0
37,Kiffin,Monte,3,Head Coach,Linebackers,1036,80,78,85,65,66,0,0,94,42,61,77,0,2,72,0,65,70,0
38,Bisaccia,Rich,15,Offensive Coordinator,Running Backs,339,37,74,57,65,81,0,0,76,40,77,57,0,2,56,56,0,59,0
39,Woicik,Mike,17,Strength Coordinator,Strength,135,0,0,0,0,0,65,73,75,0,0,61,0,3,0,0,0,0,68
40,Fox,John,5,Defensive Coordinator,Secondary,268,11,77,70,36,60,0,0,56,93,40,62,0,2,47,0,57,54,0
41,Gase,Adam,30,Head Coach,Wide Receivers,420,73,66,80,39,38,0,0,22,55,78,39,0,3,64,55,0,63,0
42,Del Rio,Jack,8,Defensive Coordinator,Linebackers,255,45,44,61,39,32,0,0,34,28,48,54,0,1,45,0,37,39,0
43,Rodgers,Jeff,8,Assistant Coach,Linebackers,125,15,34,67,67,23,0,0,61,44,78,39,0,3,50,0,29,37,0
44,Richesson,Luke,6,Strength Coordinator,Strength,185,0,0,0,0,0,80,76,44,0,0,41,0,2,0,0,0,0,75
45,Caldwell,Jim,30,Offensive Coordinator,Wide Receivers,184,64,48,28,14,75,0,0,84,29,82,62,0,3,41,54,0,51,0
46,Lombardi,Joe,99,None,Quarterbacks,0,69,61,13,44,42,0,0,7,32,22,46,0,0,32,47,0,47,0
47,Austin,Teryl,99,None,Secondary,0,74,35,38,24,15,0,0,5,5,72,52,0,0,40,0,32,40,0
48,Bonamego,John,9,Offensive Coordinator,Quarterbacks,159,61,78,15,57,59,0,0,13,70,32,54,0,3,38,61,0,58,0
49,Arapoff,Jason,99,None,Strength,0,0,0,0,0,0,35,18,58,0,0,52,0,0,0,0,0,0,27
50,McCarthy,Mike,10,Head Coach,Quarterbacks,669,61,96,61,33,51,0,0,42,45,36,54,0,3,52,60,0,66,0
51,Clements,Tom,10,Offensive Coordinator,Quarterbacks,294,56,67,39,36,34,0,0,49,67,48,64,0,1,44,52,0,56,0
52,Capers,Dom,99,None,Secondary,0,83,19,45,45,31,0,0,37,85,24,67,1,0,45,0,49,40,0
53,Moss,Winston,26,Defensive Coordinator,Linebackers,189,25,91,59,63,74,0,0,70,74,16,52,0,3,49,0,61,59,0
54,Lovat,Mark,10,Strength Coordinator,Strength,155,0,0,0,0,0,78,68,67,0,0,48,0,3,0,0,0,0,71
55,Pagano,Chuck,99,None,Secondary,0,52,51,49,21,70,0,0,75,39,47,57,0,0,43,0,50,46,0
56,Hamilton,Pep,11,Offensive Coordinator,Quarterbacks,268,58,73,10,45,13,0,0,59,22,33,43,0,1,33,39,0,53,0
57,Manusky,Greg,11,Defensive Coordinator,Linebackers,311,77,87,35,35,40,0,0,36,38,32,51,0,4,45,0,56,64,0
58,McMahon,Tom,13,Defensive Coordinator,Linebackers,217,16,75,56,80,62,0,0,78,90,9,48,0,4,49,0,55,53,0
