Category,Team/All_Teams,Place,Player,Record,Year,Team,Opponent
Quarterback Rating,0,0,1536,1570,2017,0,10
Quarterback Rating,0,1,2394,1500,2017,0,24
Quarterback Rating,0,2,1536,1483,2017,0,11
Quarterback Rating,0,3,1536,1418,2017,0,21
Quarterback Rating,0,4,1536,1368,2017,0,18
Quarterback Rating,0,5,98,1283,2014,0,25
Quarterback Rating,0,6,1536,1235,2017,0,28
Quarterback Rating,0,7,1536,1209,2017,0,24
Quarterback Rating,0,8,1536,1184,2016,0,3
Quarterback Rating,0,9,1536,1182,2017,0,4
Quarterback Rating,0,10,1536,1168,2017,0,26
Quarterback Rating,0,11,98,1164,2015,0,25
Quarterback Rating,0,12,1536,1163,2017,0,25
Quarterback Rating,0,13,98,1111,2015,0,22
Quarterback Rating,0,14,98,1094,2015,0,24
Quarterback Rating,0,15,98,1073,2014,0,26
Quarterback Rating,0,16,98,1072,2015,0,21
Quarterback Rating,0,17,98,1060,2015,0,15
Quarterback Rating,0,18,98,1025,2014,0,20
Quarterback Rating,0,19,1536,986,2016,0,7
Quarterback Rating,0,20,1536,972,2016,0,26
Quarterback Rating,0,21,98,958,2015,0,26
Quarterback Rating,0,22,1536,958,2016,0,25
Quarterback Rating,0,23,98,951,2014,0,18
Quarterback Rating,0,24,98,943,2014,0,8
Quarterback Rating,0,25,1536,933,2017,0,7
Quarterback Rating,0,26,98,926,2014,0,21
Quarterback Rating,0,27,98,919,2014,0,7
Quarterback Rating,0,28,98,915,2015,0,17
Quarterback Rating,0,29,98,894,2015,0,30
Quarterback Rating,0,30,98,873,2014,0,23
Quarterback Rating,0,31,98,854,2014,0,13
Quarterback Rating,0,32,98,853,2015,0,9
Quarterback Rating,0,33,1536,815,2016,0,17
Quarterback Rating,0,34,98,813,2014,0,9
Quarterback Rating,0,35,1536,813,2016,0,24
Quarterback Rating,0,36,1536,810,2016,0,16
Quarterback Rating,0,37,911,796,2014,0,25
Quarterback Rating,0,38,1536,792,2015,0,24
Quarterback Rating,0,39,1536,791,2017,0,12
Quarterback Rating,0,40,1536,787,2016,0,24
Quarterback Rating,0,41,1536,785,2017,0,25
Quarterback Rating,0,42,1536,762,2016,0,25
Quarterback Rating,0,43,911,729,2014,0,24
Quarterback Rating,0,44,1536,729,2016,0,9
Quarterback Rating,0,45,98,701,2015,0,10
Quarterback Rating,0,46,98,667,2014,0,29
Quarterback Rating,0,47,2394,662,2017,0,29
Quarterback Rating,0,48,98,654,2014,0,1
Quarterback Rating,0,49,1536,645,2016,0,4
Quarterback Rating,0,50,98,642,2015,0,6
Quarterback Rating,0,51,1536,640,2016,0,14
Quarterback Rating,0,52,1536,623,2015,0,25
Quarterback Rating,0,53,1536,619,2017,0,31
Quarterback Rating,0,54,98,618,2015,0,2
Quarterback Rating,0,55,98,558,2015,0,26
Quarterback Rating,0,56,1536,535,2016,0,27
Quarterback Rating,0,57,98,526,2015,0,5
Quarterback Rating,0,58,98,419,2014,0,26
Quarterback Rating,0,59,3209,213,2017,0,29
Quarterback Rating,0,60,1536,205,2016,0,19
Pass Attempts,0,0,1536,51,2017,0,25
Pass Attempts,0,1,98,46,2014,0,18
Pass Attempts,0,2,98,42,2014,0,23
Pass Attempts,0,3,98,42,2014,0,21
Pass Attempts,0,4,1536,42,2016,0,24
Pass Attempts,0,5,1536,42,2016,0,19
Pass Attempts,0,6,98,41,2015,0,21
Pass Attempts,0,7,911,40,2014,0,25
Pass Attempts,0,8,98,39,2014,0,29
Pass Attempts,0,9,98,39,2014,0,7
Pass Attempts,0,10,98,38,2014,0,13
Pass Attempts,0,11,98,37,2015,0,2
Pass Attempts,0,12,1536,37,2017,0,31
Pass Attempts,0,13,1536,36,2016,0,7
Pass Attempts,0,14,1536,36,2016,0,14
Pass Attempts,0,15,98,35,2014,0,8
Pass Attempts,0,16,98,35,2014,0,20
Pass Attempts,0,17,98,35,2014,0,1
Pass Attempts,0,18,98,34,2014,0,26
Pass Attempts,0,19,1536,34,2015,0,25
Pass Attempts,0,20,1536,34,2016,0,27
Pass Attempts,0,21,1536,34,2016,0,4
Pass Attempts,0,22,1536,34,2016,0,16
Pass Attempts,0,23,98,33,2014,0,26
Pass Attempts,0,24,98,33,2015,0,6
Pass Attempts,0,25,98,32,2014,0,9
Pass Attempts,0,26,1536,32,2016,0,17
Pass Attempts,0,27,1536,32,2017,0,12
Pass Attempts,0,28,1536,31,2015,0,24
Pass Attempts,0,29,98,31,2015,0,10
Pass Attempts,0,30,1536,31,2016,0,26
Pass Attempts,0,31,1536,31,2017,0,28
Pass Attempts,0,32,1536,30,2016,0,9
Pass Attempts,0,33,98,29,2015,0,9
Pass Attempts,0,34,1536,29,2017,0,10
Pass Attempts,0,35,98,28,2014,0,25
Pass Attempts,0,36,98,28,2015,0,26
Pass Attempts,0,37,1536,28,2016,0,25
Pass Attempts,0,38,1536,28,2017,0,11
Pass Attempts,0,39,98,27,2015,0,24
Pass Attempts,0,40,1536,27,2016,0,3
Pass Attempts,0,41,1536,27,2017,0,7
Pass Attempts,0,42,911,26,2014,0,24
Pass Attempts,0,43,98,26,2015,0,17
Pass Attempts,0,44,1536,25,2017,0,25
Pass Attempts,0,45,1536,25,2017,0,4
Pass Attempts,0,46,1536,25,2017,0,24
Pass Attempts,0,47,98,24,2015,0,5
Pass Attempts,0,48,98,24,2015,0,22
Pass Attempts,0,49,1536,24,2016,0,25
Pass Attempts,0,50,1536,24,2017,0,21
Pass Attempts,0,51,98,23,2015,0,15
Pass Attempts,0,52,98,23,2015,0,30
Pass Attempts,0,53,1536,23,2016,0,24
Pass Attempts,0,54,1536,23,2017,0,18
Pass Attempts,0,55,3209,23,2017,0,29
Pass Attempts,0,56,1536,23,2017,0,26
Pass Attempts,0,57,98,22,2015,0,25
Pass Attempts,0,58,2394,21,2017,0,24
Pass Attempts,0,59,2394,21,2017,0,29
Pass Attempts,0,60,98,20,2015,0,26
Pass Attempts,0,61,1536,19,2017,0,26
Pass Attempts,0,62,1536,17,2016,0,26
Pass Attempts,0,63,98,16,2014,0,24
Pass Attempts,0,64,1536,16,2016,0,1
Pass Attempts,0,65,98,12,2015,0,24
Pass Attempts,0,66,1536,11,2014,0,21
Pass Attempts,0,67,1536,5,2015,0,25
Pass Attempts,0,68,1536,5,2017,0,24
Pass Attempts,0,69,3209,3,2016,0,19
Pass Completions,0,0,98,31,2014,0,18
Pass Completions,0,1,98,29,2014,0,7
Pass Completions,0,2,98,28,2014,0,20
Pass Completions,0,3,98,27,2014,0,21
Pass Completions,0,4,98,27,2014,0,13
Pass Completions,0,5,98,27,2015,0,21
Pass Completions,0,6,98,26,2015,0,2
Pass Completions,0,7,1536,26,2016,0,7
Pass Completions,0,8,1536,26,2017,0,25
Pass Completions,0,9,98,25,2014,0,23
Pass Completions,0,10,98,24,2014,0,8
Pass Completions,0,11,98,24,2014,0,26
Pass Completions,0,12,1536,24,2016,0,24
Pass Completions,0,13,1536,24,2016,0,17
Pass Completions,0,14,911,23,2014,0,25
