Stage,Year,Player_ID/Staff_ID/Round,Transaction,Team,Position_Group/Year,Money,Years/Original_Position/Destination_City,Original_Team/Destination_Position/Misc.
Pre-Staff Draft,2017,3,retired,10,K,0,0,0
Pre-Staff Draft,2017,15,retired,20,P,0,0,0
Pre-Staff Draft,2017,36,retired,11,WR,0,0,0
Pre-Staff Draft,2017,47,retired,8,P,0,0,0
Pre-Staff Draft,2017,57,retired,27,RB,0,0,0
Pre-Staff Draft,2017,99,retired,20,OLB,0,0,0
Pre-Staff Draft,2017,115,retired,15,WR,0,0,0
Pre-Staff Draft,2017,121,retired,8,ILB,0,0,0
Pre-Staff Draft,2017,162,retired,13,G,0,0,0
Pre-Staff Draft,2017,165,retired,25,RB,0,0,0
Pre-Staff Draft,2017,169,retired,15,G,0,0,0
Pre-Staff Draft,2017,182,retired,2,CB,0,0,0
Pre-Staff Draft,2017,188,retired,13,WR,0,0,0
Pre-Staff Draft,2017,189,retired,6,WR,0,0,0
Pre-Staff Draft,2017,210,retired,24,G,0,0,0
Pre-Staff Draft,2017,222,retired,14,OLB,0,0,0
Pre-Staff Draft,2017,256,retired,18,T,0,0,0
Pre-Staff Draft,2017,283,retired,3,DE,0,0,0
Pre-Staff Draft,2017,367,retired,25,S,0,0,0
Pre-Staff Draft,2017,368,retired,5,ILB,0,0,0
Pre-Staff Draft,2017,434,retired,13,TE,0,0,0
Pre-Staff Draft,2017,471,retired,30,CB,0,0,0
Pre-Staff Draft,2017,3792,retired,7,ILB,0,0,0
Pre-Staff Draft,2017,52,retired as defensive coordinator,10,0,0,0,0
Pre-Staff Draft,2017,67,retired as defensive coordinator,13,0,0,0,0
Pre-Staff Draft,2017,90,retired as head coach,18,0,0,0,0
Pre-Staff Draft,2017,112,retired as defensive coordinator,22,0,0,0,0
Pre-Staff Draft,2017,8,re-signed as assistant coach,1,0,0,0,0
Pre-Staff Draft,2017,57,re-signed as defensive coordinator,11,0,0,0,0
Pre-Staff Draft,2017,87,re-signed as defensive coordinator,17,0,0,0,0
Pre-Staff Draft,2017,104,re-signed as strength coordinator,20,0,0,0,0
Pre-Staff Draft,2017,116,re-signed as offensive coordinator,23,0,0,0,0
Pre-Staff Draft,2017,135,re-signed as head coach,27,0,0,0,0
Staff Draft,2017,302,hired as head coach,18,0,0,0,0
Staff Draft,2017,108,hired as head coach,22,0,0,0,0
Staff Draft,2017,110,fired as head coach,22,0,0,0,0
Staff Draft,2017,1,hired as offensive coordinator,0,0,0,0,0
Staff Draft,2017,136,hired as offensive coordinator,27,0,0,0,0
Staff Draft,2017,86,hired as offensive coordinator,17,0,0,0,0
Staff Draft,2017,36,hired as offensive coordinator,7,0,0,0,0
Staff Draft,2017,61,hired as offensive coordinator,12,0,0,0,0
Staff Draft,2017,110,hired as defensive coordinator,4,0,0,0,0
Staff Draft,2017,316,hired as defensive coordinator,2,0,0,0,0
Staff Draft,2017,93,hired as defensive coordinator,22,0,0,0,0
Staff Draft,2017,58,hired as defensive coordinator,13,0,0,0,0
Staff Draft,2017,187,hired as defensive coordinator,10,0,0,0,0
Staff Draft,2017,77,hired as defensive coordinator,15,0,0,0,0
Staff Draft,2017,103,hired as assistant coach,20,0,0,0,0
Staff Draft,2017,301,hired as assistant coach,0,0,0,0,0
Staff Draft,2017,181,hired as assistant coach,27,0,0,0,0
Staff Draft,2017,223,hired as assistant coach,18,0,0,0,0
Staff Draft,2017,123,hired as assistant coach,24,0,0,0,0
Staff Draft,2017,228,hired as assistant coach,11,0,0,0,0
Staff Draft,2017,63,hired as assistant coach,12,0,0,0,0
Staff Draft,2017,309,hired as strength coordinator,27,0,0,0,0
Staff Draft,2017,139,fired as strength coordinator,27,0,0,0,0
Staff Draft,2017,308,hired as strength coordinator,25,0,0,0,0
Staff Draft,2017,176,hired as strength coordinator,13,0,0,0,0
FA Stage 1,2017,185,released,1,QB,0,0,0
FA Stage 1,2017,327,released,2,DE,0,0,0
FA Stage 1,2017,225,released,10,DE,0,0,0
FA Stage 1,2017,270,released,0,K,0,0,0
FA Stage 1,2017,1706,released,0,T,0,0,0
FA Stage 1,2017,1819,released,0,WR,0,0,0
FA Stage 1,2017,625,released,0,T,0,0,0
FA Stage 1,2017,1288,released,0,WR,0,0,0
FA Stage 1,2017,3558,released,0,G,0,0,0
FA Stage 1,2017,1394,released,0,DT,0,0,0
FA Stage 1,2017,371,released,0,DE,0,0,0
FA Stage 1,2017,3370,released,0,TE,0,0,0
FA Stage 1,2017,219,released,1,ILB,0,0,0
FA Stage 1,2017,703,released,1,WR,0,0,0
FA Stage 1,2017,1219,released,1,CB,0,0,0
FA Stage 1,2017,947,released,1,RB,0,0,0
FA Stage 1,2017,2413,released,1,RB,0,0,0
FA Stage 1,2017,709,released,1,WR,0,0,0
FA Stage 1,2017,2801,released,1,P,0,0,0
FA Stage 1,2017,3026,released,1,OLB,0,0,0
FA Stage 1,2017,2788,released,1,T,0,0,0
FA Stage 1,2017,455,released,3,CB,0,0,0
FA Stage 1,2017,1829,released,3,RB,0,0,0
FA Stage 1,2017,1595,released,3,OLB,0,0,0
FA Stage 1,2017,583,released,3,S,0,0,0
FA Stage 1,2017,645,released,3,WR,0,0,0
FA Stage 1,2017,626,released,3,DE,0,0,0
FA Stage 1,2017,867,released,3,DT,0,0,0
FA Stage 1,2017,130,released,3,CB,0,0,0
FA Stage 1,2017,1002,released,3,ILB,0,0,0
FA Stage 1,2017,232,released,4,G,0,0,0
FA Stage 1,2017,202,released,4,G,0,0,0
FA Stage 1,2017,1498,released,4,CB,0,0,0
FA Stage 1,2017,1854,released,4,RB,0,0,0
FA Stage 1,2017,1142,released,4,TE,0,0,0
FA Stage 1,2017,2856,released,4,DE,0,0,0
FA Stage 1,2017,797,released,4,T,0,0,0
FA Stage 1,2017,425,released,6,WR,0,0,0
FA Stage 1,2017,284,released,7,WR,0,0,0
FA Stage 1,2017,128,released,7,G,0,0,0
FA Stage 1,2017,557,released,7,WR,0,0,0
FA Stage 1,2017,1216,released,7,WR,0,0,0
FA Stage 1,2017,3122,released,7,CB,0,0,0
FA Stage 1,2017,394,released,8,OLB,0,0,0
FA Stage 1,2017,707,released,8,CB,0,0,0
FA Stage 1,2017,221,released,8,S,0,0,0
FA Stage 1,2017,3418,released,8,WR,0,0,0
FA Stage 1,2017,2044,released,8,WR,0,0,0
FA Stage 1,2017,2065,released,8,T,0,0,0
FA Stage 1,2017,1799,released,9,WR,0,0,0
FA Stage 1,2017,614,released,9,WR,0,0,0
FA Stage 1,2017,248,released,9,TE,0,0,0
FA Stage 1,2017,499,released,9,WR,0,0,0
FA Stage 1,2017,1725,released,9,CB,0,0,0
FA Stage 1,2017,1181,released,9,G,0,0,0
FA Stage 1,2017,2302,released,9,OLB,0,0,0
FA Stage 1,2017,864,released,9,G,0,0,0
FA Stage 1,2017,432,released,9,DT,0,0,0
FA Stage 1,2017,1550,released,10,RB,0,0,0
FA Stage 1,2017,521,released,10,T,0,0,0
FA Stage 1,2017,2307,released,10,CB,0,0,0
FA Stage 1,2017,861,released,10,S,0,0,0
FA Stage 1,2017,1825,released,10,TE,0,0,0
FA Stage 1,2017,2629,released,10,WR,0,0,0
FA Stage 1,2017,1707,released,10,G,0,0,0
FA Stage 1,2017,1125,released,10,C,0,0,0
FA Stage 1,2017,1758,released,10,DE,0,0,0
FA Stage 1,2017,1593,released,12,WR,0,0,0
FA Stage 1,2017,718,released,12,RB,0,0,0
FA Stage 1,2017,1041,released,12,T,0,0,0
FA Stage 1,2017,494,released,12,WR,0,0,0
FA Stage 1,2017,341,released,12,P,0,0,0
FA Stage 1,2017,411,released,12,TE,0,0,0
FA Stage 1,2017,1834,released,12,ILB,0,0,0
FA Stage 1,2017,618,released,12,C,0,0,0
FA Stage 1,2017,2677,released,12,G,0,0,0
FA Stage 1,2017,154,released,13,QB,0,0,0
FA Stage 1,2017,1089,released,13,WR,0,0,0
FA Stage 1,2017,311,released,14,S,0,0,0
FA Stage 1,2017,205,released,14,G,0,0,0
FA Stage 1,2017,282,released,14,S,0,0,0
FA Stage 1,2017,1090,released,14,T,0,0,0
FA Stage 1,2017,673,released,14,CB,0,0,0
FA Stage 1,2017,525,released,14,DT,0,0,0
FA Stage 1,2017,1496,released,14,RB,0,0,0
FA Stage 1,2017,2880,released,14,DE,0,0,0
FA Stage 1,2017,1677,released,14,DE,0,0,0
FA Stage 1,2017,1133,released,15,C,0,0,0
FA Stage 1,2017,1220,released,15,RB,0,0,0
FA Stage 1,2017,138,released,15,TE,0,0,0
FA Stage 1,2017,1409,released,15,CB,0,0,0
FA Stage 1,2017,1260,released,15,TE,0,0,0
FA Stage 1,2017,275,released,15,T,0,0,0
FA Stage 1,2017,632,released,15,RB,0,0,0
FA Stage 1,2017,1262,released,15,DT,0,0,0
FA Stage 1,2017,211,released,16,T,0,0,0
FA Stage 1,2017,1925,released,16,QB,0,0,0
FA Stage 1,2017,1844,released,16,WR,0,0,0
FA Stage 1,2017,1867,released,16,OLB,0,0,0
FA Stage 1,2017,1287,released,16,P,0,0,0
FA Stage 1,2017,1563,released,16,TE,0,0,0
FA Stage 1,2017,550,released,16,QB,0,0,0
FA Stage 1,2017,1412,released,16,ILB,0,0,0
FA Stage 1,2017,2513,released,16,TE,0,0,0
FA Stage 1,2017,570,released,17,CB,0,0,0
FA Stage 1,2017,475,released,17,C,0,0,0
FA Stage 1,2017,517,released,17,G,0,0,0
FA Stage 1,2017,1004,released,17,T,0,0,0
FA Stage 1,2017,318,released,17,ILB,0,0,0
FA Stage 1,2017,694,released,17,CB,0,0,0
FA Stage 1,2017,1616,released,17,RB,0,0,0
FA Stage 1,2017,1447,released,17,G,0,0,0
FA Stage 1,2017,2170,released,17,DT,0,0,0
FA Stage 1,2017,136,released,18,S,0,0,0
FA Stage 1,2017,955,released,18,ILB,0,0,0
FA Stage 1,2017,878,released,18,DE,0,0,0
FA Stage 1,2017,1532,released,18,RB,0,0,0
FA Stage 1,2017,508,released,18,C,0,0,0
FA Stage 1,2017,640,released,18,OLB,0,0,0
FA Stage 1,2017,526,released,18,S,0,0,0
FA Stage 1,2017,1793,released,18,OLB,0,0,0
FA Stage 1,2017,921,released,18,T,0,0,0
FA Stage 1,2017,1108,released,19,DE,0,0,0
FA Stage 1,2017,1694,released,19,S,0,0,0
FA Stage 1,2017,933,released,19,T,0,0,0
FA Stage 1,2017,1846,released,19,TE,0,0,0
FA Stage 1,2017,981,released,19,OLB,0,0,0
FA Stage 1,2017,940,released,19,CB,0,0,0
FA Stage 1,2017,774,released,19,DT,0,0,0
FA Stage 1,2017,1453,released,19,ILB,0,0,0
FA Stage 1,2017,647,released,19,CB,0,0,0
FA Stage 1,2017,257,released,20,ILB,0,0,0
FA Stage 1,2017,387,released,20,OLB,0,0,0
FA Stage 1,2017,1080,released,20,T,0,0,0
FA Stage 1,2017,950,released,20,CB,0,0,0
FA Stage 1,2017,649,released,20,CB,0,0,0
FA Stage 1,2017,155,released,20,TE,0,0,0
FA Stage 1,2017,1117,released,20,T,0,0,0
FA Stage 1,2017,1719,released,20,TE,0,0,0
FA Stage 1,2017,1509,released,20,S,0,0,0
FA Stage 1,2017,382,released,21,P,0,0,0
FA Stage 1,2017,836,released,21,DE,0,0,0
FA Stage 1,2017,1700,released,21,RB,0,0,0
FA Stage 1,2017,1738,released,21,K,0,0,0
FA Stage 1,2017,1168,released,21,WR,0,0,0
FA Stage 1,2017,1093,released,21,TE,0,0,0
FA Stage 1,2017,1439,released,21,FB,0,0,0
FA Stage 1,2017,1567,released,21,RB,0,0,0
FA Stage 1,2017,1705,released,21,S,0,0,0
FA Stage 1,2017,253,released,22,OLB,0,0,0
FA Stage 1,2017,835,released,23,DE,0,0,0
FA Stage 1,2017,492,released,23,CB,0,0,0
FA Stage 1,2017,714,released,23,WR,0,0,0
FA Stage 1,2017,358,released,23,G,0,0,0
FA Stage 1,2017,1143,released,23,DT,0,0,0
FA Stage 1,2017,610,released,23,TE,0,0,0
FA Stage 1,2017,2263,released,23,ILB,0,0,0
FA Stage 1,2017,1026,released,23,WR,0,0,0
FA Stage 1,2017,2497,released,23,FB,0,0,0
FA Stage 1,2017,333,released,24,T,0,0,0
FA Stage 1,2017,254,released,24,DE,0,0,0
FA Stage 1,2017,316,released,24,S,0,0,0
FA Stage 1,2017,413,released,24,G,0,0,0
FA Stage 1,2017,1235,released,24,RB,0,0,0
FA Stage 1,2017,590,released,24,ILB,0,0,0
FA Stage 1,2017,698,released,24,FB,0,0,0
FA Stage 1,2017,1285,released,24,RB,0,0,0
FA Stage 1,2017,1280,released,24,WR,0,0,0
FA Stage 1,2017,459,released,25,RB,0,0,0
FA Stage 1,2017,236,released,25,WR,0,0,0
