Category,Team/All_Teams,Place,Player,Record,Team,Year
Quarterback Rating,0,0,1536,1131,0,2017
Quarterback Rating,0,1,98,884,0,2014
Quarterback Rating,0,2,98,844,0,2015
Quarterback Rating,0,3,1536,778,0,2016
Pass Attempts,0,0,98,494,0,2014
Pass Attempts,0,1,1536,486,0,2016
Pass Attempts,0,2,1536,404,0,2017
Pass Attempts,0,3,98,400,0,2015
Pass Attempts,0,4,1536,70,0,2015
Pass Attempts,0,5,911,66,0,2014
Pass Attempts,0,6,2394,42,0,2017
Pass Attempts,0,7,3209,23,0,2017
Pass Attempts,0,8,1536,11,0,2014
Pass Attempts,0,9,3209,3,0,2016
Pass Completions,0,0,98,320,0,2014
Pass Completions,0,1,1536,290,0,2016
Pass Completions,0,2,1536,277,0,2017
Pass Completions,0,3,98,263,0,2015
Pass Completions,0,4,911,37,0,2014
Pass Completions,0,5,1536,37,0,2015
Pass Completions,0,6,2394,30,0,2017
Pass Completions,0,7,3209,12,0,2017
Pass Completions,0,8,1536,4,0,2014
Pass Completions,0,9,3209,1,0,2016
Completion Percentage,0,0,1536,686,0,2017
Completion Percentage,0,1,98,658,0,2015
Completion Percentage,0,2,98,648,0,2014
Completion Percentage,0,3,1536,597,0,2016
Passing Yards,0,0,98,3330,0,2014
Passing Yards,0,1,1536,3281,0,2017
Passing Yards,0,2,1536,2776,0,2016
Passing Yards,0,3,98,2662,0,2015
Passing Yards,0,4,1536,424,0,2015
Passing Yards,0,5,911,386,0,2014
Passing Yards,0,6,2394,322,0,2017
Passing Yards,0,7,3209,85,0,2017
Passing Yards,0,8,1536,67,0,2014
Passing Yards,0,9,3209,2,0,2016
Yards per Pass Attempt,0,0,1536,812,0,2017
Yards per Pass Attempt,0,1,98,674,0,2014
Yards per Pass Attempt,0,2,98,666,0,2015
Yards per Pass Attempt,0,3,1536,571,0,2016
Passing Touchdowns,0,0,1536,28,0,2017
Passing Touchdowns,0,1,1536,17,0,2016
Passing Touchdowns,0,2,98,16,0,2015
Passing Touchdowns,0,3,98,10,0,2014
Passing Touchdowns,0,4,911,2,0,2014
Passing Touchdowns,0,5,1536,2,0,2015
Passing Touchdowns,0,6,2394,2,0,2017
Passing Touchdowns,0,7,1536,1,0,2014
Times Sacked,0,0,98,43,0,2014
Times Sacked,0,1,98,33,0,2015
Times Sacked,0,2,1536,29,0,2016
Times Sacked,0,3,1536,23,0,2017
Times Sacked,0,4,911,8,0,2014
Times Sacked,0,5,3209,3,0,2017
Times Sacked,0,6,2394,1,0,2017
300 Yards Passing,0,0,98,3,0,2014
300 Yards Passing,0,1,1536,2,0,2017
Rushing Attempts,0,0,1864,326,0,2016
Rushing Attempts,0,1,1864,324,0,2015
Rushing Attempts,0,2,1864,297,0,2014
Rushing Attempts,0,3,1864,271,0,2017
Rushing Attempts,0,4,2423,118,0,2017
Rushing Attempts,0,5,3272,98,0,2015
Rushing Attempts,0,6,831,92,0,2014
Rushing Attempts,0,7,1536,76,0,2017
Rushing Attempts,0,8,1536,64,0,2016
Rushing Attempts,0,9,1951,61,0,2016
Rushing Attempts,0,10,1836,34,0,2016
Rushing Attempts,0,11,1836,30,0,2015
Rushing Attempts,0,12,98,29,0,2015
Rushing Attempts,0,13,98,28,0,2014
Rushing Attempts,0,14,1836,27,0,2017
Rushing Attempts,0,15,4891,21,0,2017
Rushing Attempts,0,16,1836,20,0,2014
Rushing Attempts,0,17,4071,14,0,2016
Rushing Attempts,0,18,3270,10,0,2017
Rushing Attempts,0,19,1536,8,0,2015
Rushing Attempts,0,20,433,7,0,2014
Rushing Attempts,0,21,911,6,0,2014
Rushing Attempts,0,22,842,3,0,2016
Rushing Attempts,0,23,2394,3,0,2017
Rushing Attempts,0,24,1771,2,0,2014
Rushing Attempts,0,25,260,2,0,2017
Rushing Attempts,0,26,2424,1,0,2016
Rushing Attempts,0,27,3370,1,0,2016
Rushing Attempts,0,28,842,1,0,2017
Rushing Attempts,0,29,4255,1,0,2017
Rushing Yards,0,0,1864,1675,0,2016
Rushing Yards,0,1,1864,1660,0,2015
Rushing Yards,0,2,1864,1424,0,2017
Rushing Yards,0,3,1864,1242,0,2014
Rushing Yards,0,4,2423,504,0,2017
Rushing Yards,0,5,1536,416,0,2017
Rushing Yards,0,6,1536,378,0,2016
Rushing Yards,0,7,3272,348,0,2015
Rushing Yards,0,8,831,254,0,2014
Rushing Yards,0,9,1951,205,0,2016
Rushing Yards,0,10,1836,136,0,2015
Rushing Yards,0,11,4891,122,0,2017
Rushing Yards,0,12,98,121,0,2014
Rushing Yards,0,13,98,109,0,2015
Rushing Yards,0,14,1836,86,0,2017
Rushing Yards,0,15,1836,78,0,2014
Rushing Yards,0,16,1836,75,0,2016
Rushing Yards,0,17,1536,55,0,2015
Rushing Yards,0,18,4071,54,0,2016
Rushing Yards,0,19,911,40,0,2014
Rushing Yards,0,20,3270,36,0,2017
Rushing Yards,0,21,842,22,0,2016
Rushing Yards,0,22,433,20,0,2014
Rushing Yards,0,23,4255,13,0,2017
Rushing Yards,0,24,260,12,0,2017
Rushing Yards,0,25,2394,12,0,2017
Rushing Yards,0,26,1771,3,0,2014
Rushing Yards,0,27,842,2,0,2017
Rushing Yards,0,28,2424,1,0,2016
Yards per Carry,0,0,1864,525,0,2017
Yards per Carry,0,1,1864,514,0,2016
Yards per Carry,0,2,1864,512,0,2015
Yards per Carry,0,3,2423,427,0,2017
Yards per Carry,0,4,1864,418,0,2014
Rushing Touchdowns,0,0,1864,13,0,2016
Rushing Touchdowns,0,1,1864,10,0,2014
Rushing Touchdowns,0,2,1864,10,0,2015
Rushing Touchdowns,0,3,1864,4,0,2017
Rushing Touchdowns,0,4,2423,4,0,2017
Rushing Touchdowns,0,5,98,3,0,2014
Rushing Touchdowns,0,6,831,2,0,2014
Rushing Touchdowns,0,7,3272,2,0,2015
Rushing Touchdowns,0,8,1836,2,0,2016
Rushing Touchdowns,0,9,1536,2,0,2017
Rushing Touchdowns,0,10,98,1,0,2015
Rushing Touchdowns,0,11,1836,1,0,2015
Rushing Touchdowns,0,12,1536,1,0,2016
100 Yards Rushing,0,0,1864,10,0,2015
100 Yards Rushing,0,1,1864,7,0,2016
100 Yards Rushing,0,2,1864,7,0,2017
100 Yards Rushing,0,3,1864,3,0,2014
100 Yards Rushing,0,4,831,1,0,2014
Receptions,0,0,1546,81,0,2014
Receptions,0,1,1864,69,0,2016
Receptions,0,2,842,64,0,2017
Receptions,0,3,842,63,0,2014
Receptions,0,4,1864,58,0,2014
Receptions,0,5,1864,56,0,2017
Receptions,0,6,1864,54,0,2015
Receptions,0,7,883,52,0,2015
Receptions,0,8,1771,49,0,2014
Receptions,0,9,1546,49,0,2015
Receptions,0,10,842,45,0,2015
Receptions,0,11,1819,44,0,2016
Receptions,0,12,842,42,0,2016
Receptions,0,13,4255,40,0,2017
Receptions,0,14,1836,38,0,2014
Receptions,0,15,260,37,0,2017
Receptions,0,16,1836,36,0,2015
Receptions,0,17,1836,36,0,2016
Receptions,0,18,557,36,0,2017
Receptions,0,19,1836,31,0,2017
Receptions,0,20,1288,26,0,2015
Receptions,0,21,1675,26,0,2017
Receptions,0,22,1288,25,0,2016
Receptions,0,23,1675,25,0,2016
Receptions,0,24,1365,22,0,2014
Receptions,0,25,2589,21,0,2014
Receptions,0,26,4255,21,0,2016
Receptions,0,27,2566,18,0,2015
Receptions,0,28,3272,12,0,2015
Receptions,0,29,2634,11,0,2016
Receptions,0,30,831,10,0,2014
Receptions,0,31,2012,10,0,2014
Receptions,0,32,1093,10,0,2017
Receptions,0,33,1951,8,0,2016
Receptions,0,34,2512,7,0,2016
Receptions,0,35,1365,6,0,2015
Receptions,0,36,2423,5,0,2017
Receptions,0,37,4980,5,0,2017
Receptions,0,38,369,4,0,2014
Receptions,0,39,1371,3,0,2014
Receptions,0,40,5016,3,0,2017
Receptions,0,41,1464,2,0,2014
Receptions,0,42,4071,2,0,2016
Receptions,0,43,4891,2,0,2017
Receptions,0,44,831,1,0,2015
Receptions,0,45,3410,1,0,2015
Receptions,0,46,3370,1,0,2016
Receptions,0,47,4232,1,0,2017
Receiving Yards,0,0,1546,1006,0,2014
Receiving Yards,0,1,842,760,0,2017
Receiving Yards,0,2,842,758,0,2014
Receiving Yards,0,3,260,623,0,2017
Receiving Yards,0,4,883,618,0,2015
Receiving Yards,0,5,4255,588,0,2017
Receiving Yards,0,6,1546,541,0,2015
Receiving Yards,0,7,842,527,0,2015
Receiving Yards,0,8,1864,517,0,2016
Receiving Yards,0,9,1771,515,0,2014
Receiving Yards,0,10,1819,511,0,2016
Receiving Yards,0,11,1864,509,0,2017
Receiving Yards,0,12,842,487,0,2016
Receiving Yards,0,13,1864,462,0,2015
Receiving Yards,0,14,1864,442,0,2014
Receiving Yards,0,15,557,371,0,2017
Receiving Yards,0,16,1288,348,0,2016
Receiving Yards,0,17,1288,305,0,2015
Receiving Yards,0,18,1836,300,0,2017
Receiving Yards,0,19,1836,293,0,2014
Receiving Yards,0,20,1836,263,0,2016
Receiving Yards,0,21,4255,262,0,2016
Receiving Yards,0,22,2589,248,0,2014
Receiving Yards,0,23,1836,236,0,2015
Receiving Yards,0,24,1675,226,0,2017
Receiving Yards,0,25,2566,210,0,2015
Receiving Yards,0,26,1365,208,0,2014
Receiving Yards,0,27,1675,186,0,2016
Receiving Yards,0,28,2634,153,0,2016
Receiving Yards,0,29,831,129,0,2014
Receiving Yards,0,30,1365,112,0,2015
Receiving Yards,0,31,1093,111,0,2017
Receiving Yards,0,32,2012,66,0,2014
Receiving Yards,0,33,3272,64,0,2015
Receiving Yards,0,34,5016,64,0,2017
Receiving Yards,0,35,369,54,0,2014
Receiving Yards,0,36,4980,52,0,2017
Receiving Yards,0,37,1464,38,0,2014
Receiving Yards,0,38,2512,31,0,2016
Receiving Yards,0,39,1371,26,0,2014
Receiving Yards,0,40,2423,20,0,2017
Receiving Yards,0,41,1951,17,0,2016
Receiving Yards,0,42,3410,12,0,2015
Receiving Yards,0,43,4891,5,0,2017
Receiving Yards,0,44,4071,3,0,2016
Yards per Reception,0,0,260,1684,0,2017
Yards per Reception,0,1,4255,1470,0,2017
Yards per Reception,0,2,1546,1242,0,2014
Yards per Reception,0,3,842,1203,0,2014
Yards per Reception,0,4,883,1188,0,2015
Yards per Reception,0,5,842,1188,0,2017
Yards per Reception,0,6,842,1171,0,2015
Yards per Reception,0,7,1819,1161,0,2016
Yards per Reception,0,8,842,1160,0,2016
Yards per Reception,0,9,1546,1104,0,2015
Yards per Reception,0,10,1771,1051,0,2014
Yards per Reception,0,11,557,1031,0,2017
Yards per Reception,0,12,1864,909,0,2017
Yards per Reception,0,13,1864,856,0,2015
Yards per Reception,0,14,1836,771,0,2014
Yards per Reception,0,15,1864,762,0,2014
Yards per Reception,0,16,1864,749,0,2016
