Category,Team/All_Teams,Place,Player,Record,Year,Team,Opponent
Quarterback Rating,0,0,98,1283,2014,0,25
Quarterback Rating,0,1,98,1164,2015,0,25
Quarterback Rating,0,2,98,1111,2015,0,22
Quarterback Rating,0,3,98,1094,2015,0,24
Quarterback Rating,0,4,98,1073,2014,0,26
Quarterback Rating,0,5,98,1072,2015,0,21
Quarterback Rating,0,6,98,1060,2015,0,15
Quarterback Rating,0,7,98,1025,2014,0,20
Quarterback Rating,0,8,98,958,2015,0,26
Quarterback Rating,0,9,98,951,2014,0,18
Quarterback Rating,0,10,98,943,2014,0,8
Quarterback Rating,0,11,98,926,2014,0,21
Quarterback Rating,0,12,98,919,2014,0,7
Quarterback Rating,0,13,98,915,2015,0,17
Quarterback Rating,0,14,98,894,2015,0,30
Quarterback Rating,0,15,98,873,2014,0,23
Quarterback Rating,0,16,98,854,2014,0,13
Quarterback Rating,0,17,98,853,2015,0,9
Quarterback Rating,0,18,98,813,2014,0,9
Quarterback Rating,0,19,911,796,2014,0,25
Quarterback Rating,0,20,1536,792,2015,0,24
Quarterback Rating,0,21,911,729,2014,0,24
Quarterback Rating,0,22,98,701,2015,0,10
Quarterback Rating,0,23,98,667,2014,0,29
Quarterback Rating,0,24,98,654,2014,0,1
Quarterback Rating,0,25,98,642,2015,0,6
Quarterback Rating,0,26,1536,623,2015,0,25
Quarterback Rating,0,27,98,618,2015,0,2
Quarterback Rating,0,28,98,558,2015,0,26
Quarterback Rating,0,29,98,526,2015,0,5
Quarterback Rating,0,30,98,419,2014,0,26
Pass Attempts,0,0,98,46,2014,0,18
Pass Attempts,0,1,98,42,2014,0,23
Pass Attempts,0,2,98,42,2014,0,21
Pass Attempts,0,3,98,41,2015,0,21
Pass Attempts,0,4,911,40,2014,0,25
Pass Attempts,0,5,98,39,2014,0,29
Pass Attempts,0,6,98,39,2014,0,7
Pass Attempts,0,7,98,38,2014,0,13
Pass Attempts,0,8,98,37,2015,0,2
Pass Attempts,0,9,98,35,2014,0,8
Pass Attempts,0,10,98,35,2014,0,20
Pass Attempts,0,11,98,35,2014,0,1
Pass Attempts,0,12,98,34,2014,0,26
Pass Attempts,0,13,1536,34,2015,0,25
Pass Attempts,0,14,98,33,2014,0,26
Pass Attempts,0,15,98,33,2015,0,6
Pass Attempts,0,16,98,32,2014,0,9
Pass Attempts,0,17,1536,31,2015,0,24
Pass Attempts,0,18,98,31,2015,0,10
Pass Attempts,0,19,98,29,2015,0,9
Pass Attempts,0,20,98,28,2014,0,25
Pass Attempts,0,21,98,28,2015,0,26
Pass Attempts,0,22,98,27,2015,0,24
Pass Attempts,0,23,911,26,2014,0,24
Pass Attempts,0,24,98,26,2015,0,17
Pass Attempts,0,25,98,24,2015,0,5
Pass Attempts,0,26,98,24,2015,0,22
Pass Attempts,0,27,98,23,2015,0,15
Pass Attempts,0,28,98,23,2015,0,30
Pass Attempts,0,29,98,22,2015,0,25
Pass Attempts,0,30,98,20,2015,0,26
Pass Attempts,0,31,98,16,2014,0,24
Pass Attempts,0,32,98,12,2015,0,24
Pass Attempts,0,33,1536,11,2014,0,21
Pass Attempts,0,34,1536,5,2015,0,25
Pass Completions,0,0,98,31,2014,0,18
Pass Completions,0,1,98,29,2014,0,7
Pass Completions,0,2,98,28,2014,0,20
Pass Completions,0,3,98,27,2014,0,21
Pass Completions,0,4,98,27,2014,0,13
Pass Completions,0,5,98,27,2015,0,21
Pass Completions,0,6,98,26,2015,0,2
Pass Completions,0,7,98,25,2014,0,23
Pass Completions,0,8,98,24,2014,0,8
Pass Completions,0,9,98,24,2014,0,26
Pass Completions,0,10,911,23,2014,0,25
Pass Completions,0,11,98,22,2015,0,24
Pass Completions,0,12,98,21,2014,0,25
Pass Completions,0,13,98,20,2014,0,9
Pass Completions,0,14,98,20,2015,0,9
Pass Completions,0,15,98,19,2014,0,29
Pass Completions,0,16,98,19,2015,0,6
Pass Completions,0,17,98,18,2014,0,1
Pass Completions,0,18,1536,18,2015,0,24
Pass Completions,0,19,98,18,2015,0,17
Pass Completions,0,20,98,18,2015,0,22
Pass Completions,0,21,98,17,2015,0,10
Pass Completions,0,22,98,17,2015,0,25
Pass Completions,0,23,1536,17,2015,0,25
Pass Completions,0,24,98,16,2015,0,15
Pass Completions,0,25,98,16,2015,0,30
Pass Completions,0,26,98,15,2014,0,26
Pass Completions,0,27,98,15,2015,0,26
Pass Completions,0,28,911,14,2014,0,24
Pass Completions,0,29,98,14,2015,0,5
Pass Completions,0,30,98,12,2014,0,24
Pass Completions,0,31,98,12,2015,0,26
Pass Completions,0,32,98,6,2015,0,24
Pass Completions,0,33,1536,4,2014,0,21
Pass Completions,0,34,1536,2,2015,0,25
Completion Percentage,0,0,98,815,2015,0,24
Completion Percentage,0,1,98,800,2014,0,20
Completion Percentage,0,2,98,773,2015,0,25
Completion Percentage,0,3,98,750,2014,0,25
Completion Percentage,0,4,98,750,2015,0,26
Completion Percentage,0,5,98,750,2015,0,22
Completion Percentage,0,6,98,744,2014,0,7
Completion Percentage,0,7,98,727,2014,0,26
Completion Percentage,0,8,98,711,2014,0,13
Completion Percentage,0,9,98,703,2015,0,2
Completion Percentage,0,10,98,696,2015,0,15
Completion Percentage,0,11,98,696,2015,0,30
Completion Percentage,0,12,98,692,2015,0,17
Completion Percentage,0,13,98,690,2015,0,9
Completion Percentage,0,14,98,686,2014,0,8
Completion Percentage,0,15,98,674,2014,0,18
Completion Percentage,0,16,98,659,2015,0,21
Completion Percentage,0,17,98,643,2014,0,21
Completion Percentage,0,18,98,625,2014,0,9
Completion Percentage,0,19,98,595,2014,0,23
Completion Percentage,0,20,98,583,2015,0,5
Completion Percentage,0,21,1536,581,2015,0,24
Completion Percentage,0,22,98,576,2015,0,6
Completion Percentage,0,23,911,575,2014,0,25
Completion Percentage,0,24,98,548,2015,0,10
Completion Percentage,0,25,911,538,2014,0,24
Completion Percentage,0,26,98,514,2014,0,1
Completion Percentage,0,27,1536,500,2015,0,25
Completion Percentage,0,28,98,487,2014,0,29
Completion Percentage,0,29,98,441,2014,0,26
Completion Percentage,0,30,98,429,2015,0,26
Passing Yards,0,0,98,327,2014,0,18
Passing Yards,0,1,98,320,2014,0,13
Passing Yards,0,2,98,301,2014,0,20
Passing Yards,0,3,98,293,2014,0,21
Passing Yards,0,4,98,279,2014,0,23
Passing Yards,0,5,98,268,2014,0,25
Passing Yards,0,6,98,261,2014,0,7
Passing Yards,0,7,98,255,2015,0,21
Passing Yards,0,8,98,245,2014,0,29
Passing Yards,0,9,1536,234,2015,0,24
Passing Yards,0,10,98,230,2015,0,2
Passing Yards,0,11,98,218,2015,0,17
Passing Yards,0,12,98,215,2014,0,8
Passing Yards,0,13,98,212,2015,0,6
Passing Yards,0,14,98,208,2014,0,9
Passing Yards,0,15,98,206,2015,0,10
Passing Yards,0,16,911,204,2014,0,25
Passing Yards,0,17,98,199,2015,0,9
Passing Yards,0,18,98,197,2015,0,24
Passing Yards,0,19,98,194,2014,0,26
Passing Yards,0,20,98,184,2015,0,25
Passing Yards,0,21,911,182,2014,0,24
Passing Yards,0,22,98,182,2015,0,30
Passing Yards,0,23,98,174,2015,0,15
Passing Yards,0,24,98,172,2014,0,1
Passing Yards,0,25,1536,172,2015,0,25
Passing Yards,0,26,98,150,2015,0,26
Passing Yards,0,27,98,141,2015,0,26
Passing Yards,0,28,98,140,2015,0,22
Passing Yards,0,29,98,125,2014,0,26
Passing Yards,0,30,98,122,2014,0,24
Passing Yards,0,31,98,111,2015,0,5
Passing Yards,0,32,1536,67,2014,0,21
Passing Yards,0,33,98,63,2015,0,24
Passing Yards,0,34,1536,18,2015,0,25
Yards per Pass Attempt,0,0,98,957,2014,0,25
Yards per Pass Attempt,0,1,98,860,2014,0,20
Yards per Pass Attempt,0,2,98,842,2014,0,13
Yards per Pass Attempt,0,3,98,838,2015,0,17
Yards per Pass Attempt,0,4,98,836,2015,0,25
Yards per Pass Attempt,0,5,98,791,2015,0,30
Yards per Pass Attempt,0,6,98,757,2015,0,15
Yards per Pass Attempt,0,7,1536,755,2015,0,24
Yards per Pass Attempt,0,8,98,750,2015,0,26
Yards per Pass Attempt,0,9,98,730,2015,0,24
Yards per Pass Attempt,0,10,98,711,2014,0,18
Yards per Pass Attempt,0,11,911,700,2014,0,24
Yards per Pass Attempt,0,12,98,698,2014,0,21
Yards per Pass Attempt,0,13,98,686,2015,0,9
Yards per Pass Attempt,0,14,98,669,2014,0,7
Yards per Pass Attempt,0,15,98,665,2015,0,10
Yards per Pass Attempt,0,16,98,664,2014,0,23
Yards per Pass Attempt,0,17,98,650,2014,0,9
Yards per Pass Attempt,0,18,98,642,2015,0,6
Yards per Pass Attempt,0,19,98,628,2014,0,29
Yards per Pass Attempt,0,20,98,622,2015,0,2
Yards per Pass Attempt,0,21,98,622,2015,0,21
Yards per Pass Attempt,0,22,98,614,2014,0,8
Yards per Pass Attempt,0,23,98,588,2014,0,26
Yards per Pass Attempt,0,24,98,583,2015,0,22
Yards per Pass Attempt,0,25,911,510,2014,0,25
Yards per Pass Attempt,0,26,1536,506,2015,0,25
Yards per Pass Attempt,0,27,98,504,2015,0,26
Yards per Pass Attempt,0,28,98,491,2014,0,1
Yards per Pass Attempt,0,29,98,463,2015,0,5
Yards per Pass Attempt,0,30,98,368,2014,0,26
Passing Touchdowns,0,0,98,3,2015,0,21
Passing Touchdowns,0,1,98,3,2015,0,22
Passing Touchdowns,0,2,98,2,2014,0,25
Passing Touchdowns,0,3,98,2,2014,0,26
Passing Touchdowns,0,4,98,2,2015,0,10
Passing Touchdowns,0,5,98,1,2014,0,23
Passing Touchdowns,0,6,98,1,2014,0,18
Passing Touchdowns,0,7,98,1,2014,0,8
Passing Touchdowns,0,8,98,1,2014,0,29
Passing Touchdowns,0,9,98,1,2014,0,21
Passing Touchdowns,0,10,1536,1,2014,0,21
Passing Touchdowns,0,11,98,1,2014,0,24
Passing Touchdowns,0,12,911,1,2014,0,24
Passing Touchdowns,0,13,911,1,2014,0,25
Passing Touchdowns,0,14,1536,1,2015,0,24
Passing Touchdowns,0,15,98,1,2015,0,2
Passing Touchdowns,0,16,98,1,2015,0,15
Passing Touchdowns,0,17,98,1,2015,0,24
Passing Touchdowns,0,18,98,1,2015,0,9
Passing Touchdowns,0,19,98,1,2015,0,25
Passing Touchdowns,0,20,98,1,2015,0,17
Passing Touchdowns,0,21,98,1,2015,0,26
Passing Touchdowns,0,22,98,1,2015,0,30
Passing Touchdowns,0,23,1536,1,2015,0,25
Times Sacked,0,0,98,7,2014,0,29
Times Sacked,0,1,911,7,2014,0,24
Times Sacked,0,2,98,7,2015,0,10
Times Sacked,0,3,98,5,2014,0,23
Times Sacked,0,4,98,5,2014,0,21
Times Sacked,0,5,98,4,2014,0,20
Times Sacked,0,6,98,4,2015,0,15
Times Sacked,0,7,98,4,2015,0,6
Times Sacked,0,8,98,3,2014,0,8
Times Sacked,0,9,98,3,2014,0,9
Times Sacked,0,10,98,3,2014,0,24
Times Sacked,0,11,98,3,2014,0,1
Times Sacked,0,12,98,3,2014,0,26
Times Sacked,0,13,98,3,2015,0,24
Times Sacked,0,14,98,3,2015,0,21
Times Sacked,0,15,98,2,2014,0,18
Times Sacked,0,16,98,2,2014,0,7
Times Sacked,0,17,98,2,2014,0,26
Times Sacked,0,18,98,2,2015,0,2
Times Sacked,0,19,98,2,2015,0,5
Times Sacked,0,20,98,2,2015,0,24
Times Sacked,0,21,98,2,2015,0,26
Times Sacked,0,22,98,2,2015,0,25
Times Sacked,0,23,98,1,2014,0,25
Times Sacked,0,24,911,1,2014,0,25
Times Sacked,0,25,98,1,2015,0,9
Times Sacked,0,26,98,1,2015,0,26
Rushing Attempts,0,0,1864,31,2015,0,15
