Stage,Year,Player_ID/Staff_ID/Round,Transaction,Team,Position_Group/Year,Money,Years/Original_Position/Destination_City,Original_Team/Destination_Position/Misc.
Pre-Staff Draft,2015,2,retired,25,K,0,0,0
Pre-Staff Draft,2015,4,retired,5,QB,0,0,0
Pre-Staff Draft,2015,5,retired,8,QB,0,0,0
Pre-Staff Draft,2015,7,retired,17,S,0,0,0
Pre-Staff Draft,2015,8,retired,19,C,0,0,0
Pre-Staff Draft,2015,9,retired,29,QB,0,0,0
Pre-Staff Draft,2015,12,retired,28,OLB,0,0,0
Pre-Staff Draft,2015,16,retired,22,WR,0,0,0
Pre-Staff Draft,2015,19,retired,31,C,0,0,0
Pre-Staff Draft,2015,20,retired,20,QB,0,0,0
Pre-Staff Draft,2015,21,retired,29,C,0,0,0
Pre-Staff Draft,2015,23,retired,6,WR,0,0,0
Pre-Staff Draft,2015,26,retired,3,DE,0,0,0
Pre-Staff Draft,2015,27,retired,21,S,0,0,0
Pre-Staff Draft,2015,30,retired,7,OLB,0,0,0
Pre-Staff Draft,2015,31,retired,7,OLB,0,0,0
Pre-Staff Draft,2015,38,retired,25,ILB,0,0,0
Pre-Staff Draft,2015,44,retired,27,DT,0,0,0
Pre-Staff Draft,2015,45,retired,26,CB,0,0,0
Pre-Staff Draft,2015,48,retired,12,OLB,0,0,0
Pre-Staff Draft,2015,50,retired,24,DE,0,0,0
Pre-Staff Draft,2015,58,retired,22,CB,0,0,0
Pre-Staff Draft,2015,59,retired,7,OLB,0,0,0
Pre-Staff Draft,2015,64,retired,26,G,0,0,0
Pre-Staff Draft,2015,70,retired,20,CB,0,0,0
Pre-Staff Draft,2015,72,retired,15,WR,0,0,0
Pre-Staff Draft,2015,74,retired,19,OLB,0,0,0
Pre-Staff Draft,2015,92,retired,5,DE,0,0,0
Pre-Staff Draft,2015,106,retired,7,ILB,0,0,0
Pre-Staff Draft,2015,108,retired,12,DE,0,0,0
Pre-Staff Draft,2015,111,retired,22,TE,0,0,0
Pre-Staff Draft,2015,122,retired,26,DE,0,0,0
Pre-Staff Draft,2015,135,retired,24,TE,0,0,0
Pre-Staff Draft,2015,181,retired,19,RB,0,0,0
Pre-Staff Draft,2015,201,retired,16,OLB,0,0,0
Pre-Staff Draft,2015,246,retired,7,QB,0,0,0
Pre-Staff Draft,2015,251,retired,7,CB,0,0,0
Pre-Staff Draft,2015,332,retired,30,RB,0,0,0
