Category,Team/All_Teams,Place,Player,Record,Team,Year
Quarterback Rating,0,0,98,884,0,2014
Quarterback Rating,0,1,98,844,0,2015
Pass Attempts,0,0,98,494,0,2014
Pass Attempts,0,1,98,400,0,2015
Pass Attempts,0,2,1536,70,0,2015
Pass Attempts,0,3,911,66,0,2014
Pass Attempts,0,4,1536,11,0,2014
Pass Completions,0,0,98,320,0,2014
Pass Completions,0,1,98,263,0,2015
Pass Completions,0,2,911,37,0,2014
Pass Completions,0,3,1536,37,0,2015
Pass Completions,0,4,1536,4,0,2014
Completion Percentage,0,0,98,658,0,2015
Completion Percentage,0,1,98,648,0,2014
Passing Yards,0,0,98,3330,0,2014
Passing Yards,0,1,98,2662,0,2015
Passing Yards,0,2,1536,424,0,2015
Passing Yards,0,3,911,386,0,2014
Passing Yards,0,4,1536,67,0,2014
Yards per Pass Attempt,0,0,98,674,0,2014
Yards per Pass Attempt,0,1,98,666,0,2015
Passing Touchdowns,0,0,98,16,0,2015
Passing Touchdowns,0,1,98,10,0,2014
Passing Touchdowns,0,2,911,2,0,2014
Passing Touchdowns,0,3,1536,2,0,2015
Passing Touchdowns,0,4,1536,1,0,2014
Times Sacked,0,0,98,43,0,2014
Times Sacked,0,1,98,33,0,2015
Times Sacked,0,2,911,8,0,2014
300 Yards Passing,0,0,98,3,0,2014
Rushing Attempts,0,0,1864,324,0,2015
Rushing Attempts,0,1,1864,297,0,2014
Rushing Attempts,0,2,3272,98,0,2015
Rushing Attempts,0,3,831,92,0,2014
Rushing Attempts,0,4,1836,30,0,2015
Rushing Attempts,0,5,98,29,0,2015
Rushing Attempts,0,6,98,28,0,2014
Rushing Attempts,0,7,1836,20,0,2014
Rushing Attempts,0,8,1536,8,0,2015
Rushing Attempts,0,9,433,7,0,2014
Rushing Attempts,0,10,911,6,0,2014
Rushing Attempts,0,11,1771,2,0,2014
Rushing Yards,0,0,1864,1660,0,2015
Rushing Yards,0,1,1864,1242,0,2014
Rushing Yards,0,2,3272,348,0,2015
Rushing Yards,0,3,831,254,0,2014
Rushing Yards,0,4,1836,136,0,2015
Rushing Yards,0,5,98,121,0,2014
Rushing Yards,0,6,98,109,0,2015
Rushing Yards,0,7,1836,78,0,2014
Rushing Yards,0,8,1536,55,0,2015
Rushing Yards,0,9,911,40,0,2014
Rushing Yards,0,10,433,20,0,2014
Rushing Yards,0,11,1771,3,0,2014
Yards per Carry,0,0,1864,512,0,2015
Yards per Carry,0,1,1864,418,0,2014
Rushing Touchdowns,0,0,1864,10,0,2014
Rushing Touchdowns,0,1,1864,10,0,2015
Rushing Touchdowns,0,2,98,3,0,2014
Rushing Touchdowns,0,3,831,2,0,2014
Rushing Touchdowns,0,4,3272,2,0,2015
Rushing Touchdowns,0,5,98,1,0,2015
Rushing Touchdowns,0,6,1836,1,0,2015
100 Yards Rushing,0,0,1864,10,0,2015
100 Yards Rushing,0,1,1864,3,0,2014
100 Yards Rushing,0,2,831,1,0,2014
Receptions,0,0,1546,81,0,2014
Receptions,0,1,842,63,0,2014
Receptions,0,2,1864,58,0,2014
Receptions,0,3,1864,54,0,2015
Receptions,0,4,883,52,0,2015
Receptions,0,5,1771,49,0,2014
Receptions,0,6,1546,49,0,2015
Receptions,0,7,842,45,0,2015
Receptions,0,8,1836,38,0,2014
Receptions,0,9,1836,36,0,2015
Receptions,0,10,1288,26,0,2015
Receptions,0,11,1365,22,0,2014
Receptions,0,12,2589,21,0,2014
Receptions,0,13,2566,18,0,2015
Receptions,0,14,3272,12,0,2015
Receptions,0,15,831,10,0,2014
Receptions,0,16,2012,10,0,2014
Receptions,0,17,1365,6,0,2015
Receptions,0,18,369,4,0,2014
Receptions,0,19,1371,3,0,2014
Receptions,0,20,1464,2,0,2014
Receptions,0,21,831,1,0,2015
Receptions,0,22,3410,1,0,2015
Receiving Yards,0,0,1546,1006,0,2014
Receiving Yards,0,1,842,758,0,2014
Receiving Yards,0,2,883,618,0,2015
Receiving Yards,0,3,1546,541,0,2015
Receiving Yards,0,4,842,527,0,2015
Receiving Yards,0,5,1771,515,0,2014
Receiving Yards,0,6,1864,462,0,2015
Receiving Yards,0,7,1864,442,0,2014
Receiving Yards,0,8,1288,305,0,2015
Receiving Yards,0,9,1836,293,0,2014
Receiving Yards,0,10,2589,248,0,2014
Receiving Yards,0,11,1836,236,0,2015
Receiving Yards,0,12,2566,210,0,2015
Receiving Yards,0,13,1365,208,0,2014
Receiving Yards,0,14,831,129,0,2014
Receiving Yards,0,15,1365,112,0,2015
Receiving Yards,0,16,2012,66,0,2014
Receiving Yards,0,17,3272,64,0,2015
Receiving Yards,0,18,369,54,0,2014
Receiving Yards,0,19,1464,38,0,2014
Receiving Yards,0,20,1371,26,0,2014
Receiving Yards,0,21,3410,12,0,2015
Yards per Reception,0,0,1546,1242,0,2014
Yards per Reception,0,1,842,1203,0,2014
Yards per Reception,0,2,883,1188,0,2015
Yards per Reception,0,3,842,1171,0,2015
Yards per Reception,0,4,1546,1104,0,2015
Yards per Reception,0,5,1771,1051,0,2014
Yards per Reception,0,6,1864,856,0,2015
Yards per Reception,0,7,1836,771,0,2014
Yards per Reception,0,8,1864,762,0,2014
Yards per Reception,0,9,1836,656,0,2015
Receiving Touchdowns,0,0,1546,6,0,2014
Receiving Touchdowns,0,1,1864,5,0,2015
Receiving Touchdowns,0,2,1546,4,0,2015
Receiving Touchdowns,0,3,883,3,0,2015
Receiving Touchdowns,0,4,1771,2,0,2014
Receiving Touchdowns,0,5,1836,2,0,2014
Receiving Touchdowns,0,6,1864,2,0,2014
Receiving Touchdowns,0,7,842,2,0,2015
Receiving Touchdowns,0,8,1836,2,0,2015
Receiving Touchdowns,0,9,1365,1,0,2014
Receiving Touchdowns,0,10,1288,1,0,2015
Receiving Touchdowns,0,11,2566,1,0,2015
Targeted Passes,0,0,1546,133,0,2014
Targeted Passes,0,1,842,103,0,2014
Targeted Passes,0,2,1546,87,0,2015
Targeted Passes,0,3,1771,84,0,2014
Targeted Passes,0,4,1864,80,0,2014
Targeted Passes,0,5,883,79,0,2015
Targeted Passes,0,6,842,78,0,2015
Targeted Passes,0,7,1864,73,0,2015
Targeted Passes,0,8,1836,51,0,2014
Targeted Passes,0,9,1288,45,0,2015
Targeted Passes,0,10,1836,42,0,2015
Targeted Passes,0,11,2589,38,0,2014
Targeted Passes,0,12,2566,35,0,2015
Targeted Passes,0,13,1365,30,0,2014
Targeted Passes,0,14,2012,19,0,2014
Targeted Passes,0,15,3272,19,0,2015
Targeted Passes,0,16,831,13,0,2014
Targeted Passes,0,17,369,12,0,2014
Targeted Passes,0,18,1365,7,0,2015
Targeted Passes,0,19,1464,4,0,2014
Targeted Passes,0,20,1371,3,0,2014
Targeted Passes,0,21,3410,2,0,2015
Targeted Passes,0,22,831,1,0,2015
Targeted Passes,0,23,3370,1,0,2015
Passes Dropped,0,0,842,8,0,2014
Passes Dropped,0,1,1864,6,0,2014
Passes Dropped,0,2,842,6,0,2015
Passes Dropped,0,3,1546,5,0,2014
Passes Dropped,0,4,1771,5,0,2014
Passes Dropped,0,5,1546,5,0,2015
Passes Dropped,0,6,1864,4,0,2015
Passes Dropped,0,7,2566,4,0,2015
Passes Dropped,0,8,2589,3,0,2014
Passes Dropped,0,9,883,2,0,2015
Passes Dropped,0,10,369,1,0,2014
Passes Dropped,0,11,1365,1,0,2014
Passes Dropped,0,12,1836,1,0,2014
Passes Dropped,0,13,1836,1,0,2015
Passes Dropped,0,14,3272,1,0,2015
100 Yards Receiving,0,0,1546,3,0,2014
100 Yards Receiving,0,1,842,2,0,2014
100 Yards Receiving,0,2,1546,1,0,2015
Interceptions,0,0,1073,6,0,2015
Interceptions,0,1,587,4,0,2014
Interceptions,0,2,587,4,0,2015
Interceptions,0,3,1073,3,0,2014
Interceptions,0,4,794,2,0,2014
Interceptions,0,5,995,2,0,2014
Interceptions,0,6,794,2,0,2015
Interceptions,0,7,1729,2,0,2015
Interceptions,0,8,535,1,0,2014
Interceptions,0,9,722,1,0,2014
Interceptions,0,10,1091,1,0,2014
Interceptions,0,11,1386,1,0,2014
Interceptions,0,12,861,1,0,2015
Interceptions,0,13,1333,1,0,2015
