Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,0,0,37,2015,0,17
Points Scored,0,1,36,2014,0,18
Points Scored,0,2,31,2015,0,30
Points Scored,0,3,30,2014,0,25
Points Scored,0,4,28,2014,0,26
Points Scored,0,5,27,2015,0,2
Points Scored,0,6,27,2015,0,26
Points Scored,0,7,25,2014,0,20
Points Scored,0,8,24,2014,0,25
Points Scored,0,9,24,2015,0,24
Points Scored,0,10,24,2015,0,22
Points Scored,0,11,23,2014,0,21
Points Scored,0,12,23,2014,0,13
Points Scored,0,13,23,2015,0,21
Points Scored,0,14,21,2014,0,24
Points Scored,0,15,20,2014,0,7
Points Scored,0,16,20,2015,0,6
Points Scored,0,17,19,2015,0,15
Points Scored,0,18,19,2015,0,25
Points Scored,0,19,17,2014,0,8
Points Scored,0,20,17,2014,0,24
Points Scored,0,21,17,2015,0,10
Points Scored,0,22,17,2015,0,9
Points Scored,0,23,17,2015,0,25
Points Scored,0,24,16,2014,0,9
Points Scored,0,25,14,2014,0,29
Points Scored,0,26,14,2014,0,1
Points Scored,0,27,13,2014,0,23
Points Scored,0,28,13,2015,0,26
Points Scored,0,29,10,2015,0,5
Points Scored,0,30,7,2015,0,24
Points Scored,0,31,3,2014,0,26
Points Allowed,0,0,6,2015,0,15
Points Allowed,0,1,7,2014,0,8
Points Allowed,0,2,9,2014,0,9
Points Allowed,0,3,10,2014,0,20
Points Allowed,0,4,13,2015,0,26
Points Allowed,0,5,14,2014,0,23
Points Allowed,0,6,14,2014,0,24
Points Allowed,0,7,16,2014,0,1
Points Allowed,0,8,16,2015,0,5
Points Allowed,0,9,17,2015,0,21
Points Allowed,0,10,17,2015,0,26
Points Allowed,0,11,19,2015,0,30
Points Allowed,0,12,21,2014,0,26
Points Allowed,0,13,21,2015,0,24
Points Allowed,0,14,21,2015,0,10
Points Allowed,0,15,21,2015,0,24
Points Allowed,0,16,21,2015,0,22
Points Allowed,0,17,23,2014,0,7
Points Allowed,0,18,23,2014,0,24
Points Allowed,0,19,23,2015,0,6
Points Allowed,0,20,24,2015,0,25
Points Allowed,0,21,25,2015,0,9
Points Allowed,0,22,27,2014,0,29
Points Allowed,0,23,27,2014,0,25
Points Allowed,0,24,28,2014,0,25
Points Allowed,0,25,28,2014,0,13
Points Allowed,0,26,28,2015,0,17
Points Allowed,0,27,30,2014,0,26
Points Allowed,0,28,34,2015,0,2
Points Allowed,0,29,38,2014,0,21
Points Allowed,0,30,40,2015,0,25
Points Allowed,0,31,43,2014,0,18
Passing Yards,0,0,360,2014,0,21
Passing Yards,0,1,327,2014,0,18
Passing Yards,0,2,320,2014,0,13
Passing Yards,0,3,301,2014,0,20
Passing Yards,0,4,297,2015,0,24
Passing Yards,0,5,279,2014,0,23
Passing Yards,0,6,268,2014,0,25
Passing Yards,0,7,261,2014,0,7
Passing Yards,0,8,255,2015,0,21
Passing Yards,0,9,245,2014,0,29
Passing Yards,0,10,230,2015,0,2
Passing Yards,0,11,218,2015,0,17
Passing Yards,0,12,215,2014,0,8
Passing Yards,0,13,212,2015,0,6
Passing Yards,0,14,208,2014,0,9
Passing Yards,0,15,206,2015,0,10
Passing Yards,0,16,204,2014,0,25
Passing Yards,0,17,202,2015,0,25
Passing Yards,0,18,199,2015,0,9
