Week,Visitor_Team,Home_Team
Ex. Season Week 1,2,5
Ex. Season Week 1,19,27
Ex. Season Week 2,3,17
Ex. Season Week 2,6,15
Ex. Season Week 2,8,21
Ex. Season Week 2,11,26
Ex. Season Week 2,12,0
Ex. Season Week 2,13,18
Ex. Season Week 2,14,1
Ex. Season Week 2,16,4
Ex. Season Week 2,20,29
Ex. Season Week 2,22,10
Ex. Season Week 2,23,7
Ex. Season Week 2,28,24
Ex. Season Week 2,30,9
Ex. Season Week 2,31,25
Ex. Season Week 3,0,2
Ex. Season Week 3,1,13
Ex. Season Week 3,4,23
Ex. Season Week 3,5,12
Ex. Season Week 3,7,16
Ex. Season Week 3,9,11
Ex. Season Week 3,10,28
Ex. Season Week 3,15,31
Ex. Season Week 3,17,8
Ex. Season Week 3,18,14
Ex. Season Week 3,21,3
Ex. Season Week 3,24,22
Ex. Season Week 3,25,6
Ex. Season Week 3,26,30
Ex. Season Week 3,27,20
Ex. Season Week 3,29,19
Ex. Season Week 4,0,31
Ex. Season Week 4,1,16
Ex. Season Week 4,4,14
Ex. Season Week 4,5,6
Ex. Season Week 4,7,13
Ex. Season Week 4,9,22
Ex. Season Week 4,10,30
Ex. Season Week 4,15,2
Ex. Season Week 4,17,19
Ex. Season Week 4,18,23
Ex. Season Week 4,21,20
Ex. Season Week 4,24,11
Ex. Season Week 4,25,12
Ex. Season Week 4,26,28
Ex. Season Week 4,27,3
Ex. Season Week 4,29,8
Ex. Season Week 5,2,25
Ex. Season Week 5,3,29
Ex. Season Week 5,6,0
Ex. Season Week 5,8,27
Ex. Season Week 5,11,10
Ex. Season Week 5,12,15
Ex. Season Week 5,13,4
Ex. Season Week 5,14,7
Ex. Season Week 5,16,18
Ex. Season Week 5,19,21
Ex. Season Week 5,20,17
Ex. Season Week 5,22,26
Ex. Season Week 5,23,1
Ex. Season Week 5,28,9
Ex. Season Week 5,30,24
Ex. Season Week 5,31,5
Reg. Season Week 1,0,24
Reg. Season Week 1,1,4
Reg. Season Week 1,2,6
Reg. Season Week 1,3,14
Reg. Season Week 1,7,18
Reg. Season Week 1,8,13
Reg. Season Week 1,9,5
Reg. Season Week 1,10,15
Reg. Season Week 1,11,12
Reg. Season Week 1,16,19
Reg. Season Week 1,20,23
Reg. Season Week 1,21,29
Reg. Season Week 1,22,30
Reg. Season Week 1,25,26
Reg. Season Week 1,27,17
Reg. Season Week 1,28,31
Reg. Season Week 2,2,0
Reg. Season Week 2,4,11
