Staff_ID,Last_Name,First_Name,Current_Team,Role,Primary_Group,Salary,Player_Development,Young_Player_Development,Motivation,Discipline,Play_Calling,Strength_Training,Conditioning,Intelligence,Scouting_Ability,Interviewing,Age,Retired,Years_on_Contract,Suitable_Head_Coach,Suitable_Offensive_Coordinator,Suitable_Defensive_Coordinator,Suitable_Assistant_Coach,Suitable_Strength_Coordinator
0,Arians,Bruce,0,Head Coach,Quarterbacks,448,65,73,40,43,65,0,0,85,70,56,63,0,1,51,65,0,66,0
1,Goodwin,Harold,0,Offensive Coordinator,Offensive Linemen,161,16,40,47,29,66,0,0,68,63,51,42,0,2,36,44,0,37,0
2,Bowles,Todd,0,Defensive Coordinator,Secondary,161,82,65,32,35,61,0,0,28,19,45,52,0,1,44,0,53,54,0
3,Jones,Amos,0,Assistant Coach,Linebackers,120,71,25,46,40,70,0,0,14,31,12,56,0,2,39,0,43,32,0
4,Morris,Buddy,0,Strength Coordinator,Strength,93,0,0,0,0,0,76,63,71,0,0,58,0,4,0,0,0,0,67
5,Smith,Mike,6,Assistant Coach,Defensive Linemen,282,61,52,47,46,42,0,0,83,82,91,56,0,4,54,0,60,59,0
6,Koetter,Dirk,1,Offensive Coordinator,Quarterbacks,151,45,21,41,47,89,0,0,35,19,29,56,0,1,35,40,0,26,0
7,Nolan,Mike,1,Defensive Coordinator,Secondary,151,64,38,79,85,34,0,0,52,26,38,56,0,1,61,0,37,43,0
8,Armstrong,Keith,1,Assistant Coach,Secondary,113,57,88,44,40,19,0,0,17,41,24,52,0,3,43,0,49,59,0
9,Neibel,A.J.,99,None,Strength,0,0,0,0,0,0,30,45,57,0,0,43,0,0,0,0,0,0,38
10,Harbaugh,John,99,None,Secondary,0,70,44,75,43,20,0,0,56,68,31,53,0,0,56,0,47,49,0
11,Kubiak,Gary,2,Offensive Coordinator,Quarterbacks,197,57,69,30,36,19,0,0,81,26,80,54,0,3,46,45,0,58,0
12,Pees,Dean,2,Head Coach,Linebackers,599,88,74,85,83,82,0,0,52,67,34,66,0,4,73,0,72,68,0
13,Rosburg,Jerry,2,Assistant Coach,Linebackers,197,66,42,41,66,45,0,0,43,41,37,60,0,1,45,0,45,44,0
14,Rogucki,Bob,2,Strength Coordinator,Strength,121,0,0,0,0,0,62,56,90,0,0,62,0,3,0,0,0,0,60
15,Marrone,Doug,99,None,Offensive Linemen,0,36,11,17,13,27,0,0,36,60,66,51,0,0,24,32,0,26,0
16,Hackett,Nathaniel,3,Offensive Coordinator,Tight Ends,149,20,53,47,28,58,0,0,39,12,29,36,0,3,32,33,0,34,0
17,Schwartz,Jim,3,Defensive Coordinator,Linebackers,171,49,55,58,49,33,0,0,58,58,65,49,0,1,52,0,47,51,0
18,Crossman,Danny,3,Assistant Coach,Secondary,111,30,47,54,64,71,0,0,60,37,56,48,0,3,47,0,43,40,0
19,Ciano,Eric,99,None,Strength,0,0,0,0,0,0,37,27,47,0,0,39,0,0,0,0,0,0,32
20,Rivera,Ron,4,Head Coach,Linebackers,361,28,49,37,16,62,0,0,70,44,78,53,0,1,36,0,45,45,0
21,Shula,Mike,4,Offensive Coordinator,Quarterbacks,204,25,23,56,31,53,0,0,29,62,43,50,0,1,38,36,0,28,0
22,McDermott,Sean,4,Defensive Coordinator,Secondary,204,56,72,72,37,29,0,0,12,34,50,41,0,2,54,0,45,55,0
23,Rodgers,Richard,4,Assistant Coach,Secondary,152,79,23,62,39,19,0,0,89,24,56,53,0,3,52,0,36,42,0
24,Kenn,Joe,99,None,Strength,0,0,0,0,0,0,53,17,70,0,0,49,0,0,0,0,0,0,35
25,Trestman,Marc,99,None,Quarterbacks,0,24,60,45,88,15,0,0,34,87,66,59,0,0,49,46,0,51,0
26,Kromer,Aaron,5,Offensive Coordinator,Offensive Linemen,305,36,59,52,12,58,0,0,11,46,62,48,0,3,39,47,0,44,0
27,Tucker,Mel,9,Defensive Coordinator,Secondary,327,77,74,49,57,60,0,0,41,74,75,43,0,4,59,0,68,68,0
28,DeCamillis,Joe,5,Assistant Coach,Wide Receivers,228,56,65,41,82,35,0,0,71,58,72,50,0,3,55,52,0,60,0
29,Clark,Mike,5,Strength Coordinator,Strength,140,0,0,0,0,0,83,43,81,0,0,61,0,1,0,0,0,0,62
30,Lewis,Marvin,6,Head Coach,Linebackers,403,36,32,79,66,96,0,0,60,15,35,57,0,3,51,0,42,32,0
31,Jackson,Hue,6,Offensive Coordinator,Running Backs,177,28,31,25,56,25,0,0,51,70,69,50,0,3,36,37,0,38,0
32,Alexander,Paul,6,Defensive Coordinator,Offensive Linemen,157,71,59,32,43,88,0,0,75,84,30,55,0,2,45,70,0,56,0
33,Guenther,Paul,6,Defensive Coordinator,Linebackers,177,66,59,60,6,59,0,0,19,41,67,44,0,1,48,0,53,53,0
34,Morton,Chip,99,None,Strength,0,0,0,0,0,0,52,15,13,0,0,53,0,0,0,0,0,0,29
35,Garrett,Jason,7,Head Coach,Quarterbacks,448,69,70,18,66,48,0,0,63,62,72,49,0,2,47,59,0,63,0
36,Callahan,Bill,7,Offensive Coordinator,Offensive Linemen,401,43,35,52,60,69,0,0,59,32,82,59,0,2,49,44,0,41,0
37,Kiffin,Monte,3,Head Coach,Linebackers,970,90,85,90,66,73,0,0,94,45,66,75,0,4,77,0,71,75,0
