Category,Team/All_Teams,Place,Record,Year,Team
Points Scored,0,0,207,2015,0
Points Scored,0,1,202,2014,0
Points Allowed,0,0,216,2015,0
Points Allowed,0,1,223,2014,0
Passing Yards,0,0,2364,2014,0
Passing Yards,0,1,1928,2015,0
Passing Yards Allowed,0,0,2279,2015,0
Passing Yards Allowed,0,1,2333,2014,0
Rushing Yards,0,0,1442,2015,0
Rushing Yards,0,1,1098,2014,0
Rushing Yards Allowed,0,0,1221,2014,0
Rushing Yards Allowed,0,1,1336,2015,0
Total Yards,0,0,3463,2014,0
Total Yards,0,1,3371,2015,0
Total Yards Allowed,0,0,3554,2014,0
Total Yards Allowed,0,1,3616,2015,0
Pass Attempts,0,0,356,2014,0
Pass Attempts,0,1,293,2015,0
Rush Attempts,0,0,305,2015,0
Rush Attempts,0,1,282,2014,0
Points Scored,1,0,186,2015,1
Points Scored,1,1,150,2014,1
Points Allowed,1,0,217,2015,1
Points Allowed,1,1,253,2014,1
Passing Yards,1,0,2501,2015,1
Passing Yards,1,1,2365,2014,1
Passing Yards Allowed,1,0,2272,2015,1
Passing Yards Allowed,1,1,2420,2014,1
Rushing Yards,1,0,701,2015,1
Rushing Yards,1,1,613,2014,1
Rushing Yards Allowed,1,0,1080,2015,1
Rushing Yards Allowed,1,1,1556,2014,1
Total Yards,1,0,3203,2015,1
Total Yards,1,1,2978,2014,1
Total Yards Allowed,1,0,3353,2015,1
Total Yards Allowed,1,1,3976,2014,1
Pass Attempts,1,0,428,2014,1
Pass Attempts,1,1,390,2015,1
Rush Attempts,1,0,223,2015,1
Rush Attempts,1,1,174,2014,1
Points Scored,2,0,263,2015,2
Points Scored,2,1,181,2014,2
Points Allowed,2,0,190,2015,2
Points Allowed,2,1,250,2014,2
Passing Yards,2,0,2370,2014,2
Passing Yards,2,1,2125,2015,2
Passing Yards Allowed,2,0,2084,2014,2
Passing Yards Allowed,2,1,2254,2015,2
Rushing Yards,2,0,1418,2015,2
Rushing Yards,2,1,957,2014,2
Rushing Yards Allowed,2,0,1045,2015,2
Rushing Yards Allowed,2,1,1057,2014,2
Total Yards,2,0,3543,2015,2
Total Yards,2,1,3328,2014,2
Total Yards Allowed,2,0,3141,2014,2
Total Yards Allowed,2,1,3300,2015,2
Pass Attempts,2,0,415,2014,2
Pass Attempts,2,1,330,2015,2
Rush Attempts,2,0,323,2015,2
Rush Attempts,2,1,253,2014,2
Points Scored,3,0,220,2015,3
Points Scored,3,1,193,2014,3
Points Allowed,3,0,203,2014,3
Points Allowed,3,1,231,2015,3
Passing Yards,3,0,2028,2015,3
Passing Yards,3,1,1866,2014,3
Passing Yards Allowed,3,0,2216,2014,3
Passing Yards Allowed,3,1,2339,2015,3
Rushing Yards,3,0,1624,2015,3
Rushing Yards,3,1,1420,2014,3
Rushing Yards Allowed,3,0,1122,2014,3
Rushing Yards Allowed,3,1,1206,2015,3
Total Yards,3,0,3653,2015,3
Total Yards,3,1,3286,2014,3
Total Yards Allowed,3,0,3338,2014,3
Total Yards Allowed,3,1,3545,2015,3
Pass Attempts,3,0,295,2015,3
Pass Attempts,3,1,277,2014,3
Rush Attempts,3,0,336,2015,3
Rush Attempts,3,1,335,2014,3
Points Scored,4,0,240,2014,4
Points Scored,4,1,221,2015,4
Points Allowed,4,0,175,2015,4
Points Allowed,4,1,188,2014,4
Passing Yards,4,0,2098,2015,4
Passing Yards,4,1,1828,2014,4
Passing Yards Allowed,4,0,2203,2014,4
Passing Yards Allowed,4,1,2502,2015,4
Rushing Yards,4,0,1300,2015,4
Rushing Yards,4,1,1297,2014,4
Rushing Yards Allowed,4,0,898,2015,4
Rushing Yards Allowed,4,1,1159,2014,4
Total Yards,4,0,3398,2015,4
Total Yards,4,1,3125,2014,4
Total Yards Allowed,4,0,3362,2014,4
Total Yards Allowed,4,1,3400,2015,4
Pass Attempts,4,0,304,2015,4
Pass Attempts,4,1,280,2014,4
Rush Attempts,4,0,338,2014,4
Rush Attempts,4,1,306,2015,4
Points Scored,5,0,171,2015,5
Points Scored,5,1,158,2014,5
